RDO:;RDO NO 14 - BAYOMBONG, NUEVA VIZCAYA;;;;
DALINAG ST;;RR;1,600.00;;
DEWEY ST;;RR;1,200.00;;
ERMITA ST;;RR;1,200.00;;
FE ST;;RR;1,200.00;;
GEN. LUNA ST;;RR;2,000.00;;
GEN. TRIAS ST;;RR;2,000.00;;
GOMEZ ST;;RR;1,600.00;;
HEROES BLVD;;RR;1,600.00;;
LARA ST;;RR;1,600.00;;
MCKINLEY ST;;RR;2,000.00;;
MERCADO ST;;RR;1,600.00;;
METHODISTA ST;;RR;1,200.00;;
MILAN ST;;RR;1,600.00;;
OSMEÑA ST;;RR;2,000.00;;
PATERNO ST;;RR;1,600.00;;
REAL ST;MABINI ST-MILLAN ST;RR;2,000.00;;
REAL ST;SALINAS-BURGOS BLVD;RR;2,000.00;;
RIZAL ST;;RR;2,000.00;;
SACRISTIA ST;;RR;1,600.00;;
SULUCAN ST;;RR;1,600.00;;
WILLIAM ST;MABINI ST-MILLAN;RR;1,600.00;;
WILLIAM ST;SALINAS-BURGOS BLVD;RR;1,600.00;;
WILLIAM ST;JON ST-MCKINLEY ST;RR;1,600.00;;
ZAMORA ST;;RR;1,600.00;;
MUNICIPALITY:;BAMBANG;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;400.00;;
NATIONAL ROAD;;A1;18.00;;
PROVINCIAL ROAD;;RR;200.00;;
BARANGAY ROAD;;RR;150.00;;
BARANGAY ROAD;INTERIOR;RR;95.00;;
BARANGAY ROAD;INTERIOR;A1;17.00;;
BARANGAY ROAD;INTERIOR;A2;9.00;;
BARANGAY ROAD;INTERIOR;A15;3.00;;
BARANGAY ROAD;INTERIOR;A16;7.00;;
BARANGAY ROAD;INTERIOR;A23;6.00;;
BARANGAY ROAD;INTERIOR;A47;7.00;;
BARANGAY ROAD;INTERIOR;A48;6.00;;
BARANGAY ROAD;INTERIOR;A50;6.00;;
JUEL STATELAND;;RR;200.00;;
MACAPAWA SUBD;;RR;600.00;;
MINIA SUBD;;RR;600.00;;
MUNICIPALITY:;BAYOMBONG;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;SAN JOSE ST-STA ROSA;RR;1,200.00;;
NATIONAL ROAD;INTERIOR;RR;800.00;;
NATIONAL ROAD;PONCE ST-SAN JOSE ST;CR;1,200.00;;
NATIONAL ROAD;PONCE ST-SAN JOSE ST;RR;1,200.00;;
NATIONAL ROAD;INTERIOR;RR;800.00;;
NATIONAL ROAD;SAQUING ST-PONCE ST;CR;1,500.00;;
NATIONAL ROAD;SAQUING ST-PONCE ST;RR;1,200.00;;
NATIONAL ROAD;INTERIOR;RR;800.00;;
NATIONAL ROAD;BAYOMBONG PLAZA-SAQUING ST;CR;2,800.00;;
NATIONAL ROAD;BAYOMBONG PLAZA-SAQUING ST;RR;2,000.00;;
NATIONAL ROAD;INTERIOR;RR;1,600.00;;
NATIONAL ROAD;DUMLAO BLVD-BAYOMB. COLOCOL CREEK;CR;2,800.00;;
NATIONAL ROAD;DUMLAO BLVD-BAYOMB. COLOCOL CREEK;RR;2,000.00;;
NATIONAL ROAD;INTERIOR;RR;1,600.00;;
NATIONAL ROAD;BAY COL CRK-DIV ROAD;CR;2,800.00;;
NATIONAL ROAD;BAY COL CRK-DIV ROAD;RR;2,000.00;;
NATIONAL ROAD;INTERIOR;RR;1,600.00;;
NATIONAL ROAD;NAT'L DIV RD-NVSIT ROAD;RR;2,000.00;;
NATIONAL ROAD;INTERIOR;RR;1,600.00;;
AGLIPAY ST;NAT'L RD-CABARROGUIS;RR;1,600.00;;
AGLIPAY ST;INTERIOR;RR;800.00;;
ALEJANDRO ST;MABINI ST-NAT'L RD;RR;1,600.00;;
ALEJANDRO ST;INTERIOR;RR;800.00;;
BASA ST;BAYOMB COLOCOL CRK-TATE ST;RR;2,000.00;;
BASA ST;INTERIOR;RR;1,600.00;;
BURGOS ST;MABINI ST-NAT'L RD;RR;2,000.00;;
BURGOS ST;INTERIOR;RR;1,600.00;;
CABARROQUIS ST;E. DTIAM-AGLIPAY ST;RR;1,200.00;;
CABARROQUIS ST;INTERIOR;RR;800.00;;
CAPT. A. DELA CRUZ ST;NAT'L ROAD-PONCE ST;RR;2,000.00;;
CAPT. A. DELA CRUZ ST;INTERIOR;RR;1,600.00;;
CAPT. F. SANTOS ST;DUMLAO-CABARROGUIS;RR;2,000.00;;
CAPT. F. SANTOS ST;INTERIOR;RR;1,600.00;;
CICM ROAD;SAN VIDAL-CABARROGUIS;RR;1,200.00;;
CICM ROAD;INTERIOR;RR;1,200.00;;
COMMON CITIZEN ST;NAT'L RD-BELISARIO ST;RR;2,000.00;;
COMMON CITIZEN ST;INTERIOR;RR;1,600.00;;
DEL PILAR ST;CAPT A DELA CRUZ-SN VIDAL STS;RR;2,000.00;;
DEL PILAR ST;INTERIOR;RR;1,600.00;;
DELA CRUZ ST;CICM RD-MALVAR ST;RR;2,000.00;;
DELA CRUZ ST;INTERIOR;RR;1,600.00;;
DIVERSION ROAD;COR NAT'L RD-RIZAL ST;RR;1,600.00;;
DIVERSION ROAD;INTERIOR;RR;1,000.00;;
DONA T. F. DE GUZMAN ST;CICM RD-MALVAR ST;RR;1,200.00;;
DONA T. F. DE GUZMAN ST;INTERIOR;RR;1,000.00;;
DONA T. F. DE GUZMAN ST;NAT'L RD-BELISARIO ST;RR;2,000.00;;
DONA T. F. DE GUZMAN ST;INTERIOR;RR;1,600.00;;
DUMLAO BLVD;SGT LB PEREZ ST-BASA;CR;2,800.00;;
DUMLAO BLVD;SGT LB PEREZ ST-BASA;RR;2,000.00;;
DUMLAO BLVD;INTERIOR;RR;1,600.00;;
DUMLAO BLVD;BASA ST-MABINI ST;CR;2,800.00;;
DUMLAO BLVD;BASA ST-MABINI ST;RR;2,000.00;;
DUMLAO BLVD;INTERIOR;RR;1,600.00;;
E. D. TIAM ST;BARINGIN-VISTA ALEGRE;RR;1,200.00;;
E. D. TIAM ST;INTERIOR;RR;800.00;;
GADINGAN ST;COMMON CITIZEN ST -CAPT A DELA CRUZ;RR;2,000.00;;
GADINGAN ST;INTERIOR;RR;1,600.00;;
GONONG ST;BAYOMBONG COL CREEK;RR;1,600.00;;
GONONG ST;INTERIOR;RR;1,200.00;;
GUTONG ST;PONCE ST-AGLIPAY ST;RR;1,200.00;;
GUTONG ST;INTERIOR;RR;800.00;;
JAENA ST;CAPT A DELA CRUZ-SN VIDAL STS;RR;2,000.00;;
JAENA ST;INTERIOR;RR;1,200.00;;
JOSE ABAD SANTOS ST;BAYOMB. COLOCO-MALVAR ST;RR;1,600.00;;
JOSE ABAD SANTOS ST;INTERIOR;RR;1,200.00;;
LUNA ST;CAPT. DELA CRUZ-NAT'L RD;RR;2,000.00;;
LUNA ST;INTERIOR;RR;1,600.00;;
MABINI ST;QUEZON ST-MAGSAYSAY;RR;1,600.00;;
MABINI ST;INTERIOR;RR;1,200.00;;
MAGSAYSAY ST;SGT L B PEREZ-GONONG;RR;1,600.00;;
MAGSAYSAY ST;INTERIOR;RR;1,200.00;;
MAJOR DUMLAO ST;DUMLAO-CABARROGUIS;RR;1,200.00;;
MAJOR DUMLAO ST;INTERIOR;RR;800.00;;
MAJOR DUMLAO ST;NAT'L RD-MALIGAYA ST;RR;1,200.00;;
MAJOR DUMLAO ST;INTERIOR;RR;800.00;;
MALIGAYA ST;NAT'L RD-MALIGAYA ST;RR;2,000.00;;
MALIGAYA ST;INTERIOR;RR;1,600.00;;
MALIGAYA ST;ZULUETA ST-CICM ROAD;RR;2,000.00;;
MALIGAYA ST;INTERIOR;RR;1,600.00;;
MALVAR ST;ZULUETA ST-CICM ROAD;RR;1,200.00;;
MALVAR ST;INTERIOR;RR;800.00;;
MALVAR ST;MALIGAYA ST-STA ROSA;RR;1,200.00;;
MALVAR ST;INTERIOR;RR;800.00;;
PATERNO ST;NAT'L RD-F BELISARIO ST;RR;2,000.00;;
PATERNO ST;INTERIOR;RR;1,600.00;;
PONCE ST;CAPT A DELA CRUZ ST -CABARROGUIS ST;RR;1,200.00;;
PONCE ST;INTERIOR;RR;800.00;;
QUEZON ST;MABINI ST-NAT'L RD;RR;1,200.00;;
QUEZON ST;INTERIOR;RR;800.00;;
REGIDOR ST;CAPT A DELA CRUZ-SN VIDAL STS;RR;1,600.00;;
REGIDOR ST;INTERIOR;RR;1,200.00;;
RIZAL ST;NAT'L ROAD-DIVERSION;RR;1,600.00;;
RIZAL ST;INTERIOR;RR;1,200.00;;
SAN JOSE ST;NAT'L RD-CABARROGUIS;RR;1,200.00;;
SAN JOSE ST;INTERIOR;RR;800.00;;
SAN VIDAL ST;SAQUING ST-PONCE ST;RR;1,600.00;;
SAN VIDAL ST;INTERIOR;RR;1,200.00;;
SAQUING ST;BAYOMB. COL CRK-SAN VIDAL;RR;1,600.00;;
SAQUING ST;INTERIOR;RR;1,200.00;;
SGT. LB. PEREZ ST;DUMLAO BLVD-MALVAR;CR;2,800.00;;
SGT. LB. PEREZ ST;DUMLAO BLVD-MALVAR;RR;1,600.00;;
SGT. LB. PEREZ ST;INTERIOR;RR;1,200.00;;
SANTA ROSA ST;NAT'L RD-STA ROSA ST;RR;1,200.00;;
SANTA ROSA ST;INTERIOR;RR;800.00;;
SANTO DOMINGO ST;COMMON CITIZEN ST -CAPT. A. DELA CRUZ;RR;2,000.00;;
SANTO DOMINGO ST;INTERIOR;RR;1,600.00;;
TARINGIN;E. D. TIAM ST-DUMLAO;RR;1,600.00;;
TARINGIN;INTERIOR;RR;1,200.00;;
VISTA ALEGRE;E. D. TIAM ST-DUMLAO;RR;1,200.00;;
VISTA ALEGRE;INTERIOR;RR;800.00;;
ZAMORA ST;BAYOMB. COLOCOL CRK-ZAMORA;RR;1,600.00;;
ZAMORA ST;INTERIOR;RR;1,200.00;;
ZULUETA ST;BAYOMB. COLOCOL CRK-MALVAR;RR;1,600.00;;
ZULUETA ST;INTERIOR;RR;1,200.00;;
MUNICIPALITY;BAYOMBONG;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;800.00;;
NATIONAL ROAD;;A1;33.00;;
PROVINCIAL ROAD;;CR;800.00;;
PROVINCIAL ROAD;;RR;600.00;;
BARANGAY ROAD;;RR;600.00;;
BARANGAY ROAD;INTERIOR;RR;400.00;;
BARANGAY ROAD;INTERIOR;A1;15.00;;
BARANGAY ROAD;INTERIOR;A2;6.00;;
BARANGAY ROAD;INTERIOR;A15;3.00;;
BARANGAY ROAD;INTERIOR;A16;5.00;;
BARANGAY ROAD;INTERIOR;A23;5.00;;
BARANGAY ROAD;INTERIOR;A47;5.00;;
BARANGAY ROAD;INTERIOR;A48;5.00;;
BARANGAY ROAD;INTERIOR;A50;5.00;;
BUENAFE SUBD.;;RR;800.00;;
MUNICIPALITY:;DIADI;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;;CR;1,000.00;;
PROVINCIAL ROAD;;RR;480.00;;
PROVINCIAL ROAD;INTERIOR;RR;320.00;;
ALVAREZ ST;;RR;640.00;;
ALVAREZ ST;INTERIOR;RR;480.00;;
ASUNCION ST;;RR;640.00;;
ASUNCION ST;INTERIOR;RR;480.00;;
BALUT ST;;RR;640.00;;
BALUT ST;INTERIOR;RR;480.00;;
GALZOTE;;RR;640.00;;
GARCIA ST;;RR;640.00;;
GARCIA ST;INTERIOR;RR;480.00;;
MAPILI;;RR;640.00;;
MAPILI;INTERIOR;RR;480.00;;
MARKET SITE;ALONG THE ROAD;CR;1,000.00;;
PADILLA ST;;RR;640.00;;
PADILLA ST;INTERIOR;RR;480.00;;
PASCUAL ST;;RR;640.00;;
PASCUAL ST;INTERIOR;RR;480.00;;
PEREZ ST;;RR;1,000.00;;
PEREZ ST;INTERIOR;RR;640.00;;
SANTIAGO ST;;RR;640.00;;
SANTIAGO ST;INTERIOR;RR;480.00;;
SOLOMON ST;;RR;640.00;;
SOLOMON ST;INTERIOR;RR;480.00;;
STREET NO. 1;;RR;640.00;;
STREETS 1, 2 & 3;INTERIOR;RR;640.00;;
TOQUERO ST;;RR;640.00;;
TOQUERO ST;INTERIOR;RR;480.00;;
VALENCIA ST;;RR;640.00;;
VALENCIA ST;INTERIOR;RR;480.00;;
VALERA ST;;RR;640.00;;
VALERA ST;INTERIOR;RR;480.00;;
MUNICIPALITY:;DIADI;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;320.00;;
PROVINCIAL ROAD;;RR;200.00;;
BARANGAY ROAD;;RR;150.00;;
BARANGAY ROAD;INTERIOR;RR;50.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;7.00;;
BARANGAY ROAD;INTERIOR;A15;4.00;;
BARANGAY ROAD;INTERIOR;A16;5.00;;
BARANGAY ROAD;INTERIOR;A23;5.00;;
BARANGAY ROAD;INTERIOR;A47;5.00;;
BARANGAY ROAD;INTERIOR;A48;5.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
MUNICIPALITY:;DUPAX DEL NORTE;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;MARKET RD & RC CHURCH;CR;1,000.00;;
NATIONAL ROAD;INTERIOR;RR;640.00;;
;MODEL RD & MARKET RD;RR;800.00;;
;INTERIOR;RR;640.00;;
BAJITA ST;SEC NATL RD-L JAENA;RR;640.00;;
BAJITA ST;INTERIOR;RR;480.00;;
BALSAIN ROAD;L. JAENA-LAZAM ROAD;RR;640.00;;
BALSAIN ROAD;INTERIOR;RR;480.00;;
BARROGA ROAD;CABADING RD & PROV RD;CR;640.00;;
BARROGA ROAD;INTERIOR;RR;480.00;;
BAYLE ROAD;PROVL RD & CABADING RD;RR;640.00;;
BAYLE ROAD;INTERIOR;RR;480.00;;
BENITEZ ST;CASTANEDA-GABALDON;RR;640.00;;
BENITEZ ST;INTERIOR;RR;480.00;;
BENTER ST;DOCTOR ST & BOADA ST;RR;640.00;;
BENTER ST;INTERIOR;RR;480.00;;
BURGOS ST;BONIFACIO & GABALDON;RR;640.00;;
BURGOS ST;INTERIOR;RR;480.00;;
CABADING ROAD;NAT'L RD & CEMETERY RD;RR;640.00;;
CABADING ROAD;INTERIOR;RR;480.00;;
CALLA ROAD;NAT'L RD-MARKET RD;RR;640.00;;
CALLA ROAD;INTERIOR;RR;480.00;;
CEMETERY ROAD;PROV'L RD & CEM ROAD;RR;640.00;;
CEMETERY ROAD;INTERIOR;RR;480.00;;
D. BOADA ST;BENTER ST-CASTAÑEDA;RR;640.00;;
D. BOADA ST;INTERIOR;RR;480.00;;
D. CASTAÑEDA ST;CASTANDENA-GABALDON;RR;640.00;;
D. CASTAÑEDA ST;INTERIOR;RR;480.00;;
DEL PILAR ST;DOCTOR & BOADA  STS;RR;640.00;;
DEL PILAR ST;INTERIOR;RR;480.00;;
DON REYES ST;CORNER M DOCTOR ST;RR;640.00;;
DON REYES ST;INTERIOR;RR;480.00;;
G. EVARISTO ST;CASTAÑEDA-DUENG ST;RR;640.00;;
G. EVARISTO ST;INTERIOR;RR;480.00;;
GOMEZ ST;SEC NATL RD-SANCHEZ;RR;640.00;;
GOMEZ ST;INTERIOR;RR;480.00;;
INABAN ROAD;NATL ROAD-IRRIG DITCH;CR;800.00;;
INABAN ROAD;NATL ROAD-IRRIG DITCH;RR;640.00;;
INABAN ROAD;INTERIOR;RR;480.00;;
I. ARZA ST;SEC NAT'L RD-QUEZON;RR;640.00;;
I. ARZA ST;INTERIOR;RR;480.00;;
LAZAM ROAD;PORTILLA ST-BAJITA ST;RR;640.00;;
LAZAM ROAD;INTERIOR;RR;480.00;;
LOPEZ JAENA ST;PORTILLA ST-BAJITA ST;RR;640.00;;
LOPEZ JAENA ST;INTERIOR;RR;480.00;;
M. DARAN ST;CASTAÑEDA-DUENG ST;RR;640.00;;
M. DARAN ST;INTERIOR;RR;480.00;;
M. DOCTOR ST;CASTAÑEDA-BENTER ST;RR;640.00;;
M. DOCTOR ST;INTERIOR;RR;480.00;;
M. QUEZON ST;BONIFACIO & GABALDON;RR;640.00;;
M. QUEZON ST;INTERIOR;RR;480.00;;
MAGSAYSAY ST;SEC NAT'L RD-QUEZON;RR;640.00;;
MAGSAYSAY ST;INTERIOR;RR;480.00;;
MARKET RD;NAT'L RD & CALLA ROAD;CR;640.00;;
MARKET RD;NAT'L RD & CALLA ROAD;RR;480.00;;
MARKET RD;INTERIOR;RR;480.00;;
MARKET RD;SEC NAT'L RD-LAZAM RD;CR;480.00;;
MARKET RD;SEC NAT'L RD-LAZAM RD;RR;480.00;;
MARKET RD;INTERIOR;RR;480.00;;
PORTILLA ST;L. JAENA-SEC NAT'L RD;RR;640.00;;
PORTILLA ST;INTERIOR;RR;480.00;;
PROVINCIAL ROAD;NAT'L RD-CEMETERY RD;RR;640.00;;
PROVINCIAL ROAD;INTERIOR;RR;480.00;;
R. PEREZ ST;PORTILLA ST-BAJITA ST;RR;640.00;;
R. PEREZ ST;INTERIOR;RR;480.00;;
ROXAS;DOCTOR & BOADA STS;RR;640.00;;
ROXAS;INTERIOR;RR;480.00;;
SALADINO ROAD;PROV'L RD & CABADING RD;RR;640.00;;
SALADINO ROAD;INTERIOR;RR;480.00;;
SALES ROAD;MARKET RD-CALLA RD;RR;640.00;;
SALES ROAD;INTERIOR;RR;480.00;;
SANCHEZ ST;BAJITA ST-GUZMAN ST;RR;640.00;;
SANCHEZ ST;INTERIOR;RR;480.00;;
VELASCO ROAD;MARKET RD & NATL RD;RR;640.00;;
VELASCO ROAD;INTERIOR;RR;480.00;;
ZAMORA ST;PORTILLA ST-BAJITA ST;RR;640.00;;
ZAMORA ST;INTERIOR;RR;480.00;;
A. FELIX ST;DOCTOR & PROV'L ROAD;RR;800.00;;
A. FELIX ST;INTERIOR;RR;640.00;;
ALBANO ST;BASTERO ST & PROV'L RD;RR;800.00;;
ALBANO ST;INTERIOR;RR;640.00;;
ANGARA ST;NAT'L ROAD-BASTERO ST;RR;800.00;;
ANGARA ST;INTERIOR;RR;640.00;;
AREO ST;DUENG & COR PROV'L RD;RR;480.00;;
AREO ST;INTERIOR;RR;320.00;;
BAJITA ST;NATIONAL RD-JAENA;RR;480.00;;
BAJITA ST;INTERIOR;RR;320.00;;
BALZAIN ROAD;L. JAENA-LAZAM ROAD;RR;480.00;;
BALZAIN ROAD;INTERIOR;RR;320.00;;
BASTERO ST;ESCOBAR ST & PROV'L RD;RR;480.00;;
BASTERO ST;INTERIOR;RR;320.00;;
BONIFACIO ST;SEC NAT'L RD & QUEZON;RR;480.00;;
BONIFACIO ST;INTERIOR;RR;320.00;;
BURGOS ST;BONIFACIO & GABALDON;RR;480.00;;
BURGOS ST;INTERIOR;RR;320.00;;
CASTAÑEDA BLVD;;RR;800.00;;
D. BOADA ST;BENTER ST-CASTAÑEDA;RR;480.00;;
D. BOADA ST;INTERIOR;RR;320.00;;
D. CASTAÑEDA ST;CASTAÑEDA-BONIFACIO;RR;480.00;;
D. CASTAÑEDA ST;INTERIOR;RR;320.00;;
DEL PILAR ST;DOCTOR & BOADA ST;RR;480.00;;
DEL PILAR ST;INTERIOR;RR;320.00;;
DON REYES ST;COR M DOCTOR ST;RR;480.00;;
DON REYES ST;INTERIOR;RR;320.00;;
ESCOBAR ST;NAT'L ROAD-BASTERO ST;RR;640.00;;
ESCOBAR ST;INTERIOR;RR;480.00;;
G. EVARISTO ST;CASTAÑEDA-DUENG ST;RR;480.00;;
G. EVARISTO ST;INTERIOR;RR;320.00;;
GABALDON ST;SEC NATL RD & BENITEZ;RR;800.00;;
GABALDON ST;INTERIOR;RR;640.00;;
GOMEZ ST;NATIONAL RD-SANCHEZ ST;RR;480.00;;
GOMEZ ST;INTERIOR;RR;320.00;;
MUNICIPALITY:;DUPAX DEL NORTE;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;320.00;;
PROVINCIAL ROAD;;A1;14.00;;
BARANGAY ROAD;;RR;200.00;;
BARANGAY ROAD;INTERIOR;RR;100.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;6.00;;
BARANGAY ROAD;INTERIOR;A15;2.00;;
BARANGAY ROAD;INTERIOR;A16;6.00;;
BARANGAY ROAD;INTERIOR;A23;6.00;;
BARANGAY ROAD;INTERIOR;A47;6.00;;
BARANGAY ROAD;INTERIOR;A48;6.00;;
BARANGAY ROAD;INTERIOR;A50;6.00;;
MUNICIPALITY:;DUPAX DEL SUR;;;;
BARANGAY:;POBLACION;;;;
GUZMAN ST;SANCHEZ & BACK CHURCH;RR;640.00;;
GUZMAN ST;INTERIOR;RR;480.00;;
J. DUENG ST;DOCTOR & PROVL ROAD;RR;480.00;;
J. DUENG ST;INTERIOR;RR;320.00;;
L. ARZA ST;NATIONAL RD-QUEZON;RR;480.00;;
L. ARZA ST;INTERIOR;RR;320.00;;
M. CUTARAN ST;DOCTOR & PROVL ROAD;RR;640.00;;
M. CUTARAN ST;INTERIOR;RR;480.00;;
PROVINCIAL ROAD;NAT'L ROAD-ONKAY ROAD;RR;800.00;;
PROVINCIAL ROAD;INTERIOR;RR;640.00;;
ROSARIO ST;NAT'L ROAD-BASTERO ST;RR;640.00;;
ROSARIO ST;INTERIOR;RR;480.00;;
SECONDARY NATIONAL ROAD;CASTAÑEDA-BONIFACIO;RR;640.00;;
SECONDARY NATIONAL ROAD;INTERIOR;RR;480.00;;
