RDO:;RDO NO. 14 - BAYOMBONG, NUEVA  VIZCAYA;;;;
MALVAR ST;;RR;220.00;;
MALVAR ST;INTERIOR;RR;110.00;;
MARKET SITE;;CR;725.00;;
MERCADO ST;;RR;220.00;;
MERCADO ST;INTERIOR;RR;110.00;;
PLARIDEL ST;;RR;220.00;;
PLARIDEL ST;INTERIOR;RR;110.00;;
RIZAL ST;;RR;300.00;;
RIZAL ST;INTERIOR;RR;220.00;;
SACRISTIA ST;;RR;220.00;;
SACRISTIA ST;INTERIOR;RR;160.00;;
SAN FRANCISCO ST;;RR;220.00;;
SAN FRANCISCO ST;INTERIOR;RR;110.00;;
SAN GERONIMO ST;;RR;240.00;;
SAN GERONIMO ST;INTERIOR;RR;220.00;;
SAN ROQUE ST;;RR;220.00;;
SAN ROQUE ST;INTERIOR;RR;110.00;;
Municipality/City:;BAGABAG;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;160.00;;
NATIONAL ROAD;;A1;20.00;;
PROVINCIAL ROAD;;RR;110.00;;
BARANGAY ROAD;;RR;75.00;;
BARANGAY ROAD;INTERIOR;RR;60.00;;
BARANGAY ROAD;INTERIOR;A1;15.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;4.00;;
BARANGAY ROAD;INTERIOR;A23;4.00;;
BARANGAY ROAD;INTERIOR;A47;4.00;;
BARANGAY ROAD;INTERIOR;A48;4.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
Municipality/City:;BAMBANG;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;MENDIOLA-MERCADO ST;CR;2,000.00;;
NATIONAL ROAD;MENDIOLA-SN FERNANDO;CR;2,000.00;;
AGLIPAY ST.;;RR;500.00;;
BAYSA ST.;;RR;550.00;;
CAMPO SANTO SENOBREST;;RR;500.00;;
COMMON ST.;;RR;550.00;;
DALINAG ST.;;RR;575.00;;
DEWEY ST.;;RR;500.00;;
ERMITA ST.;;RR;500.00;;
FE ST.;;RR;575.00;;
GEN. LUNA ST.;;RR;575.00;;
GEN. TRIAS ST.;;RR;575.00;;
GOMEZ ST.;;RR;500.00;;
HEROES BLVD;;RR;575.00;;
LARA ST.;;RR;585.00;;
MCKINLEY ST.;;RR;575.00;;
MERCADO ST.;;RR;585.00;;
METHODISTA ST.;;RR;525.00;;
MILAN ST.;;RR;575.00;;
OSMEÑA ST.;;RR;500.00;;
PATERNO ST.;;RR;500.00;;
REAL ST.;MABINI ST-MILLAN ST;RR;500.00;;
REAL ST.;SALINAS-BURGOS BLVD;RR;500.00;;
RIZAL ST;;RR;575.00;;
SACRISTIA ST;;RR;500.00;;
SULUCAN ST;;RR;575.00;;
WILLIAM ST;MABINI ST-MILLAN;RR;500.00;;
WILLIAM ST;SALINAS-BURGOS BLVD;RR;500.00;;
WILLIAM ST;JON ST-MCKINLEY ST;RR;500.00;;
ZAMORA ST;;RR;500.00;;
Municipality/City:;BAMBANG;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;200.00;;
NATIONAL ROAD;;A1;12.00;;
PROVINCIAL ROAD;;RR;150.00;;
BARANGAY ROAD;;RR;100.00;;
BARANGAY ROAD;INTERIOR;RR;75.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;4.00;;
BARANGAY ROAD;INTERIOR;A23;4.00;;
BARANGAY ROAD;INTERIOR;A47;4.00;;
BARANGAY ROAD;INTERIOR;A48;4.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
JUEL STATELAND;;RR;100.00;;
MACAPAWA SUBD.;;RR;350.00;;
MINIA SUBD.;;RR;500.00;;
Municipality/City:;BAYOMBONG;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;SAN JOSE ST-STA ROSA;RR;1,150.00;;
NATIONAL ROAD;INTERIOR;RR;675.00;;
NATIONAL ROAD;PONCE ST-SAN JOSE ST;CR;925.00;;
NATIONAL ROAD;PONCE ST-SAN JOSE ST;RR;825.00;;
NATIONAL ROAD;INTERIOR;RR;525.00;;
NATIONAL ROAD;SAQUING ST-PONCE ST;CR;1,500.00;;
NATIONAL ROAD;SAQUING ST-PONCE ST;RR;800.00;;
NATIONAL ROAD;INTERIOR;RR;525.00;;
NATIONAL ROAD;BAYOMBONG PLAZA-SAQUING ST;CR;1,550.00;;
NATIONAL ROAD;BAYOMBONG PLAZA-SAQUING ST;RR;1,175.00;;
NATIONAL ROAD;INTERIOR;RR;875.00;;
NATIONAL ROAD;DUMLAO BLVD-BAYOMB.COLOCOL CREEK;CR;1,500.00;;
NATIONAL ROAD;DUMLAO BLVD-BAYOMB.COLOCOL CREEK;RR;785.00;;
NATIONAL ROAD;INTERIOR;RR;625.00;;
NATIONAL ROAD;BAY COL CRK-DIV ROAD;CR;1,550.00;;
NATIONAL ROAD;BAY COL CRK-DIV ROAD;RR;785.00;;
NATIONAL ROAD;INTERIOR;RR;525.00;;
NATIONAL ROAD;NAT'L DIV. RD-NVSIT ROAD;RR;300.00;;
NATIONAL ROAD;INTERIOR;RR;200.00;;
AGLIPAY ST;NAT'L RD-CABARROGUIS;RR;735.00;;
AGLIPAY ST;INTERIOR;RR;410.00;;
ALEJANDRO ST;MABINI ST-NAT'L RD;RR;560.00;;
ALEJANDRO ST;INTERIOR;RR;360.00;;
BASA ST;BAYOMB COL CRK-TATE ST;RR;475.00;;
BASA ST;INTERIOR;RR;300.00;;
BURGOS ST;MABINI ST-NAT'L RD;RR;925.00;;
BURGOS ST;INTERIOR;RR;585.00;;
CABARROQUIS ST;E. D. TIAM-AGLIPAY ST;RR;240.00;;
CABARROQUIS ST;INTERIOR;RR;185.00;;
CAPT. F. SANTOS ST;DUMLAO-CABARROGUIS;RR;475.00;;
CAPT. F. SANTOS ST;INTERIOR;RR;285.00;;
CAPT. A. DELA CRUZ ST;NAT'L ROAD-PONCE ST;RR;785.00;;
CAPT. A. DELA CRUZ ST;INTERIOR;RR;585.00;;
CICM ROAD;SAN VIDAL-CABARROGUIS;RR;960.00;;
CICM ROAD;INTERIOR;RR;660.00;;
COMMON CITIZEN ST;NAT'L RD-BELISARIO ST;RR;935.00;;
COMMON CITIZEN ST;INTERIOR;RR;635.00;;
DEL PILAR ST;CAPT A DELA CRUZ ST-SAN VIDAL ST;RR;835.00;;
DEL PILAR ST;INTERIOR;RR;460.00;;
DELA CRUZ ST;CICM RD-MALVAR ST;RR;835.00;;
DELA CRUZ ST;INTERIOR;RR;465.00;;
DIVERSION ROAD;COR NAT'L RD-RIZAL ST;RR;250.00;;
DIVERSION ROAD;INTERIOR;RR;200.00;;
DONA T. F. DE GUZMAN ST;CICM RD-MALVAR ST;RR;835.00;;
DONA T. F. DE GUZMAN ST;INTERIOR;RR;465.00;;
DONA T. F. DE GUZMAN ST;NAT'L RD-BELISARIO ST;RR;900.00;;
DONA T. F. DE GUZMAN ST;INTERIOR;RR;625.00;;
DUMLAO BLVD;SGT LB PEREZ ST-BASA;CR;1,825.00;;
DUMLAO BLVD;SGT LB PEREZ ST-BASA;RR;925.00;;
DUMLAO BLVD;INTERIOR;RR;625.00;;
DUMLAO BLVD;BASA ST-MABINI ST;CR;1,275.00;;
DUMLAO BLVD;BASA ST-MABINI ST;RR;900.00;;
DUMLAO BLVD;INTERIOR;RR;475.00;;
E. D. TIAM ST;BARINGIN-VISTA ALEGRE;RR;350.00;;
E. D. TIAM ST;INTERIOR;RR;200.00;;
GADINGAN ST;COMMON CITIZEN ST-CAPT. A. DELA CRUZ;RR;910.00;;
GADINGAN ST;INTERIOR;RR;635.00;;
GONONG ST;BAY. COL CREEK;RR;475.00;;
GONONG ST;INTERIOR;RR;285.00;;
GUTONG ST;PONCE ST-AGLIPAY ST;RR;785.00;;
GUTONG ST;INTERIOR;RR;460.00;;
JAENA ST;CAPT A DELA CRUZ-SAN VIDAL ST;RR;835.00;;
JAENA ST;INTERIOR;RR;460.00;;
JOSE ABAD SANTOS ST;BAY. COLOCO-MALVAR ST;RR;630.00;;
JOSE ABAD SANTOS ST;INTERIOR;RR;475.00;;
LUNA ST;CAPT DELA CRUZ-NAT'L RD;RR;835.00;;
LUNA ST;INTERIOR;RR;460.00;;
MABINI ST;QUEZON ST-MAGSAYSAY;RR;475.00;;
MABINI ST;INTERIOR;RR;285.00;;
MAGSAYSAY ST;SGT. LB PEREZ-GONONG;RR;575.00;;
MAGSAYSAY ST;INTERIOR;RR;350.00;;
MAJOR DUMLAO ST;DUMLAO-CABARROGUIS;RR;475.00;;
MAJOR DUMLAO ST;INTERIOR;RR;285.00;;
MALIGAYA ST;NAT'L RD-MALIGAYA ST;RR;735.00;;
MALIGAYA ST;INTERIOR;RR;410.00;;
MALVAR ST;ZULUETA ST-CICM ROAD;RR;500.00;;
MALVAR ST;INTERIOR;RR;350.00;;
MALVAR ST;MALIGAYA ST-STA ROSA;RR;485.00;;
MALVAR ST;INTERIOR;RR;205.00;;
PATERNO ST;NAT'L RD-F BELISARIO ST;RR;950.00;;
PATERNO ST;INTERIOR;RR;635.00;;
PONCE ST;CAPT A DELA CRUZ ST -CABARROGUIS ST;RR;835.00;;
PONCE ST;INTERIOR;RR;460.00;;
QUEZON ST;MABINI ST-NATL RD;RR;925.00;;
QUEZON ST;INTERIOR;RR;585.00;;
REGIDOR ST;CAPT A DELA CRUZ-SAN VIDAL ST;RR;835.00;;
REGIDOR ST;INTERIOR;RR;465.00;;
RIZAL ST;NATL ROAD-DIVERSION;RR;435.00;;
RIZAL ST;INTERIOR;RR;250.00;;
SAN JOSE ST;NAT'L RD-CABARROGUIS;RR;785.00;;
SAN JOSE ST;INTERIOR;RR;460.00;;
SAN VIDAL ST;SAQUING ST-PONCE ST;RR;785.00;;
SAN VIDAL ST;INTERIOR;RR;460.00;;
SAQUING ST;BAY. COL CRK-SAN VIDAL;RR;950.00;;
SAQUING ST;INTERIOR;RR;650.00;;
SGT. LB PEREZ ST;DUMLAO BLVD-MALVAR;CR;925.00;;
SGT. LB PEREZ ST;DUMLAO BLVD-MALVAR;RR;630.00;;
SGT. LB PEREZ ST;INTERIOR;RR;410.00;;
SANTA ROSA ST;NAT'L RD-STA ROSA ST;RR;410.00;;
SANTA ROSA ST;INTERIOR;RR;210.00;;
SANTO DOMINGO ST;COMMON CITIZEN ST-CAPT. A. DELA CRUZ;RR;960.00;;
SANTO DOMINGO ST;INTERIOR;RR;635.00;;
TARINGIN;E. D. TIAM ST-DUMLAO;RR;350.00;;
TARINGIN;INTERIOR;RR;205.00;;
VISTA ALEGRE;E. D. TIAM ST-DUMLAO;RR;240.00;;
VISTA ALEGRE;INTERIOR;RR;205.00;;
ZAMORA ST;BAY. CO. CRK-ZAMORA;RR;475.00;;
ZAMORA ST;INTERIOR;RR;285.00;;
ZULUETA ST;BAY. COL. CRK-MALVAR;RR;475.00;;
ZULUETA ST;INTERIOR;RR;285.00;;
Municipality/City:;BAYOMBONG;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;315.00;;
NATIONAL ROAD;;A1;30.00;;
PROVINCIAL ROAD;;CR;315.00;;
PROVINCIAL ROAD;;RR;260.00;;
BARANGAY ROAD;;RR;210.00;;
BARANGAY ROAD;INTERIOR;RR;160.00;;
BARANGAY ROAD;INTERIOR;A1;12.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;4.00;;
BARANGAY ROAD;INTERIOR;A23;4.00;;
BARANGAY ROAD;INTERIOR;A47;5.00;;
BARANGAY ROAD;INTERIOR;A48;4.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
BUENAFE SUBD.;;RR;700.00;;
Municipality/City:;DIADI;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;;CR;230.00;;
PROVINCIAL ROAD;;RR;90.00;;
PROVINCIAL ROAD;INTERIOR;RR;75.00;;
STREET NO. 1;;RR;110.00;;
MARKET SITE;ALONG THE ROAD;CR;250.00;;
(Streets 1, 2 & 3);INTERIOR;RR;110.00;;
Municipality/City:;DIADI;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;75.00;;
PROVINCIAL ROAD;;RR;75.00;;
BARANGAY ROAD;;RR;55.00;;
BARANGAY ROAD;INTERIOR;RR;40.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;3.00;;
BARANGAY ROAD;INTERIOR;A23;3.00;;
BARANGAY ROAD;INTERIOR;A47;3.00;;
BARANGAY ROAD;INTERIOR;A48;3.00;;
BARANGAY ROAD;INTERIOR;A50;3.00;;
Municipality/City:;DUPAX DEL NORTE;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;MARKET RD & RC CHURCH;CR;660.00;;
NATIONAL ROAD;;RR;235.00;;
NATIONAL ROAD;INTERIOR;RR;135.00;;
;MODEL RD & MARKET RD;RR;185.00;;
;INTERIOR;RR;100.00;;
BAJITA ST;SEC. NAT'L RD-L. JAENA;RR;165.00;;
BAJITA ST;INTERIOR;RR;100.00;;
BALSAIN ROAD;L. JAENA-LAZAM ROAD;RR;140.00;;
BALSAIN ROAD;INTERIOR;RR;85.00;;
BARROGA ROAD;CABADING RD & PROV. RD;CR;205.00;;
BARROGA ROAD;INTERIOR;RR;90.00;;
BAYLE ROAD;PROV'L RD & CABADING RD;RR;180.00;;
BAYLE ROAD;INTERIOR;RR;100.00;;
BENITEZ ST;CASTANEDA-GABALDON;RR;150.00;;
BENITEZ ST;INTERIOR;RR;85.00;;
BENTER ST;DOCTOR ST & BOADA ST;RR;145.00;;
BENTER ST;INTERIOR;RR;80.00;;
BURGOS ST;BONIFACIO & GABALDON;RR;170.00;;
BURGOS ST;INTERIOR;RR;90.00;;
CABADING ROAD;NAT'L RD & CEMETERY RD;RR;190.00;;
CABADING ROAD;INTERIOR;RR;90.00;;
CALLA ROAD;NAT'L RD-MARKET RD;RR;155.00;;
CALLA ROAD;INTERIOR;RR;140.00;;
CEMETERY ROAD;PROV'L RD & CEM ROAD;RR;155.00;;
CEMETERY ROAD;INTERIOR;RR;80.00;;
D. BOADA ST;BENTER ST-CASTANEDA;RR;145.00;;
D. BOADA ST;INTERIOR;RR;85.00;;
D. CASTANEDA ST;CASTANDENA-GABALDON;RR;185.00;;
D. CASTANEDA ST;INTERIOR;RR;90.00;;
DEL PILAR ST;DOCTOR & BOADA  STS;RR;150.00;;
DEL PILAR ST;INTERIOR;RR;90.00;;
DON REYES ST;CORNER M DOCTOR ST;RR;150.00;;
DON REYES ST;INTERIOR;RR;85.00;;
G. EVARISTO ST;CASTANEDA-DUENG ST;RR;150.00;;
G. EVARISTO ST;INTERIOR;RR;90.00;;
GOMEZ ST;SEC NAT'L RD-SANCHEZ;RR;170.00;;
GOMEZ ST;INTERIOR;RR;100.00;;
I. ARZA ST;SEC NAT'L RD-QUEZON;RR;170.00;;
I. ARZA ST;INTERIOR;RR;90.00;;
INABAN ROAD;NAT'L ROAD-IRRIG. DITCH;CR;385.00;;
INABAN ROAD;NAT'L ROAD-IRRIG. DITCH;RR;185.00;;
INABAN ROAD;INTERIOR;RR;85.00;;
LAZAM ROAD;PORTILLA ST-BAJITA ST;RR;155.00;;
LAZAM ROAD;INTERIOR;RR;100.00;;
LOPEZ JAENA ST;PORTILLA ST-BAJITA ST;RR;145.00;;
LOPEZ JAENA ST;INTERIOR;RR;85.00;;
M. DARAN ST;CASTANEDA-DUENG ST;RR;170.00;;
M. DARAN ST;INTERIOR;RR;90.00;;
M. DOCTOR ST;CASTANEDA-BENTER ST;RR;150.00;;
M. DOCTOR ST;INTERIOR;RR;90.00;;
M. QUEZON ST;BONIFACIO & GABALDON;RR;150.00;;
M. QUEZON ST;INTERIOR;RR;90.00;;
MAGSAYSAY ST;SEC NAT'L RD-QUEZON;RR;170.00;;
MAGSAYSAY ST;INTERIOR;RR;100.00;;
MARKET RD;NAT'L RD & CALLA ROAD;CR;525.00;;
MARKET RD;NAT'L RD & CALLA ROAD;RR;205.00;;
MARKET RD;INTERIOR;RR;135.00;;
MARKET RD;SEC NAT'L RD-LAZAM RD;CR;360.00;;
MARKET RD;SEC NAT'L RD-LAZAM RD;RR;170.00;;
MARKET RD;INTERIOR;RR;90.00;;
PORTILLA ST;L. JAENA-SEC NAT'L RD;RR;160.00;;
PORTILLA ST;INTERIOR;RR;90.00;;
PROVINCIAL ROAD;NAT'L RD-CEMETERY RD;RR;200.00;;
PROVINCIAL ROAD;INTERIOR;RR;90.00;;
R. PEREZ ST;PORTILLA ST-BAJITA ST;RR;165.00;;
R. PEREZ ST;INTERIOR;RR;100.00;;
ROXAS;DOCTOR & BOADA STS;RR;150.00;;
ROXAS;INTERIOR;RR;90.00;;
SALADINO ROAD;PROVL RD & CABADING RD;RR;200.00;;
SALADINO ROAD;INTERIOR;RR;100.00;;
SALES ROAD;MARKET RD-CALLA RD;RR;160.00;;
SALES ROAD;INTERIOR;RR;90.00;;
SANCHEZ ST;BAJITA ST-GUZMAN ST;RR;140.00;;
SANCHEZ ST;INTERIOR;RR;80.00;;
VELASCO ROAD;MARKET RD & NATL RD;RR;180.00;;
VELASCO ROAD;INTERIOR;RR;90.00;;
ZAMORA ST;PORTILLA ST-BAJITA ST;RR;150.00;;
ZAMORA ST;INTERIOR;RR;95.00;;
Municipality/City:;DUPAX DEL NORTE;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;130.00;;
PROVINCIAL ROAD;;A1;10.00;;
BARANGAY ROAD;;RR;85.00;;
BARANGAY ROAD;INTERIOR;RR;65.00;;
BARANGAY ROAD;INTERIOR;A1;8.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;5.00;;
BARANGAY ROAD;INTERIOR;A23;5.00;;
BARANGAY ROAD;INTERIOR;A47;5.00;;
BARANGAY ROAD;INTERIOR;A48;5.00;;
BARANGAY ROAD;INTERIOR;A50;5.00;;
Municipality/City:;DUPAX DEL SUR;;;;
BARANGAY:;POBLACION;;;;
A. FELIX ST;DOCTOR & PROV'L ROAD;RR;300.00;;
A. FELIX ST;INTERIOR;RR;90.00;;
ALBANO ST;BASTERO ST & PROV'L RD;RR;165.00;;
ALBANO ST;INTERIOR;RR;80.00;;
ANGARA ST;NAT'L ROAD-BASTERO ST;RR;165.00;;
ANGARA ST;INTERIOR;RR;90.00;;
AREO ST;DUENG & COR PROV'L RD;RR;150.00;;
AREO ST;INTERIOR;RR;80.00;;
BASTERO ST;ESCOBAR ST & PROV'L RD;RR;170.00;;
BASTERO ST;INTERIOR;RR;85.00;;
BONIFACIO ST;SEC NAT'L RD & QUEZON;RR;180.00;;
BONIFACIO ST;INTERIOR;RR;90.00;;
CASTANEDA BLVD;;RR;200.00;;
ESCOBAR ST;NAT'L ROAD-BASTERO ST;RR;165.00;;
ESCOBAR ST;INTERIOR;RR;100.00;;
GABALDON ST;SEC. NAT'L RD & BENITEZ;RR;180.00;;
GABALDON ST;INTERIOR;RR;95.00;;
GUZMAN ST;SANCHEZ & BACK CHURCH;RR;185.00;;
GUZMAN ST;INTERIOR;RR;85.00;;
J. DUENG ST;DOCTOR & PROV'L ROAD;RR;145.00;;
J. DUENG ST;INTERIOR;RR;85.00;;
M. CUTARAN ST;DOCTOR & PROV'L ROAD;RR;150.00;;
M. CUTARAN ST;INTERIOR;RR;90.00;;
PROVINCIAL ROAD;NAT'L ROAD-ONKAY ROAD;RR;185.00;;
PROVINCIAL ROAD;INTERIOR;RR;90.00;;
ROSARIO ST;NAT'L ROAD-BASTERO ST;RR;185.00;;
ROSARIO ST;INTERIOR;RR;95.00;;
SECONDARY NATIONAL ROAD;CASTANEDA-BONIFACIO;RR;235.00;;
SECONDARY NATIONAL ROAD;INTERIOR;RR;200.00;;
T. DALLO ST;BENTER & PROV'L ROAD;RR;150.00;;
T. DALLO ST;INTERIOR;RR;90.00;;
Municipality/City:;DUPAX DEL SUR;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;150.00;;
PROVINCIAL ROAD;;RR;115.00;;
BARANGAY ROAD;;RR;75.00;;
BARANGAY ROAD;INTERIOR;RR;60.00;;
BARANGAY ROAD;INTERIOR;A1;8.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;4.00;;
BARANGAY ROAD;INTERIOR;A23;4.00;;
BARANGAY ROAD;INTERIOR;A47;4.00;;
BARANGAY ROAD;INTERIOR;A48;4.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
Municipality/City:;KAYAPA;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;PAMPANG BRIDGE-TALECEBCE ROAD;CR;80.00;;
PROVINCIAL ROAD;PAMPANG BRIDGE-R. CATHOLIC CMPD;RR;60.00;;
NATIONAL H-WAY;PAMPANG BRIDGE-KAYAPA NAT'L HIGH;RR;50.00;;
NATIONAL H-WAY;INTERIOR;RR;15.00;;
BALANGABANG ROAD;;RR;40.00;;
BALANGABANG ROAD;INTERIOR;RR;15.00;;
TALECEBCEB ROAD;;RR;35.00;;
TALECEBCEB ROAD;INTERIOR;RR;15.00;;
Municipality/City:;KAYAPA;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;25.00;;
PROVINCIAL ROAD;INTERIOR;RR;15.00;;
PROVINCIAL ROAD;INTERIOR;A1;7.00;;
BARANGAY ROAD;;RR;20.00;;
BARANGAY ROAD;INTERIOR;RR;15.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;2.00;;
BARANGAY ROAD;INTERIOR;A23;2.00;;
BARANGAY ROAD;INTERIOR;A47;2.00;;
BARANGAY ROAD;INTERIOR;A48;2.00;;
BARANGAY ROAD;INTERIOR;A50;2.00;;
BARANGAY ROAD;INTERIOR;GP;3.00;;
Municipality/City:;KASIBU;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;PRIMO ST-MANGKIATAD;RR;40.00;;
NATIONAL ROAD;PRIMO ST-PEREZ ST;RR;40.00;;
A. BUMOLO ST;NAT'L RD-PEREZ ST;RR;35.00;;
ALIGUYON ST;NAT'L ROAD-TUBO RIVER;RR;35.00;;
ASUNCION ST;C. M. RANADA-ALIGUYON;RR;35.00;;
AWIODI ST;MACPAYAO ST-TUCPI ST;RR;35.00;;
BRIMO ST;NAT'L RD-TUKID ST;RR;35.00;;
BRIMO ST;INTERIOR;RR;20.00;;
C. M. RANADA ST;P. G. DUMLAO-ASUNCION;RR;35.00;;
DULAY ST;TUBO RIVER-DULNUAN ST;RR;35.00;;
DULAY ST;INTERIOR;RR;35.00;;
