RDO NO. 46;CAINTA-TAYTAY;;;;
BAYTOWN SUBD;ALONG SEASHORE;RR;165.00;;
BAYTOWN SUBD;ALONG SEASHORE;GP;150.00;;
LT. AGUINALDO ST.;COL. MEDINA-DIAZ;RR;630.00;;
LT. AGUINALDO ST.;DIAZ ST - DR. SAMSON;RR;315.00;;
LT. AGUINALDO ST.;DR. SAMSON-SEASHORE;RR;210.00;;
COL. VILLALUZ ST.;COL. MEDINA-DIAZ;RR;630.00;;
COL. VILLALUZ ST.;DIAZ-DR. SAMSON ST.;RR;315.00;;
COL. VILLALUZ ST.;DR. SAMSON-SEASHORE;RR;210.00;;
COL. MEDINA ST.;COL. MEDINA-DIAZ;RR;600.00;;
REYES ST.;PERDEGUIRRA-L.AGUINALDO;RR;600.00;;
JARDOC ST.;AGUINALDO - TIANGSON;RR;630.00;;
DIAZ ST;AGUINALDO-EDENVILLE;RR;315.00;;
RAINBOW SUBD-RAINBOW AVENUE;YELLOW-GREEN;RR;735.00;;
RAINBOW SUBD-RAINBOW AVENUE;GREEN-SEASHORE;RR;160.00;;
RAINBOW SUBD-RAINBOW AVENUE;GRAY-YELLOW;RR;735.00;;
VIOLET ST.;YELLOW-GREEN;RR;315.00;;
VIOLET ST.;GREEN-SEASHORE;RR;160.00;;
VIOLET ST.;GRAY-YELLOW;RR;735.00;;
RED ST.;YELLOW-GREEN;RR;315.00;;
RED ST.;GREEN-SEASHORE;RR;160.00;;
RED ST.;GRAY-YELLOW;RR;735.00;;
YELLOW ST.;RED-VIOLET;RR;735.00;;
GRAY ST.;VIOLET-RED;RR;950.00;;
AURORA AVE.;LANGKA-MANGGA;RR;840.00;;
AURORA AVE.;MANGGA - SEASHORE;RR;185.00;;
AURORA AVE.;QUEZON AVE.-MACOPA;RR;735.00;;
ATIS ST.;LANGKA-MANGGA;RR;210.00;;
ATIS ST.;MANGGA - SEASHORE;RR;185.00;;
ATIS ST.;QUEZON AVE.-MACOPA;RR;735.00;;
ATIS ST.;MACOPA-LANGKA;RR;315.00;;
BAYABAS ST.;LANGKA-MANGGA;RR;210.00;;
BAYABAS ST.;MANGGA - SEASHORE;RR;185.00;;
DUHAT ST.;LANGKA-MANGGA;RR;210.00;;
DUHAT ST.;MANGGA - SEASHORE;RR;185.00;;
DUHAT ST.;QUEZON AVE.-MACOPA;RR;735.00;;
MANGGA ST.;ATIS-DUHAT;RR;210.00;;
AVOCADO ST.;MANGGA - SEASHORE;RR;185.00;;
KAIMITO ST.;MANGGA - SEASHORE;RR;185.00;;
KAIMITO ST.;QUEZON AVE.-MACOPA;RR;735.00;;
MACOPA ST.;ATIS-DUHAT;RR;735.00;;
ALL OTHER LOTS;;RR;200.00;;
ALL OTHER LOTS;;GP;150.00;;
ALL OTHER LOTS;;A50;50.00;;
ALL OTHER LOTS;;A1;80.00;;
ABESAMIS COMPOUND;;RR;420.00;;
STA. LUCIA;;RR;630.00;;
DON MARIANO SANTOS AVE.;MLA.EAST RD-MEDALVA SUBD.;RR;850.00;;
IBAÑEZ ST.;PERDIGUERRA-TOLENTINO;RR;630.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;MAHABANG PARANG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
VILLAGE EAST I;;RR;1,100.00;;
MASAGANA VILLAGE;;RR;650.00;;
PRIMEROSE  SUBD;;RR;700.00;;
DURAVILLE SUBD;;RR;700.00;;
MAHARLIKA SUBD.;;RR;700.00;;
GRAND VALLEY (CITIZEN,CARIBE);;RR;650.00;;
CATALINA (MISSION HILLS);;RR;700.00;;
DURAWOOD;;RR;1,100.00;;
FILINVEST;;RR;1,100.00;;
MARWOOD;;RR;700.00;;
ALL OTHER STREETS;;RR;700.00;;
ALL OTHER STREETS;;I;1,000.00;;
ALL OTHER STREETS;;GP;275.00;;
ALL OTHER STREETS;;A1;165.00;;
ALL OTHER STREETS;;A50;100.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;SAN ISIDRO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
QUEZON AVE;TAYTAY-ANGONO-INC;RR;2,300.00;;
QUEZON AVE;INC-ANGONO-BINAGNONAN;RR;2,300.00;;
QUEZON AVE;TOLENTINO-ANGONO BRIDGE;RR;2,700.00;;
QUEZON AVE;MACOPA-LANGKA;RR;315.00;;
QUEZON AVE. EXT. MUZON;IGLESIA-TAYTAY ANGONO;RR;2,300.00;;
QUEZON AVE. EXT.;PFC TOLENTINO-IGLESIA;RR;2,300.00;;
AURORA SUBD.;QUEZON AVE-MACOPA;RR;840.00;;
AURORA SUBD.;MACOPA-MANGA;RR;600.00;;
AURORA SUBD.;MANGA-SEASHORE;RR;150.00;;
RICHMOND SUBD;;RR;1,100.00;;
RAINBOW SUBD;GRAY - YELLOW;RR;950.00;;
RAINBOW SUBD;YELLOW - GREEN;RR;735.00;;
RAINBOW SUBD;GREEN - SEASHORE;RR;160.00;;
SUNSTRIP;;RR;950.00;;
VENUS COMPOUND;;RR;735.00;;
SAN LORENZO VILLAGE;;RR;400.00;;
GO PIAO VILLAGE;;RR;315.00;;
PLEASANT HOMES;;RR;880.00;;
HOME POINT VILLAGE;;RR;840.00;;
MERCEDES COMPOUND;;RR;840.00;;
SAN MARTIN;HILLSDALE;RR;840.00;;
NIEVES HILLS;SUNRISE SUBD.;RR;850.00;;
SUNRISE SUBD.;;RR;850.00;;
VILLA GLORIA;;RR;1,100.00;;
ARVEEMAR (ANDROMEDA);TWIN HILLS;RR;1,050.00;;
TWIN HILLS;;RR;770.00;;
LAKE VIEW;;RR;770.00;;
BORROUGH SUBD (DEV.);;RR;735.00;;
CONSTELLATION;LAKE VIENES;RR;735.00;;
COSY HOMES;;RR;770.00;;
MEDALVA VILLAGE;CASEY HOMES;RR;735.00;;
LUXURY VILLA;;RR;770.00;;
HILLSDALE;;RR;770.00;;
TRINIDAD HILLTOP VILLAGE;;RR;770.00;;
LABRADOR REALTY;;RR;770.00;;
VILLAGE EAST;TRINIDAD HILLTOP;RR;950.00;;
PERDIGUERRA ST.;QUEZON AVE. - IBAÑEZ;RR;950.00;;
TOLENTINO ST.;QUEZON AVE. - IBAÑEZ;RR;950.00;;
PASO ST.;QUEZON AVE. - ANGONO;RR;950.00;;
RUFINO ST.;QUEZON AVE. - ANGONO;RR;630.00;;
DOÑA NIEVES ST.;PERDIGUERRA - TOLENTINO;RR;950.00;;
KAIMITO ST.;MACOPA-LANGKA;RR;315.00;;
AVOCADO ST.;MACOPA-LANGKA;RR;315.00;;
BAYABAS ST.;MACOPA-LANGKA;RR;315.00;;
DUHAT ST.;MACOPA-LANGKA;RR;315.00;;
LANGKA ST.;ATIS-DUHAT;RR;315.00;;
LAURO CONSTRACK;LUXURY VILLA;RR;850.00;;
CARIBE (SAN ISIDRO);;RR;840.00;;
EDENVILLE;;RR;950.00;;
ABESAMIS COMPOUND;;RR;315.00;;
ALL OTHER SUBDIVISIONS;;RR;1,000.00;;
ALL OTHER STREETS;;GP;275.00;;
ALL OTHER STREETS;;A1;165.00;;
ALL OTHER STREETS;;A50;100.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;SAN PEDRO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
QUEZON AVENUE;BINAGONAN BOUNDARY;CR;2,600.00;;
QUEZON AVENUE;DELA PAZ-ANGONO;RR;2,300.00;;
E. DELA PAZ ST;QUEZON AVE. - CAPT. ALANO;CR;1,300.00;;
E. DELA PAZ ST;QUEZON AVE. - CAPT. ALANO;RR;950.00;;
B. GUIDO, SUMULONG & DELA PAZ;QUEZON AVE. - CAPT. ALANO;RR;950.00;;
BLOOMINGDALE SUBD.;;RR;840.00;;
CAPT. ALANO;DELA PAZ - GUIDO;RR;840.00;;
ALL OTHER STREETS;;RR;300.00;;
ALL OTHER STREETS;;GP;275.00;;
ALL OTHER STREETS;;A1;165.00;;
ALL OTHER STREETS;;A50;100.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;SAN ROQUE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
QUEZON AVENUE;;RR;2,200.00;;
QUEZON AVENUE;;CR;2,600.00;;
D. AURORA ST.;;RR;950.00;;
CAPT. BLAS ST;;RR;1,000.00;;
CAPT. BLAS ST;;CR;1,000.00;;
MANILA EASTROAD;;RR;2,000.00;;
MANILA EASTROAD;;CR;2,000.00;;
D. JUSTA GUIDO I;;RR;630.00;;
D. JUSTA GUIDO II;;RR;630.00;;
JERALD SUBD (UNAMONTE);;RR;315.00;;
VILLAGE EAST II;;RR;2,000.00;;
COR. GUIDO ST.;;RR;950.00;;
TIAMSON ST.;;RR;840.00;;
ALL OTHER STREETS;;GP;275.00;;
ALL OTHER STREETS;;RR;300.00;;
ALL OTHER STREETS;;A1;165.00;;
ALL OTHER STREETS;;A50;100.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;SAN VICENTE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
E. RODRIGUEZ;GARCIA-GRACERA;RR;500.00;;
E. RODRIGUEZ;GRACERA-SEASHORE;RR;500.00;;
D. NIEVES ST;GARCIA-GRACERA;RR;420.00;;
D. NIEVES ST;GRACERA-SEASHORE;RR;400.00;;
IBAÑEZ ST;GARCIA-GRACERA;RR;420.00;;
IBAÑEZ ST;GRACERA-SEASHORE;RR;210.00;;
GARCIA ST.;RODRIGUEZ-IBAÑEZ;RR;420.00;;
GRACERA ST.;RODRIGUEZ-IBAÑEZ;RR;315.00;;
CARIBE SUBD.;;RR;275.00;;
EXODUS SUBD.;;RR;1,050.00;;
ALL OTHER STREETS;ALONG SEASHORE;GP;160.00;;
ALL OTHER STREETS;ALONG SEASHORE;A1;80.00;;
ALL OTHER STREETS;ALONG SEASHORE;A50;50.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;STO. NIÑO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
QUEZON AVENUE;BRIDGE-RODRIGUEZ;RR;2,100.00;;
QUEZON AVENUE;BRIDGE-RODRIGUEZ;CR;2,600.00;;
E. RODRIGUEZ;DIAZ-GARCIA;RR;950.00;;
D. NIEVES ST.;;RR;950.00;;
IBAÑEZ ST.;;RR;950.00;;
GARCIA ST.;NIEVES-BRIDGE IBABA;RR;850.00;;
PLEASANT HOMES SUBD;;RR;600.00;;
CARIBE SUBD.;;RR;700.00;;
ALL OTHER STREETS;;RR;300.00;;
ALL OTHER STREETS;;GP;275.00;;
ALL OTHER STREETS;;A1;165.00;;
ALL OTHER STREETS;;A50;100.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;BAGUMBAYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
APFMBAI;;RR;2,500.00;;
EASTVILLE;;RR;2,250.00;;
FILINVEST HOMES;;RR;2,250.00;;
KATARUNGAN VILL.;;RR;2,250.00;;
FEU SUBD.;;RR;1,750.00;;
MAHOGANY PARK;;RR;1,750.00;;
PAULITA GENER;;RR;1,750.00;;
KINGSVILLE;;RR;2,250.00;;
TOWN & COUNTRY HOMES;;RR;2,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,000.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;BALANTI;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
ADELINA HOMES;;RR;1,750.00;;
BALANTI (PROV. SUBD.);;RR;1,000.00;;
FINASIA HOMES;;RR;1,750.00;;
FRANCISCA HOMES;;RR;1,750.00;;
GENESIS HOMES;;RR;1,750.00;;
GOLDEN MILE;;RR;1,750.00;;
GRANDE VALLE;;RR;1,750.00;;
GREEN ACRES;;RR;1,750.00;;
J.B. BAUTISTA CMPD;;RR;1,750.00;;
J.E. CMPD;;RR;1,750.00;;
MARCOS HIGHWAY;UNIWIDE-ANTPLO BDRY;RR;16,000.00;;
MARCOS HIGHWAY;PASIG-ANTIPOLO BDRY;CR;20,000.00;;
MARCOS HIGHWAY;PASIG-ANTIPOLO BDRY;I;20,000.00;;
CONDOMINIUMS;;CC/RC;35,000.00;;
TOWNHOUSES;;CC/RC;30,000.00;;
MAYAMOT;;RR;2,000.00;;
PASCO CMPD.;;RR;1,750.00;;
ROOSEVELT PARKS;;RR;1,750.00;;
ST. DOMINIC;;RR;2,000.00;;
ST. GREGORY SUBD.;;RR;1,250.00;;
SUMULONG HIGHWAY;MRKNA - ANTIPOLO;RR;7,000.00;;
SUMULONG HIGHWAY;MRKNA - ANTIPOLO;CR;7,000.00;;
SUMULONG HIGHWAY;MRKNA - ANTIPOLO;I;10,000.00;;
CONDOMINIUMS;;CC;18,000.00;;
CONDOMINIUMS;;RC;18,000.00;;
TOWNHOUSES;;CC;15,000.00;;
TOWNHOUSES;;RC;15,000.00;;
UE SUBD.;;RR;1,250.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;1,500.00;;
ALL OTHER CONDOMINIUMS;;CC/RC;20,000.00;;
ALL OTHER TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;BATONG DALIG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
BROOKSIDE HILLS;;RR;2,000.00;;
PARKPLACE;;RR;2,000.00;;
VALLEY VIEW EXEC.;;RR;2,000.00;;
VALLEY GOLF ROAD;;CR;5,500.00;;
VALLEY GOLF ROAD;;RR;4,500.00;;
VALLEY GOLF ROAD;;I;5,000.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;BULAO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
BROOKSIDE HILLS SUBD.;;RR;2,250.00;;
PARKPLACE;;RR;2,250.00;;
VISTA VERDE COUNTRY HOMES;;RR;2,250.00;;
COUNTRY HOMES;;RR;2,500.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;KABABAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
GREENLAND SUBD.;;RR;2,250.00;;
LUNA JAVIER CMPD.;;RR;1,750.00;;
MAXIM COMPOUND;;RR;1,750.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;KAWAYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
URBAN POOR;;RR;1,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;LIBIS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
GREENWOODS SUBD.;;RR;2,250.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;MAPANDAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
APPLE VILLAGE;;RR;2,250.00;;
IGOROT VILLAGE;;RR;1,500.00;;
PALMERA HOMES;;RR;2,250.00;;
RIDGEMONT SUBD.;;RR;2,250.00;;
STA. MARTHAS SUBD;;RR;2,250.00;;
SUBURBAN SUBD;;RR;2,250.00;;
VALLEY GOLF SUBD. (VIEW EXEC VILL);;RR;2,250.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;MAYAMOT;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
BALANTI SUBD. (MUN.);;RR;1,750.00;;
ST. DOMINIC SUBD.;;RR;1,650.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC /RC;20,000.00;;
TOWNHOUSES;;CC /RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;NAGKRUS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
COSTA VILLA;;RR;2,250.00;;
MIDTOWN SUBD;;RR;1,750.00;;
ORTIGAS AVE.;PASIG-TAYTAY BDRY.;RR;13,500.00;;
ORTIGAS AVE.;PASIG-TAYTAY BDRY.;CR;15,000.00;;
ORTIGAS AVE.;PASIG-TAYTAY BDRY.;I;20,000.00;;
CONDOMINIUMS;;CC/RC;25,000.00;;
TOWNHOUSES;;CC/RC;20,000.00;;
ST. JOSEPH SUBD.;;RR;1,750.00;;
VILLARICA SUBD.;;RR;1,750.00;;
ALL OTHER STREETS;;GP;500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;NAGPATONG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
APPLE VILLAGE;;RR;2,250.00;;
EASTER HEIGHTS;;RR;2,250.00;;
VALLEY GOLF SUBD.;;RR;2,250.00;;
VALLEY VIEW EXEC.;;RR;2,250.00;;
VALLEY GOLF ROAD;;CR;5,500.00;;
VALLEY GOLF ROAD;;I;5,000.00;;
VALLEY GOLF ROAD;;RR;4,000.00;;
VALLEY VIEW ROYALE;;RR;2,500.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;PAGSANJAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
F. FELIX AVE.;MARCOS HWAY-PASIG;CR;16,000.00;;
F. FELIX AVE.;CAINTA GREENPARK;RR;15,000.00;;
F. FELIX AVE.;CAINTA GREENPARK;I;20,000.00;;
F. FELIX AVE.;PASIG GREENPARK-KASIBULAN;CR;11,000.00;;
F. FELIX AVE.;PASIG GREENPARK-KASIBULAN;RR;10,000.00;;
F. FELIX AVE.;PASIG GREENPARK-KASIBULAN;I;10,000.00;;
F. FELIX AVE.;KASIBULAN-JUNCTION;RR;7,000.00;;
F. FELIX AVE.;KASIBULAN-JUNCTION;CR;8,000.00;;
F. FELIX AVE.;KASIBULAN-JUNCTION;I;8,000.00;;
CONDOMINIUMS;;CC/RC;35,000.00;;
TOWNHOUSES;;CC/RC;30,000.00;;
FILINVEST HOMES;;RR;2,250.00;;
KASIBULAN VILLAGE II;;RR;2,250.00;;
PASIG GREEN HOMES;;RR;2,250.00;;
VILLAGE EAST;;RR;2,250.00;;
VISTA VERDE;;RR;3,000.00;;
CAINTA GREEN PARK;;RR;2,250.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
ALL OTHER CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;SAN ANDRES;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
A. LUNA ST.;;RR;1,250.00;;
A. MABINI ST.;;RR;1,250.00;;
EMERALD CMPD.(SUBD.);;RR;1,250.00;;
J. BASIG ST.;;RR;1,250.00;;
J. BUENVIAJE ST;;RR;1,250.00;;
LACANIENTA ST.;;RR;1,250.00;;
LANEVILLE;;RR;1,750.00;;
MADERA HOMES;;RR;1,750.00;;
MADONNA HOMES;;RR;1,750.00;;
MENDOZA ST;;RR;1,250.00;;
M.L. QUEZON ST.;;RR;1,250.00;;
MIDTOWN SUBD.;;RR;1,750.00;;
PAROLA ST.;;RR;1,250.00;;
RIZAL ST.;;RR;1,250.00;;
SUMMER GREEN;;RR;1,750.00;;
ST. ANDREW SUBD.;;RR;1,250.00;;
TEACHERS VILL.;;RR;1,500.00;;
VENICA HOMES;;RR;1,750.00;;
A RODRIGUEZ AVE.;;CR;3,500.00;;
A RODRIGUEZ AVE.;;I;2,500.00;;
A RODRIGUEZ AVE.;;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;1,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;SAN ISIDRO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
TOWN & COUNTRY SUBD;;RR;2,250.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;SAN JOSE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
A PRIME CMPD.;;RR;1,750.00;;
DM COMPD;;RR;1,750.00;;
DA COMPOUND;;RR;1,750.00;;
FELIX SUBD.;;RR;1,150.00;;
HARAP NG SIMBAHAN;;RR;1,250.00;;
MAXIMS CMPD. (MAXIS CMPD);;RR;1,250.00;;
MIDTOWN SUBD.;;RR;1,750.00;;
PABTON VILLE;;RR;1,750.00;;
ROD-FER II;;RR;2,000.00;;
VILLA ESTELA;;RR;1,750.00;;
4711 HEIGHTS;;RR;1,250.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,000.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;SAN JUAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
ESPIRITU CMPD;;RR;1,250.00;;
GEN. RICARTE ST. (MRR);;RR;1,000.00;;
GREENLAND SUBD.;;RR;2,250.00;;
JAVIER ST.;;RR;1,250.00;;
MIDLAND SUBD.;;RR;2,000.00;;
ORTIGAS AVENUE;PASIG-TAYTAY BDRY.;CR;15,000.00;;
ORTIGAS AVENUE;PASIG-TAYTAY BDRY.;RR;13,500.00;;
ORTIGAS AVENUE;PASIG-TAYTAY BDRY.;I;20,000.00;;
CONDOMINIUMS;;CC/RC;25,000.00;;
TOWNHOUSES;;CC/RC;20,000.00;;
