RDO:;RDO NO.  10 BONTOC, MT. PROVINCE;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;OTUCAN NORTE;;
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;OTUCAN SUR;;
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;OTUCAN POBLACION;;
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;SADSADAN;;
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;SINTO;;
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;TAPAPAN;;
ALL LOTS;;RR;63.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;AGAWA;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;AMBAGIW;;
ALL LOTS;;RR;30.00
ALL LOTS;;A1;40.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;BANGUITAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;BESAO EAST;;
ALL LOTS;;RR;60.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;BESAO WEST;;
ALL LOTS;;RR;60.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;CATENGAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;GUEDAY;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;KIN-IWAY;;
ALL LOTS;;CR;98.00
ALL LOTS;;RR;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;LACMAAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;LAYLAYA;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
BARANGAY:;PADANGAAN;;
ALL LOTS;;RR;60.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;PANABUNGEN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;40.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;PAYEO;;
ALL LOTS;;RR;60.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;SUQUIB;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;TAMBOAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;ALAB  ORIENTE;;
ALL LOTS;;RR;150.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;ALAB PROPER;;
ALL LOTS;;RR;150.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;BALILI;;
ALL LOTS;;RR;150.00
ALL LOTS;;A1;50.00
ALL LOTS;;;
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;BAYYO;;
ALL LOTS;;RR;100.00
ALL LOTS;;A1;50.00
ALL LOTS;;;
;;;
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;BONTOC ILI;;
ALL LOTS;;RR;250.00
ALL LOTS;;CR;500.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;CALUTTIT;;
ALL LOTS;;RR;250.00
ALL LOTS;;CR;500.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;CAN-EO;;
ALL LOTS;;RR;50.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;DALICAN;;
ALL LOTS;;RR;50.00
ALL LOTS;;A1;50.00
ALL LOTS;;;
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;GONOGON;;
ALL LOTS;;RR;150.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;GUINA-ANG;;
ALL LOTS;;RR;100.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;MAINIT;;
ALL LOTS;;RR;100.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;MALIGCONG;;
ALL LOTS;;RR;100.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;POBLACION;;
ALL LOTS;;RR;500.00
ALL LOTS;;CR;1,000.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;SAMOKI;;
ALL LOTS;;RR;150.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;TALUBIN BAN-AY;;
ALL LOTS;;RR;100.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;TALUBIN DODDO;;
ALL LOTS;;RR;150.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;TOCUCAN;;
ALL LOTS;;RR;100.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;ALUNUGAN;;
ALL LOTS;;RR;16.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;BALANGAO;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;BANAO;;
ALL LOTS;;RR;8.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;BANAWEL;;
ALL LOTS;;RR;16.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;BUTAC;;
ALL LOTS;;RR;16.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;MADUCAYAN;;
ALL LOTS;;RR;8.00
ALL LOTS;;A1;30.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;POBLACION;;
ALL LOTS;;RR;38.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;SALIOK;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;SANTA ISABEL;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;TONGLAYAN;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;PARACELIS (PARACALES);;
BARANGAY:;ANONAT;;
ALL LOTS;;RR;16.00
ALL LOTS;;A1;75.00
CITY/MUNICIPALITY:;PARACELIS (PARACALES);;
BARANGAY:;BACARRI;;
ALL LOTS;;RR;24.00
ALL LOTS;;A1;75.00
CITY/MUNICIPALITY:;PARACELIS (PARACALES);;
BARANGAY:;BANANAO;;
ALL LOTS;;RR;24.00
ALL LOTS;;A1;75.00
CITY/MUNICIPALITY:;PARACELIS (PARACALES);;
BARANGAY:;BANTAY;;
ALL LOTS;;RR;24.00
ALL LOTS;;A1;75.00
CITY/MUNICIPALITY:;PARACELIS (PARACALES);;
BARANGAY:;BUNOT;;
ALL LOTS;;RR;16.00
ALL LOTS;;A1;75.00
CITY/MUNICIPALITY:;PARACELIS (PARACALES);;
BARANGAY:;BURINGAL;;
ALL LOTS;;RR;16.00
ALL LOTS;;A1;75.00
CITY/MUNICIPALITY:;PARACELIS (PARACALES);;
BARANGAY:;BUTIGUE;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;75.00
CITY/MUNICIPALITY:;PARACELIS (PARACALES);;
BARANGAY:;PALITUD;;
ALL LOTS;;RR;24.00
ALL LOTS;;A1;75.00
CITY/MUNICIPALITY:;PARACELIS (PARACALES);;
BARANGAY:;POBLACION;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;75.00
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;BAO-ANGAN;;
ALL LOTS;;RR;48.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;BUN-AYAN;;
ALL LOTS;;RR;48.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;BUSA;;
ALL LOTS;;RR;72.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;CAMATAGAN;;
ALL LOTS;;RR;72.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;CAPINITAN;;
ALL LOTS;;RR;72.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;DATA;;
ALL LOTS;;RR;24.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;GAYANG;;
ALL LOTS;;RR;24.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;LAGAN;;
ALL LOTS;;RR;24.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;RR;15.00
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;LESEB;;
ALL LOTS;;RR;24.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;NAMATEC;;
ALL LOTS;;RR;48.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;RR;15.00
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;NAPUA;;
ALL LOTS;;RR;24.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;PINGAD;;
ALL LOTS;;RR;72.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;POBLACION;;
ALL LOTS;;RR;108.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;SUPANG;;
ALL LOTS;;RR;72.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SABANGAN;;
BARANGAY:;TAMBINGAN;;
ALL LOTS;;RR;72.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SADANGA;;
BARANGAY:;ANABEL;;
ALL LOTS;;RR;26.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SADANGA;;
BARANGAY:;BEKIGAN;;
ALL LOTS;;RR;26.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SADANGA;;
BARANGAY:;BELWANG;;
ALL LOTS;;RR;26.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SADANGA;;
BARANGAY:;BETWAGAN;;
ALL LOTS;;RR;25.00
ALL LOTS;;A1;30.00
CITY/MUNICIPALITY:;SADANGA;;
BARANGAY:;DEMANG;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;30.00
CITY/MUNICIPALITY:;SADANGA;;
BARANGAY:;POBLACION;;
ALL LOTS;;RR;63.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SADANGA;;
BARANGAY:;SACLIT;;
ALL LOTS;;RR;25.00
ALL LOTS;;A1;30.00
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;AGUID;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;AMBASING;;
ALL LOTS;;RR;68.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;ANKILENG;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;ANTADAO;;
ALL LOTS;;RR;68.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;BALUGAN;;
ALL LOTS;;RR;46.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;BANGAAN;;
ALL LOTS;;RR;46.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;DAGDAG;;
ALL LOTS;;RR;113.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;DEMANG;;
ALL LOTS;;RR;45.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;FIDELISAN;;
ALL LOTS;;RR;113.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;KILONG;;
ALL LOTS;;RR;45.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;MADONGO;;
ALL LOTS;;RR;45.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;NACAGANG;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;PIDE;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;POBLACION;;
ALL LOTS;;RR;113.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;SUYO;;
ALL LOTS;;RR;68.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;TACCONG;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;TANULONG;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;TETEP-AN NORTE;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;SAGADA;;
BARANGAY:;TETEP-AN SUR;;
ALL LOTS;;RR;23.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;BALAOA;;
ALL LOTS;;RR;51.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;BANA-AO;;
ALL LOTS;;RR;17.00
ALL LOTS;;A50;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;BANTEY;;
ALL LOTS;;RR;34.00
ALL LOTS;;A50;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;BATAYAN;;
ALL LOTS;;RR;34.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;BUNGA;;
ALL LOTS;;RR;34.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;CADAD-ANAN;;
ALL LOTS;;RR;17.00
ALL LOTS;;A50;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;CAGUBATAN;;
ALL LOTS;;RR;17.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;DACUDAC;;
ALL LOTS;;RR;17.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;DUAGAN;;
ALL LOTS;;RR;17.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;KAYAN EAST;;
ALL LOTS;;RR;51.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;RR;15.00
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;KAYAN WEST;;
ALL LOTS;;RR;51.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;RR;15.00
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;LENGA;;
ALL LOTS;;RR;17.00
ALL LOTS;;A50;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;LUBON;;
ALL LOTS;;RR;51.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;RR;15.00
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;MABALITE;;
ALL LOTS;;RR;17.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;MASLA;;
ALL LOTS;;RR;51.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;RR;15.00
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;PANDAYAN;;
ALL LOTS;;RR;17.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;POBLACION;;
ALL LOTS;;RR;84.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;SUMADEL;;
ALL LOTS;;RR;51.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;RR;15.00
CITY/MUNICIPALITY:;TADIAN;;
BARANGAY:;TUE;;
ALL LOTS;;RR;51.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
