RDO:;RDO NO. 14 - BAYOMBONG, NUEVA  VIZCAYA;;;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A3;4.00;;
BARANGAY ROAD;INTERIOR;A4;4.00;;
BARANGAY ROAD;INTERIOR;A5;4.00;;
BARANGAY ROAD;INTERIOR;A6;4.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;4.00;;
CITY/MUNICIPALITY:;BAMBANG;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;MENDIOLA-MERCADO ST;CR;1,600.00;;
NATIONAL ROAD;MENDIOLA-SN FERNANDO;CR;1,600.00;;
LARA ST;;RR;575.00;;
SULUCAN ST;;RR;575.00;;
COMMON ST;;RR;550.00;;
BAYSA ST;;RR;550.00;;
METHODISTA ST;;RR;525.00;;
OSMENA ST;;RR;500.00;;
DEWEY ST;;RR;500.00;;
WILLIAM ST;MABINI ST-MILLAN;RR;500.00;;
WILLIAM ST;SALINAS-BURGOS BLVD;RR;500.00;;
WILLIAM ST;JON ST-MCKINLEY ST;RR;500.00;;
REAL ST;MABINI ST-MILLAN ST;RR;500.00;;
REAL ST;SALINAS-BURGOS BLVD;RR;500.00;;
GOMEZ ST;;RR;500.00;;
ZAMORA ST;;RR;500.00;;
ERMIA ST;;RR;500.00;;
CAMPO SANTO SENOBREST;;RR;500.00;;
CITY/MUNICIPALITY:;BAMBANG;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;200.00;;
PROVINCIAL ROAD;;RR;150.00;;
BARANGAY ROAD;;RR;100.00;;
BARANGAY ROAD;INTERIOR;RR;75.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A3;4.00;;
BARANGAY ROAD;INTERIOR;A4;4.00;;
BARANGAY ROAD;INTERIOR;A5;4.00;;
BARANGAY ROAD;INTERIOR;A6;4.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;4.00;;
CITY/MUNICIPALITY:;BAYOMBONG;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;SAN JOSE ST-STA ROSA;RR;1,000.00;;
NATIONAL ROAD;INTERIOR;RR;650.00;;
NATIONAL ROAD;PONCE ST-SAN JOSE ST;CR;800.00;;
NATIONAL ROAD;PONCE ST-SAN JOSE ST;RR;800.00;;
NATIONAL ROAD;INTERIOR;RR;500.00;;
NATIONAL ROAD;SAQUING ST-PONCE ST;CR;1,500.00;;
NATIONAL ROAD;SAQUING ST-PONCE ST;RR;800.00;;
NATIONAL ROAD;INTERIOR;RR;500.00;;
NATIONAL ROAD;BAYOMBONG PLAZA-SAQUING ST;CR;1,500.00;;
NATIONAL ROAD;BAYOMBONG PLAZA-SAQUING ST;RR;1,150.00;;
NATIONAL ROAD;INTERIOR;RR;850.00;;
NATIONAL ROAD;DUMLAO BLVD-BAYOMBONG COLOCOL CREEK;CR;1,500.00;;
NATIONAL ROAD;DUMLAO BLVD-BAYOMBONG COLOCOL CREEK;RR;775.00;;
NATIONAL ROAD;INTERIOR;RR;600.00;;
NATIONAL ROAD;BAY COL CRK-DIV ROAD;CR;1,500.00;;
NATIONAL ROAD;BAY COL CRK-DIV ROAD;RR;775.00;;
NATIONAL ROAD;INTERIOR;RR;500.00;;
NATIONAL ROAD;NATL DIV RD-NVSIT ROAD;RR;275.00;;
NATIONAL ROAD;INTERIOR;RR;190.00;;
DIVERSION ROAD;COR NATL RD-RIZAL ST;RR;230.00;;
DIVERSION ROAD;INTERIOR;RR;180.00;;
DUMLAO BLVD;SGT LB PEREZ ST-BASA;CR;1,800.00;;
DUMLAO BLVD;SGT LB PEREZ ST-BASA;RR;900.00;;
DUMLAO BLVD;INTERIOR;RR;600.00;;
DUMLAO BLVD;BASA ST-MABINI ST;CR;1,250.00;;
DUMLAO BLVD;BASA ST-MABINI ST;RR;775.00;;
DUMLAO BLVD;INTERIOR;RR;450.00;;
SGT. LB PEREZ ST;DUMLAO BLVD-MALVAR;CR;800.00;;
SGT. LB PEREZ ST;DUMLAO BLVD-MALVAR;RR;625.00;;
SGT. LB PEREZ ST;INTERIOR;RR;400.00;;
JOSE ABAD SANTOS ST;BAY. COLOCO-MALVAR ST;RR;625.00;;
JOSE ABAD SANTOS ST;INTERIOR;RR;450.00;;
ZULUETA ST;BAY. COLOCOL CRK-MALVAR;RR;425.00;;
ZULUETA ST;INTERIOR;RR;260.00;;
BASA ST;BAY. COLOCOL CRK-TATE ST;RR;425.00;;
BASA ST;INTERIOR;RR;275.00;;
GONONG ST;BAY. COL CREEK;RR;425.00;;
GONONG ST;INTERIOR;RR;260.00;;
ZAMORA ST;BAY. COLOCOL CRK-ZAMORA;RR;425.00;;
ZAMORA ST;INTERIOR;RR;260.00;;
MABINI ST;QUEZON ST-MAGSAYSAY;RR;425.00;;
MABINI ST;INTERIOR;RR;260.00;;
MAJ DUMLAO ST;DUMLAO-CABARROGUIS;RR;425.00;;
MAJ DUMLAO ST;INTERIOR;RR;260.00;;
CAPT. F. SANTOS ST;DUMLAO-CABARROGUIS;RR;425.00;;
CAPT. F. SANTOS ST;INTERIOR;RR;260.00;;
TARINGIN;E. D. TIAM ST-DUMLAO;RR;325.00;;
TARINGIN;INTERIOR;RR;200.00;;
VISTA ALEGRE;E. D. TIAM ST-DUMLAO;RR;225.00;;
VISTA ALEGRE;INTERIOR;RR;200.00;;
E. D. TIAM ST;BARINGIN-VISTA ALEGRE;RR;325.00;;
E. D. TIAM ST;INTERIOR;RR;175.00;;
CABARROQUIS ST;E. D. TIAM-AGLIPAY ST;RR;225.00;;
CABARROQUIS ST;INTERIOR;RR;150.00;;
MALVAR ST;ZULUETA ST-CICM ROAD;RR;500.00;;
MALVAR ST;INTERIOR;RR;340.00;;
MALVAR ST;MALIGAYA ST-STA. ROSA;RR;400.00;;
MALVAR ST;INTERIOR;RR;200.00;;
MAGSAYSAY ST;SGT. LB PEREZ-GONONG;RR;500.00;;
MAGSAYSAY ST;INTERIOR;RR;340.00;;
ALEJANDRO ST;MABINI ST-NATL RD;RR;550.00;;
ALEJANDRO ST;INTERIOR;RR;350.00;;
BURGOS ST;MABINI ST-NATL RD;RR;900.00;;
BURGOS ST;INTERIOR;RR;575.00;;
QUEZON ST;MABINI ST-NATL RD;RR;900.00;;
QUEZON ST;INTERIOR;RR;575.00;;
CAPT. A. DELA CRUZ ST;NAT'L ROAD-PONCE ST;RR;775.00;;
CAPT. A. DELA CRUZ ST;INTERIOR;RR;575.00;;
STO. DOMINGO ST;COMMON CITIZEN ST -CAPT A.DELA CRUZ;RR;950.00;;
STO. DOMINGO ST;INTERIOR;RR;625.00;;
RIZAL ST;NAT'L ROAD-DIVERSION;RR;425.00;;
RIZAL ST;INTERIOR;RR;225.00;;
PATERNO ST;NAT'L ROAD-F. BELISARIO ST;RR;950.00;;
PATERNO ST;INTERIOR;RR;625.00;;
GADINGAN ST;COMMON CITIZEN ST -CAPT. A DELA CRUZ;RR;900.00;;
GADINGAN ST;INTERIOR;RR;625.00;;
COMMON CITIZEN ST;NAT'L ROAD-BELISARIO ST;RR;900.00;;
COMMON CITIZEN ST;INTERIOR;RR;625.00;;
A. DELA CRUZ ST.;NAT'L ROAD BELISARIO ST;RR;900.00;;
A. DELA CRUZ ST.;INTERIOR;RR;625.00;;
SAQUING ST;BAY. COL CRK-SAN VIDAL;RR;950.00;;
SAQUING ST;INTERIOR;RR;650.00;;
CICIM ROAD;SAN VIDAL-CABARROGUIS;RR;825.00;;
CICIM ROAD;INTERIOR;RR;400.00;;
DONA. T. F. DE GUZMAN ST;CICM RD-MALVAR ST;RR;825.00;;
DONA. T. F. DE GUZMAN ST;INTERIOR;RR;400.00;;
DELA CRUZ ST;CICM RD-MALVAR ST;RR;825.00;;
DELA CRUZ ST;INTERIOR;RR;450.00;;
REGIDOR ST;CAPT. A. DELA CRUZ-SAN VIDAL ST;RR;825.00;;
REGIDOR ST;INTERIOR;RR;450.00;;
LUNA ST;CAPT DELA CRUZ-NATL RD;RR;825.00;;
LUNA ST;INTERIOR;RR;450.00;;
JAENA ST;CAPT. A. DELA CRUZ-SAN VIDAL ST;RR;825.00;;
JAENA ST;INTERIOR;RR;450.00;;
DEL PILAR ST;CAPT. A. DELA CRUZ-SAN VIDAL ST;RR;825.00;;
DEL PILAR ST;INTERIOR;RR;450.00;;
PONCE ST;CAPT. A. DELA CRUZ ST-CABARROGUIS ST;RR;825.00;;
PONCE ST;INTERIOR;RR;450.00;;
SAN VIDAL ST;SAQUING ST-PONCE ST;RR;775.00;;
SAN VIDAL ST;INTERIOR;RR;450.00;;
GUTONG ST;PONCE ST-AGLIPAY ST;RR;775.00;;
GUTONG ST;INTERIOR;RR;450.00;;
SAN JOSE ST;NAT'L RD-CABARROGUIS;RR;775.00;;
SAN JOSE ST;INTERIOR;RR;450.00;;
AGLIPAY ST;NAT'L RD-CABARROGUIS;RR;725.00;;
AGLIPAY ST;INTERIOR;RR;400.00;;
MALIGAYA ST;NAT'L RD-MALIGAYA ST;RR;725.00;;
MALIGAYA ST;INTERIOR;RR;400.00;;
SANTA ROSA ST;NAT'L RD-STA ROSA ST;RR;400.00;;
SANTA ROSA ST;INTERIOR;RR;200.00;;
CITY/MUNICIPALITY:;BAYOMBONG;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;300.00;;
PROVINCIAL ROAD;;CR;300.00;;
PROVINCIAL ROAD;;RR;250.00;;
BARANGAY ROAD;;RR;200.00;;
BARANGAY ROAD;INTERIOR;RR;150.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A3;4.00;;
BARANGAY ROAD;INTERIOR;A4;4.00;;
BARANGAY ROAD;INTERIOR;A5;4.00;;
BARANGAY ROAD;INTERIOR;A6;4.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;4.00;;
CITY/MUNICIPALITY:;DIADI;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;;CR;150.00;;
PROVINCIAL ROAD;;RR;80.00;;
PROVINCIAL ROAD;INTERIOR;RR;70.00;;
STREET NO. 1;;RR;100.00;;
MARKET SITE;ALONG THE ROAD;CR;100.00;;
(STREETS 1, 2 & 3);INTERIOR;RR;100.00;;
CITY/MUNICIPALITY:;DIADI;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;70.00;;
PROVINCIAL ROAD;;RR;70.00;;
BARANGAY ROAD;;RR;50.00;;
BARANGAY ROAD;INTERIOR;RR;30.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A3;3.00;;
BARANGAY ROAD;INTERIOR;A4;3.00;;
BARANGAY ROAD;INTERIOR;A5;3.00;;
BARANGAY ROAD;INTERIOR;A6;3.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;3.00;;
CITY/MUNICIPALITY:;DUPAX DEL NORTE;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;MARKET RD & RC CHURCH;CR;500.00;;
NATIONAL ROAD;;RR;220.00;;
NATIONAL ROAD;INTERIOR;RR;120.00;;
;MODEL RD & MARKET RD;RR;170.00;;
;INTERIOR;RR;90.00;;
MARKET RD;NAT'L RD & CALLA ROAD;CR;500.00;;
MARKET RD;NAT'L RD & CALLA ROAD;RR;200.00;;
MARKET RD;INTERIOR;RR;120.00;;
INABAN ROAD;NAT'L ROAD-IRRIG DITCH;CR;365.00;;
INABAN ROAD;NAT'L ROAD-IRRIG DITCH;RR;165.00;;
INABAN ROAD;INTERIOR;RR;60.00;;
BARROGA ROAD;CABADING RD & PROV'L RD;CR;155.00;;
BARROGA ROAD;INTERIOR;RR;80.00;;
CABADING ROAD;NAT'L RD & CEMETERY RD;RR;180.00;;
CABADING ROAD;INTERIOR;RR;80.00;;
VELASCO ROAD;MARKET RD & NAT'L RD;RR;155.00;;
VELASCO ROAD;INTERIOR;RR;80.00;;
PROVINCIAL ROAD;NAT'L RD-CEMETERY RD;RR;190.00;;
PROVINCIAL ROAD;INTERIOR;RR;80.00;;
BENITEZ ST;CASTANEDA-GABALDON;RR;145.00;;
BENITEZ ST;INTERIOR;RR;70.00;;
M. QUEZON ST;BONIFACIO & GABALDON;RR;145.00;;
M. QUEZON ST;INTERIOR;RR;75.00;;
D. CASTAÑEDA ST;CASTANDENA-GABALDON;RR;165.00;;
D. CASTAÑEDA ST;INTERIOR;RR;80.00;;
BURGOS ST;BONIFACIO & GABALDON;RR;150.00;;
BURGOS ST;INTERIOR;RR;80.00;;
MAGSAYSAY ST;SEC NAT'L RD-QUEZON;RR;165.00;;
MAGSAYSAY ST;INTERIOR;RR;90.00;;
I.ARZA ST;SEC NAT'L RD-QUEZON;RR;155.00;;
I.ARZA ST;INTERIOR;RR;80.00;;
M. DARAN ST;CASTAÑEDA-DUENG ST;RR;150.00;;
M. DARAN ST;INTERIOR;RR;80.00;;
G EVARISTO ST;CASTAÑEDA-DUENG ST;RR;145.00;;
G EVARISTO ST;INTERIOR;RR;80.00;;
M DOCTOR ST;CASTAÑEDA-BENTER ST;RR;145.00;;
M DOCTOR ST;INTERIOR;RR;80.00;;
D. BOADA ST;BENTER ST-CASTAÑEDA;RR;130.00;;
D. BOADA ST;INTERIOR;RR;70.00;;
BENTER ST;DOCTOR ST & BOADA ST;RR;130.00;;
BENTER ST;INTERIOR;RR;55.00;;
DEL PILAR ST;DOCTOR & BOADA  STS;RR;140.00;;
DEL PILAR ST;INTERIOR;RR;75.00;;
ROXAS;DOCTOR & BOADA STS;RR;140.00;;
ROXAS;INTERIOR;RR;70.00;;
DON REYES ST;CORNER M DOCTOR ST;RR;140.00;;
DON REYES ST;INTERIOR;RR;65.00;;
LOPEZ JAENA ST;PORTILLA ST.-BAJITA ST;RR;130.00;;
LOPEZ JAENA ST;INTERIOR;RR;70.00;;
ZAMORA ST;PORTILLA ST-BAJITA ST;RR;140.00;;
ZAMORA ST;INTERIOR;RR;85.00;;
LAZAM ROAD;PORTILLA ST-BAJITA ST;RR;150.00;;
LAZAM ROAD;INTERIOR;RR;90.00;;
R. PEREZ ST;PORTILLA ST-BAJITA ST;RR;160.00;;
R. PEREZ ST;INTERIOR;RR;90.00;;
GOMEZ ST;SEC NAT'L RD-SANCHEZ;RR;165.00;;
GOMEZ ST;INTERIOR;RR;90.00;;
BAJITA ST;SEC NAT'L RD-L JAENA;RR;160.00;;
BAJITA ST;INTERIOR;RR;90.00;;
PORTILLA ST;L. JAENA-SEC NAT'L RD;RR;155.00;;
PORTILLA ST;INTERIOR;RR;80.00;;
MARKET ROAD;SEC NAT'L RD-LAZAM RD;CR;300.00;;
MARKET ROAD;SEC NAT'L RD-LAZAM RD;RR;140.00;;
MARKET ROAD;INTERIOR;RR;75.00;;
BALSAIN ROAD;L. JAENA-LAZAM ROAD;RR;130.00;;
BALSAIN ROAD;INTERIOR;RR;70.00;;
SANCHEZ ST;BAJITA ST-GUZMAN ST;RR;130.00;;
SANCHEZ ST;INTERIOR;RR;60.00;;
CALLA ROAD;NAT'L RD-MARKET RD;RR;155.00;;
CALLA ROAD;INTERIOR;RR;80.00;;
SALES ROAD;MARKET RD-CALLA RD;RR;160.00;;
SALES ROAD;INTERIOR;RR;80.00;;
BAYLE ROAD;PROV'L RD & CABADING RD;RR;180.00;;
BAYLE ROAD;INTERIOR;RR;90.00;;
SALADINO ROAD;PROV'L RD & CABADING RD;RR;190.00;;
SALADINO ROAD;INTERIOR;RR;90.00;;
CEMETERY ROAD;PROV'L RD & CEM ROAD;RR;150.00;;
CEMETERY ROAD;INTERIOR;RR;55.00;;
CITY/MUNICIPALITY:;DUPAX DEL NORTE;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;100.00;;
BARANGAY ROAD;;RR;70.00;;
BARANGAY ROAD;INTERIOR;RR;50.00;;
BARANGAY ROAD;INTERIOR;A1;8.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A3;5.00;;
BARANGAY ROAD;INTERIOR;A4;5.00;;
BARANGAY ROAD;INTERIOR;A5;5.00;;
BARANGAY ROAD;INTERIOR;A6;5.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;5.00;;
CITY/MUNICIPALITY:;DUPAX DEL SUR;;;;
BARANGAY:;POBLACION;;;;
ESCOBAR ST;NAT'L ROAD-BASTERO ST;RR;165.00;;
ESCOBAR ST;INTERIOR;RR;90.00;;
ROSARIO ST;NAT'L ROAD-BASTERO ST;RR;165.00;;
ROSARIO ST;INTERIOR;RR;80.00;;
ANGARA ST.;NAT'L ROAD BASTERO ST.;RR;165.00;;
ANGARA ST.;INTERIOR;RR;80.00;;
GUZMAN ST;SANCHEZ & BACK CHURCH;RR;160.00;;
GUZMAN ST;INTERIOR;RR;70.00;;
BASTERO ST;ESCOBAR ST & PROV'L RD;RR;140.00;;
BASTERO ST;INTERIOR;RR;65.00;;
PROVINCIAL ROAD;NAT'L ROAD-ONKAY ROAD;RR;165.00;;
PROVINCIAL ROAD;INTERIOR;RR;80.00;;
ALBANO ST;BASTERO ST & PROV'L RD;RR;130.00;;
ALBANO ST;INTERIOR;RR;60.00;;
AREO ST;DUENG & COR PROV'L RD;RR;130.00;;
AREO ST;INTERIOR;RR;60.00;;
SECONDARY NATIONAL ROAD;CASTAÑEDA-BONIFACIO;RR;215.00;;
SECONDARY NATIONAL ROAD;INTERIOR;RR;105.00;;
CASTAÑEDA BLVD;;RR;195.00;;
GABALDON ST;SEC NAT'L RD & BENITEZ;RR;170.00;;
GABALDON ST;INTERIOR;RR;90.00;;
BONIFACIO ST;SEC NAT'L RD & QUEZON;RR;155.00;;
BONIFACIO ST;INTERIOR;RR;80.00;;
M. CUTARAN ST;DOCTOR & PROV'L ROAD;RR;145.00;;
M. CUTARAN ST;INTERIOR;RR;80.00;;
A. FELIX ST;DOCTOR & PROV'L ROAD;RR;145.00;;
A. FELIX ST;INTERIOR;RR;80.00;;
T. DALLO ST;BENTER & PROV'L ROAD;RR;145.00;;
T. DALLO ST;INTERIOR;RR;80.00;;
J. DUENG ST;DOCTOR & PROV'L ROAD;RR;135.00;;
J. DUENG ST;INTERIOR;RR;70.00;;
CITY/MUNICIPALITY:;DUPAX DEL SUR;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;150.00;;
PROVINCIAL ROAD;;RR;100.00;;
BARANGAY ROAD;;RR;70.00;;
BARANGAY ROAD;INTERIOR;RR;50.00;;
BARANGAY ROAD;INTERIOR;A1;8.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A3;4.00;;
BARANGAY ROAD;INTERIOR;A4;4.00;;
BARANGAY ROAD;INTERIOR;A5;4.00;;
BARANGAY ROAD;INTERIOR;A6;4.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;4.00;;
CITY/MUNICIPALITY:;KASIBU;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;PRIMO ST-MANGKIATAD;RR;30.00;;
NATIONAL ROAD;PRIMO ST-PEREZ ST;RR;30.00;;
P. G. DUMLAO ST;NAT'L RD-BUMOLO ST;RR;30.00;;
A. BUMOLO ST;NAT'L RD-PEREZ ST;RR;27.00;;
C. M. RANADA ST;P. G. DUMLAO-ASUNCION;RR;25.00;;
TUKID ST;TUBO RIVER-C M RANADA;RR;30.00;;
BRIMO ST;NAT'L RD-TUKID ST;RR;27.00;;
BRIMO ST;INTERIOR;RR;15.00;;
M. HUFALAR ST;BRIMO ST-TUKID ST;RR;30.00;;
ASUNCION ST;C. M. RANADA-ALIGUYON;RR;27.00;;
O. D. CADIENTE ST;PEREZ ST-ASUNCION ST;RR;27.00;;
ALIGUYON ST;NAT'L ROAD-TUBO RIVER;RR;27.00;;
PEREZ ST;RANADA-MACPAYAO CEM;RR;27.00;;
VILLAFLORES ST;ALIGUYON ST-MICO ST;RR;30.00;;
SUMALING ST;ALIGUYON ST-MICO ST;RR;30.00;;
MICO ST;TUCPI ST-ELLIAS ST;RR;25.00;;
TUCPI ST;MICO ST-AWIODI ST;RR;25.00;;
TUCPI ST;INTERIOR;RR;15.00;;
MAGPAYAO ST;MICO ST-DALMAN ST;RR;20.00;;
ELLIAS ST;MICO ST-J AGSUNDO ST;RR;20.00;;
ELLIAS ST;INTERIOR;RR;10.00;;
J. AGSUNDO ST;MACPAYAO ST-TUBO RIVER;RR;25.00;;
F. RUNAS ST;DULAY ST;RR;25.00;;
DULAY ST;TUBO RIVER-DULNUAN ST;RR;20.00;;
DULAY ST;INTERIOR;RR;20.00;;
AWIODI ST;MACPAYAO ST-TUCPI ST;RR;20.00;;
M. ALEJO ST;PEREZ ST-DULNUAN ST;RR;20.00;;
CITY/MUNICIPALITY:;KASIBU;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;20.00;;
BARANGAY ROAD;;RR;15.00;;
BARANGAY ROAD;INTERIOR;RR;10.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A3;2.00;;
BARANGAY ROAD;INTERIOR;A4;2.00;;
BARANGAY ROAD;INTERIOR;A5;2.00;;
BARANGAY ROAD;INTERIOR;A6;2.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;2.00;;
CITY/MUNICIPALITY:;KAYAPA;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;PAMPANG BRIDGE-TALECEBCE ROAD;CR;30.00;;
PROVINCIAL ROAD;PAMPANG BRIDGE-R . CATHOLIC CMPD;RR;30.00;;
PROVINCIAL ROAD;PAMPANG BRIDGE-KAYAPA NAT'L HIGH;RR;30.00;;
PROVINCIAL ROAD;INTERIOR;RR;12.00;;
