RDO:;NO. 15 ILAGAN, ISABELA;;;;
ALL LOTS;NATIONAL ROAD;CR;1,000.00;;
ALL LOTS;NATIONAL ROAD;RR;300.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;MAGSAYSAY-POBLACION;;;;
ALL LOTS;NATIONAL ROAD;CR;1,600.00;;
ALL LOTS;NATIONAL ROAD;RR;400.00;;
ALL LOTS;NATIONAL ROAD;A1;10.00;;
ALL LOTS;NATIONAL ROAD;A2;8.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;MATAAS NA KAHOY;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;PADDAD;;;;
ALL LOTS;NATIONAL ROAD;CR;1,000.00;;
ALL LOTS;NATIONAL ROAD;RR;350.00;;
ALL LOTS;BARANGAY ROAD;A1;17.50;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;RIZAL;;;;
ALL LOTS;BARANGAY ROAD;RR;110.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;11.50;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;RIZALUNA;;;;
ALL LOTS;NATIONAL ROAD;CR;1,000.00;;
ALL LOTS;NATIONAL ROAD;RR;170.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SALVACION;;;;
ALL LOTS;BARANGAY ROAD;CR;550.00;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SAN ANTONIO-POBLACION;;;;
ALL LOTS;NATIONAL ROAD;CR;1,600.00;;
ALL LOTS;NATIONAL ROAD;RR;400.00;;
ALL LOTS;NATIONAL ROAD;A1;20.00;;
ALL LOTS;NATIONAL ROAD;A2;8.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SAN FERNANDO;;;;
ALL LOTS;NATIONAL ROAD;CR;1,200.00;;
ALL LOTS;NATIONAL ROAD;RR;400.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SAN FRANCISCO;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SAN JUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SAN PABLO;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SAN PEDRO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;1,000.00;;
ALL LOTS;PROVINCIAL ROAD;RR;150.00;;
ALL LOTS;PROVINCIAL ROAD;A1;15.00;;
ALL LOTS;PROVINCIAL ROAD;A2;8.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SANTA CRUZ;;;;
ALL LOTS;PROVINCIAL ROAD;CR;1,200.00;;
ALL LOTS;PROVINCIAL ROAD;RR;200.00;;
ALL LOTS;PROVINCIAL ROAD;A1;17.50;;
ALL LOTS;PROVINCIAL ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SANTA MARIA;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SANTO DOMINGO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;1,000.00;;
ALL LOTS;PROVINCIAL ROAD;RR;200.00;;
ALL LOTS;PROVINCIAL ROAD;A1;17.50;;
ALL LOTS;PROVINCIAL ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;SANTO TOMAS;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;VICTORIA;;;;
ALL LOTS;NATIONAL ROAD;RR;200.00;;
ALL LOTS;NATIONAL ROAD;A1;17.50;;
ALL LOTS;NATIONAL ROAD;A2;8.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;ZAMORA;;;;
ALL LOTS;NATIONAL ROAD;CR;1,000.00;;
ALL LOTS;NATIONAL ROAD;RR;200.00;;
ALL LOTS;NATIONAL ROAD;A1;17.50;;
ALL LOTS;NATIONAL ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;ALLANGUIGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;ANIOG;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BANIKET;;;;
ALL LOTS;PROVINCIAL ROAD;CR;125.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;INTERIOR LOTS;RR;50.00;;
ALL LOTS;INTERIOR LOTS;A1;16.00;;
ALL LOTS;INTERIOR LOTS;A2;10.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARAGAY:;BANNAWAG;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BANTUG;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BARACUAG;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BARANGCUAG;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BAUI;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;BONIFACIO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;BUENAVISTA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;BUNNAY;;;;
ALL LOTS;BARANGAY ROAD;RR;85.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CALABAYAN MINANGA;;;;
ALL LOTS;PROVINCIAL ROAD;CR;125.00;;
ALL LOTS;PROVINCIAL ROAD;X;90.00;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;16.00;;
ALL LOTS;INTERIOR LOTS;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CALACCAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
;;A1;9.00;;
;;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CALOACAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CALUSUTAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CAMPANARIO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CANNAGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
;;A1;12.00;;
;;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CENTRO I;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CENTRO II;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CENTRO III;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;30.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CONSULAR;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;CUMU;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;DALAKIP;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;DALENAT;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;DIPALUDA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;DUROC;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;ESPERANZA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;FUGARU;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;INGUD NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;INGUD SUR;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;LA SUERTE;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;LIWA-LIWA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;LOMBOY;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;INTERIOR LOTS;RR;50.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;LORIA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;LOURDES;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;MABUHAY;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;MACALAUAT;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;MACANIO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;MALANNAO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;MALASIN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;MANGANDINGAY;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;MINANGA PROPER;;;;
ALL LOTS;PROVINCIAL ROAD;CR;150.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;65.00;;
ALL LOTS;INTERIOR LOTS;RR;55.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;PANG-AYAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;PAPPAT;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;PISSAY;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;RAMONA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;RANCHO BASSIT;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;RANG-AYAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SALAY;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SAN AMBROCIO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SAN GUILLERMO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SAN  ISIDRO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SAN MARCELO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SAN ROQUE;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SAN VICENTE;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SARANAY;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SINABARAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;SANTO NINO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;VICTORY;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;VIGA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
;;A1;12.00;;
;;A2;7.00;;
CITY/MUNICIPALITY:;ANGADANAN;;;;
BARANGAY:;VILLA DOMINGO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;16.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;APIAT;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;BAGNOS;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;BAGONG TANZA;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
;;A1;12.00;;
;;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;BALLESTEROS;;;;
ALL LOTS;PROVINCIAL ROAD;CR;200.00;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;BANNAGAO;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;BANNAWAG;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;BOLINAO;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
