RDO:;RDO NO. 51 - PASAY CITY;;;;
LOURDES;ROXAS BLVD-HARRISON;RR;9,000.00;;
ROXAS BLVD;LOURDES-DAPITAN;RR;38,000.00;;
ROXAS BLVD;LOURDES-DAPITAN;CR;42,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 7 ZONE 2;;;;
DAPITAN;ROXAS BLVD-HARRISON;RR;9,000.00;;
FB HARRISON;DAPITAN-SAN JUAN;RR;18,000.00;;
FB HARRISON;DAPITAN-SAN JUAN;CR;24,000.00;;
INTERIOR FB HARRISON;;RR;15,000.00;;
ROXAS BLVD;DAPITAN-SAN JUAN;RR;38,000.00;;
ROXAS BLVD;DAPITAN-SAN JUAN;CR;42,000.00;;
SAN JUAN;ROXAS BLVD-HARRISON;RR;18,500.00;;
SAN JUAN;ROXAS BLVD-HARRISON;CR;24,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 8 ZONE 2;;;;
FB HARRISON;SAN JUAN-PERLA;RR;15,000.00;;
FB HARRISON;SAN JUAN-PERLA;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;15,000.00;;
PERLA;ROXAS BLVD-HARRISON;RR;9,000.00;;
ROXAS BLVD;SAN JUAN-PERLA;RR;38,000.00;;
ROXAS BLVD;SAN JUAN-PERLA;CR;42,000.00;;
SAN JUAN;ROXAS BLVD-HARRISON;RR;18,000.00;;
SAN JUAN;ROXAS BLVD-HARRISON;CR;24,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 9 ZONE 2;;;;
FB HARRISON;PERLA-GIL PUYAT AVE;RR;18,000.00;;
FB HARRISON;PERLA-GIL PUYAT AVE;CR;24,000.00;;
INTERIOR FB HARRISON;;RR;15,000.00;;
PERLA;ROXAS BLVD-HARRISON;RR;9,000.00;;
ROXAS BLVD;PERLA-GIL PUYAT AVE;RR;38,000.00;;
ROXAS BLVD;PERLA-GIL PUYAT AVE;CR;42,000.00;;
SEN GIL PUYAT;ROXAS BLVD-HARRISON;RR;35,000.00;;
SEN GIL PUYAT;ROXAS BLVD-HARRISON;CR;38,000.00;;
INTERIOR GIL PUYAT;;RR;30,000.00;;
ALL OTHER STREETS;;RR;9,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 18 ZONE 2;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 19 ZONE 2;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 20 ZONE 2;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 21 ZONE 2;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 22 ZONE 2;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 23 ZONE 2;;;;
DAVID;HARRISON-LEVERIZA;RR;9,000.00;;
FB HARRISON;SAN JUAN-GIL PUYAT;RR;18,000.00;;
FB HARRISON;SAN JUAN-GIL PUYAT;CR;24,000.00;;
INTERIOR FB HARRISON;;RR;15,000.00;;
LEVERIZA;SAN JUAN-GIL PUYAT;RR;12,000.00;;
LEVERIZA;SAN JUAN-GIL PUYAT;CR;15,000.00;;
SAN JUAN;HARRISON-LEVERIZA;RR;12,000.00;;
SAN JUAN;HARRISON-LEVERIZA;CR;15,000.00;;
SEN GIL PUYAT;HARRISON-LEVERIZA;RR;30,000.00;;
SEN GIL PUYAT;HARRISON-LEVERIZA;CR;35,000.00;;
INTERIOR SEN. GIL PUYAT;;RR;25,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 33 ZONE 3;;;;
DONADA;MANILA BDRY-FRESNO;RR;9,000.00;;
DONADA;MANILA BDRY-FRESNO;CR;18,000.00;;
FRESNO;LEVERIZA-DONADA;RR;9,000.00;;
LEVERIZA;MANILA BDRY-FRESNO;RR;9,000.00;;
LEVERIZA;MANILA BDRY-FRESNO;CR;18,000.00;;
MENLO;LEVERIZA-TAFT AVE;RR;9,000.00;;
PRES OSMENA TAFT AVE;;RR;28,000.00;;
PRES OSMENA TAFT AVE;;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;18,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 34 ZONE 3;;;;
DONADA;;RR;9,000.00;;
DONADA;;CR;15,000.00;;
FRESNO;LEVERIZA-DONADA;RR;9,000.00;;
LEVERIZA;;RR;9,000.00;;
LEVERIZA;;CR;15,000.00;;
MARIA LIM;LEVERIZA-DONADA;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 35 ZONE 3;;;;
DONADA;;RR;9,000.00;;
DONADA;;CR;15,000.00;;
LEVERIZA;;RR;9,000.00;;
LEVERIZA;;CR;15,000.00;;
SAN JUAN;LEVERIZA-DONADA;RR;12,000.00;;
SAN JUAN;LEVERIZA-DONADA;CR;15,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 36 ZONE 3;;;;
DONADA;FRESNO-SAN JUAN;RR;9,000.00;;
DONADA;FRESNO-SAN JUAN;CR;15,000.00;;
MARIA LIM;;RR;9,000.00;;
PRES OSMENA TAFT AVE;;RR;28,000.00;;
PRES OSMENA TAFT AVE;;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
SAN JUAN;DONADA -TAFT AVE;RR;12,000.00;;
SAN JUAN;DONADA -TAFT AVE;CR;18,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 37 ZONE 3;;;;
DONADA;SAN JUAN-GIL PUYAT;RR;9,000.00;;
DONADA;SAN JUAN-GIL PUYAT;CR;18,000.00;;
LEVERIZA;SAN JUAN-GIL PUYAT;RR;9,000.00;;
LEVERIZA;SAN JUAN-GIL PUYAT;CR;18,000.00;;
PRES OSMENA TAFT AVE;SAN JUAN-GIL PUYAT;RR;28,000.00;;
PRES OSMENA TAFT AVE;SAN JUAN-GIL PUYAT;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
SEN GIL PUYAT;LEVERIZA - TAFT AVE;RR;28,000.00;;
SEN GIL PUYAT;LEVERIZA - TAFT AVE;CR;32,000.00;;
INTERIOR SEN GIL PUYAT;;RR;24,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 10 ZONE 4;;;;
ANTIPOLO;ROXAS BLVD-HARRIZON;RR;12,000.00;;
FB HARRISON;GIL PUYAT-ANTIPOLO;RR;20,000.00;;
FB HARRISON;GIL PUYAT-ANTIPOLO;CR;25,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
ROXAS BLVD;GIL PUYAT-ANTIPOLO;RR;38,000.00;;
ROXAS BLVD;GIL PUYAT-ANTIPOLO;CR;42,000.00;;
SEN GIL PUYAT;ROXAS BLVD-HARRISON;RR;38,000.00;;
SEN GIL PUYAT;ROXAS BLVD-HARRISON;CR;42,000.00;;
INTERIOR SEN. GIL PUYAT;;RR;30,000.00;;
SANTA MONICA;ROXAS BLVD-HARRISON;RR;12,000.00;;
ALL OTHER STREETS;;RR;10,000.00;;
ALL OTHER STREETS;;CR;18,000.00;;
OTHER INTERIOR STREETS;;RR;9,000.00;;
BARANGAY:;BARANGAY 11 ZONE 4;;;;
ANTIPOLO;ROXAS BLVD-HARRISON;RR;12,000.00;;
FB HARRISON;ANTIPOLO-SAN LUIS;RR;15,000.00;;
FB HARRISON;ANTIPOLO-SAN LUIS;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
ROXAS BLVD;ANTIPOLO-SAN LUIS;RR;38,000.00;;
ROXAS BLVD;ANTIPOLO-SAN LUIS;CR;42,000.00;;
ROXAS BLVD;ANTIPOLO-SAN LUIS;RC;35,000.00;;
ROXAS BLVD;ANTIPOLO-SAN LUIS;CC;38,000.00;;
SAN LUIS;ROXAS BLVD-HARRISON;RR;12,000.00;;
ALL OTHER STREETS;;RR;10,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;9,000.00;;
BARANGAY:;BARANGAY 12 ZONE 4;;;;
FB HARRISON;S LUIS-S ESCOLASTICA;RR;15,000.00;;
FB HARRISON;S LUIS-S ESCOLASTICA;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
ROXAS BLVD;S LUIS-S ESCOLASTICA;RR;38,000.00;;
ROXAS BLVD;S LUIS-S ESCOLASTICA;CR;42,000.00;;
SAN LUIS;ROXAS BLVD-HARRISON;RR;12,000.00;;
SANTA ESCOLASTICA;ROXAS BLVD-HARRISON;RR;12,000.00;;
ALL OTHER STREETS;;RR;10,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;9,000.00;;
BARANGAY:;BARANGAY 13 ZONE 4;;;;
ARNAIZ AVE LIBERTAD;ROXAS BLVD-HARRISON;RR;34,000.00;;
ARNAIZ AVE LIBERTAD;ROXAS BLVD-HARRISON;CR;38,000.00;;
INTERIOR LIBERTAD;;RR;28,000.00;;
FB HARRISON;ESCOLASTICA-LIBERTAD;RR;15,000.00;;
FB HARRISON;ESCOLASTICA-LIBERTAD;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
ROBERTS;ESCOLASTICA-LIBERTAD;RR;12,000.00;;
ROXAS BLVD;ESCOLASTICA-LIBERTAD;RR;38,000.00;;
ROXAS BLVD;ESCOLASTICA-LIBERTAD;CR;42,000.00;;
SANTA ESCOLASTICA;ROXAS BLVD-HARRISON;RR;12,000.00;;
WILLIAMS;ROXAS BLVD-HARRISON;RR;15,000.00;;
WILLIAMS;ROXAS BLVD-HARRISON;CR;20,000.00;;
ALL OTHER STREETS;;RR;10,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;9,000.00;;
BARANGAY:;BARANGAY 24 ZONE 4;;;;
FB HARRISON;GIL PUYAT-VILLARUEL;RR;15,000.00;;
FB HARRISON;GIL PUYAT-VILLARUEL;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
SEN GIL PUYAT;;RR;28,000.00;;
SEN GIL PUYAT;;CR;32,000.00;;
INTERIOR SEN GIL PUYAT;;RR;24,000.00;;
VILLARUEL;;RR;9,000.00;;
7TH STREET;;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 25 ZONE 4;;;;
FB HARRISON;VILLARUEL-M SANTOS;RR;15,000.00;;
FB HARRISON;VILLARUEL-M SANTOS;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
LAGING HANDA;VILLARUEL-M SANTOS;RR;7,000.00;;
M SANTOS;HARRISON-5 DE JUNIO;RR;9,000.00;;
VILLARUEL;;RR;8,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 26 ZONE 4;;;;
ADVINCULA;HARRISON-5 DE JUNIO;RR;9,000.00;;
CINCO DE JUNIO;M SANTOS-MANAHAN;RR;8,000.00;;
FB HARRISON;M SANTOS-MANAHAN;RR;15,000.00;;
FB HARRISON;M SANTOS-MANAHAN;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
M SANTOS;HARRISON-5 DE JUNIO;RR;9,000.00;;
MANAHAN;HARRISON-5 DE JUNIO;RR;8,000.00;;
SANTIAGO;HARRISON-5 DE JUNIO;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 27 ZONE 4;;;;
CINCO DE JUNIO;MANAHAN-COL DORO;RR;8,000.00;;
COL DORO;HARRISON-5 DE JUNIO;RR;9,000.00;;
FB HARRISON;MANAHAN-COL DORO;RR;15,000.00;;
FB HARRISON;MANAHAN-COL DORO;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
LIWAG;HARRISON-5 DE JUNIO;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 28 ZONE 4;;;;
LAGING HANDA;VILLARUEL-M SANTOS;RR;8,000.00;;
LEVERIZA;GIL PUYAT-M SANTOS;RR;9,000.00;;
LEVERIZA;GIL PUYAT-M SANTOS;CR;15,000.00;;
SANTOS;LEVERIZA-L HANDA;RR;8,000.00;;
SEN GIL PUYAT;;RR;28,000.00;;
SEN GIL PUYAT;;CR;32,000.00;;
INTERIOR SEN GIL PUYAT;;RR;24,000.00;;
VILLARUEL;LEVERIZA-L HANDA;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 29 ZONE 5;;;;
CINCO DE JUNIO;SANTOS-PROPETARIOS;RR;8,000.00;;
LAGING HANDA;;RR;8,000.00;;
LEVERIZA;SANTOS-PROPETARIOS;RR;9,000.00;;
LEVERIZA;SANTOS-PROPETARIOS;CR;15,000.00;;
PROPETARIOS;LEVERIZA-5 DE JUNIO;RR;8,000.00;;
SANTOS;LEVERIZA-L HANDA;RR;8,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 30 ZONE 5;;;;
CINCO DE JUNIO;PROPETARIOS-MANAHAN;RR;8,000.00;;
LEVERIZA;PROPETARIOS-MANAHAN;RR;9,000.00;;
LEVERIZA;PROPETARIOS-MANAHAN;CR;15,000.00;;
MANAHAN;LEVERIZA-5 DE JUNIO;RR;8,000.00;;
PROPETARIOS;LEVERIZA-5 DE JUNIO;RR;8,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 31 ZONE 5;;;;
CINCO DE JUNIO;MANAHAN-COL DORO;RR;8,000.00;;
COL DORO;LEVERIZA-5 DE JUNIO;RR;8,000.00;;
LEVERIZA;MANAHAN-COL DORO;RR;9,000.00;;
LEVERIZA;MANAHAN-COL DORO;CR;15,000.00;;
MANAHAN;LEVERIZA-5 DE JUNIO;RR;8,000.00;;
TUPAZ;LEVERIZA-5 DE JUNIO;RR;8,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 32 ZONE 5;;;;
ARNAIZ AVE LIBERTAD;HARRISON-LEVERIZA;RR;30,000.00;;
ARNAIZ AVE LIBERTAD;HARRISON-LEVERIZA;CR;35,000.00;;
INTERIOR LIBERTAD;;RR;25,000.00;;
CINCO DE JUNIO;B LIBERTAD-COL DORO;RR;9,000.00;;
COL DORO;;RR;9,000.00;;
FB HARRISON;;RR;15,000.00;;
FB HARRISON;;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
LEVERIZA;;RR;9,000.00;;
LEVERIZA;;CR;15,000.00;;
MEDINA;LIBERTAD-COL DORO;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 38 ZONE 5;;;;
A LUNA;;RR;15,000.00;;
A LUNA;;CR;18,000.00;;
A PABLO;LEVERIZA-A LUNA;RR;9,000.00;;
ANGELITA;LEVERIZA-A LUNA;RR;9,000.00;;
G REYES;LEVERIZA-A LUNA;RR;9,000.00;;
LEVERIZA;GIL PUYAT-A PABLO;RR;10,000.00;;
LEVERIZA;GIL PUYAT-A PABLO;CR;15,000.00;;
PRES OSMENA TAFT AVE;;RR;28,000.00;;
PRES OSMENA TAFT AVE;;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
SEN GIL PUYAT AVE;TAFT AVE-LEVERIZA;RR;28,000.00;;
SEN GIL PUYAT AVE;TAFT AVE-LEVERIZA;CR;32,000.00;;
INTERIOR SEN GIL PUYAT;;RR;24,000.00;;
TANIW;;RR;8,000.00;;
VILLARUEL;LEVERIZA-A LUNA;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 39 ZONE 5;;;;
A LUNA;A PABLO-LUCBAN;RR;15,000.00;;
A LUNA;A PABLO-LUCBAN;CR;18,000.00;;
A PABLO;LEVERIZA-A LUNA;RR;10,000.00;;
CARTIMAR;;CR;18,000.00;;
DANCEL;LEVERIZA-A LUNA;RR;10,000.00;;
DONA NONENG;MABOLO-DANCEL;RR;10,000.00;;
LEVERIZA;A PABLO-LUCBAN;RR;10,000.00;;
LEVERIZA;A PABLO-LUCBAN;CR;15,000.00;;
LUKBAN;TAFT AVE-LEVERIZA;RR;10,000.00;;
MABOLO;LEVERIZA-A LUNA;RR;10,000.00;;
PRES OSMENA TAFT AVE;;RR;28,000.00;;
PRES OSMENA TAFT AVE;;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 40 ZONE 5;;;;
A LUNA;LIBERTAD-LUCBAN;RR;15,000.00;;
A LUNA;LIBERTAD-LUCBAN;CR;18,500.00;;
ARNAIZ AVE LIBERTAD;TAFT AVE-LUCBAN;RR;30,000.00;;
ARNAIZ AVE LIBERTAD;TAFT AVE-LUCBAN;CR;35,000.00;;
INTERIOR LIBERTAD;;RR;25,000.00;;
GRANADA;;RR;8,000.00;;
LEVERIZA;LIBERTAD-LUCBAN;RR;10,000.00;;
LEVERIZA;LIBERTAD-LUCBAN;CR;15,000.00;;
LUKBAN;TAFT AVE-LEVERIZA;RR;10,000.00;;
LUNA;;;10,000.00;;
PRES OSMENA TAFT AVE;LIBERTAD-LUCBAN;RR;30,000.00;;
PRES OSMENA TAFT AVE;LIBERTAD-LUCBAN;CR;35,000.00;;
INTERIOR TAFT AVE;;RR;25,000.00;;
ALL OTHER STREETS;;RR;10,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;8,000.00;;
BARANGAY:;BARANGAY 41 ZONE 6;;;;
BALITE;DOMINGA-SANDEJAS;RR;9,000.00;;
DOMINGA;MLA BDRY-BALITE;RR;9,000.00;;
INQUIMBOY;TAFT AVE-SANDEJAS;RR;9,000.00;;
PRES OSMENA;MLA BDRY-INQUIMBOY;RR;30,000.00;;
PRES OSMENA;MLA BDRY-INQUIMBOY;CR;35,000.00;;
INTERIOR OSMENA;;RR;25,000.00;;
SANDEJAS;MLA BDRY-BALITE;RR;9,000.00;;
13TH DE AGOSTO;TAFT AVE-SANDEJAS;RR;9,000.00;;
13TH DE NOVIEMBRE;TAFT AVE-SANDEJAS;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 42 ZONE 6;;;;
DOMINGA COR. VITO CRUZ;;RR;18,000.00;;
DOMINGA COR. VITO CRUZ;;CR;24,000.00;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 43 ZONE 6;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA DE GALLINA;RR;2,500.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 44 ZONE 6;;;;
BERNABE;TAFT AVE-SANDEJAS;RR;9,000.00;;
BONIFACIO;;RR;9,000.00;;
DOMINGA;;RR;9,000.00;;
INQUIMBOY;;RR;9,000.00;;
LAKAS NG BAYAN;;RR;9,000.00;;
LEOGARDO;;RR;9,000.00;;
PRES OSMENA TAFT AVE;;RR;28,000.00;;
PRES OSMENA TAFT AVE;;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
SANDEJAS;BALITE-LAKAS NG BAYAN;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 45 ZONE 6;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
