RDO:;RDO NO. 51 - PASAY CITY;;;(Formerly RDO No. 33 - PASAY CITY);
PERLA;ROXAS BLVD-HARRISON;RR;1,500.00;;
ROXAS BLVD;SAN JUAN-PERLA;RR;3,500.00;;
ROXAS BLVD;SAN JUAN-PERLA;CR;4,500.00;;
ROXAS BLVD;SAN JUAN-PERLA;RC;8,000.00;;
SAN JUAN;ROXAS BLVD-HARRISON;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 9 ZONE 2;;;;
F B HARRISON;PERLA-GIL PUYAT AVE;RR;2,500.00;;
F B HARRISON;PERLA-GIL PUYAT AVE;CR;3,500.00;;
PERLA;ROXAS BLVD-HARRISON;RR;1,500.00;;
ROXAS BLVD;PERLA-GIL PUYAT AVE;RR;3,500.00;;
ROXAS BLVD;PERLA-GIL PUYAT AVE;CR;4,500.00;;
ROXAS BLVD;PERLA-GIL PUYAT AVE;RC;8,000.00;;
SEN GIL PUYAT;ROXAS BLVD-HARRISON;RR;3,000.00;;
SEN GIL PUYAT;ROXAS BLVD-HARRISON;CR;3,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 18 ZONE 2;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 19 ZONE 2;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 20 ZONE 2;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 21 ZONE 2;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 22 ZONE 2;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 23 ZONE 2;;;;
DAVID;HARRISON-LEVERIZA;RR;1,500.00;;
F B HARRISON;SAN JUAN-GIL PUYAT;RR;2,500.00;;
F B HARRISON;SAN JUAN-GIL PUYAT;CR;3,500.00;;
LEVERIZA;SAN JUAN-GIL PUYAT;RR;1,800.00;;
LEVERIZA;SAN JUAN-GIL PUYAT;CR;3,000.00;;
SAN JUAN;HARRISON-LEVERIZA;RR;1,500.00;;
SEN GIL PUYAT;HARRISON-LEVERIZA;RR;3,000.00;;
SEN GIL PUYAT;HARRISON-LEVERIZA;CR;3,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 33 ZONE 3;;;;
DONADA;MANILA BDRY-FRESNO;RR;1,500.00;;
DONADA;MANILA BDRY-FRESNO;CR;2,500.00;;
FRESNO;LEVERIZA-DONADA;RR;1,500.00;;
LEVERIZA;MANILA BDRY-FRESNO;RR;1,800.00;;
LEVERIZA;MANILA BDRY-FRESNO;CR;3,000.00;;
MENLO;LEVERIZA-TAFT AVE;RR;1,500.00;;
PRES OSMENA (TAFT AV);;RR;2,500.00;;
PRES OSMENA (TAFT AV);;CR;4,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 34 ZONE 3;;;;
DONADA;;RR;1,500.00;;
DONADA;;CR;2,500.00;;
FRESNO;LEVERIZA-DONADA;RR;1,500.00;;
LEVERIZA;;RR;1,800.00;;
LEVERIZA;;CR;3,000.00;;
MARIA LIM;LEVERIZA-DONADA;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 35 ZONE 3;;;;
DONADA;;RR;1,500.00;;
DONADA;;CR;2,500.00;;
LEVERIZA;;RR;1,800.00;;
LEVERIZA;;CR;3,000.00;;
SAN JUAN;LEVERIZA-DONADA;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 36 ZONE 3;;;;
DONADA;FRESNO-SAN JUAN;RR;1,500.00;;
DONADA;FRESNO-SAN JUAN;CR;2,500.00;;
MARIA LIM;;RR;1,500.00;;
PRES OSMENA (TAFT AV);;RR;2,500.00;;
PRES OSMENA (TAFT AV);;CR;4,000.00;;
SAN JUAN;DONADA-TAFT AVE;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 37 ZONE 3;;;;
DONADA;SAN JUAN-GIL PUYAT;RR;1,500.00;;
DONADA;SAN JUAN-GIL PUYAT;CR;2,500.00;;
LEVERIZA;SAN JUAN-GIL PUYAT;RR;1,800.00;;
LEVERIZA;SAN JUAN-GIL PUYAT;CR;3,000.00;;
PRES OSMENA (TAFT AV);SAN JUAN-GIL PUYAT;RR;2,500.00;;
PRES OSMENA (TAFT AV);SAN JUAN-GIL PUYAT;CR;4,000.00;;
SEN GIL PUYAT;LEVERIZA-TAFT AVE;RR;3,000.00;;
SEN GIL PUYAT;LEVERIZA-TAFT AVE;CR;3,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 10 ZONE 4;;;;
ANTIPOLO;ROXAS BLVD-HARRISON;RR;1,500.00;;
F B HARRISON;GIL PUYAT-ANTIPOLO;RR;2,500.00;;
F B HARRISON;GIL PUYAT-ANTIPOLO;CR;3,500.00;;
ROXAS BLVD;GIL PUYAT-ANTIPOLO;RR;3,500.00;;
ROXAS BLVD;GIL PUYAT-ANTIPOLO;CR;4,500.00;;
ROXAS BLVD;GIL PUYAT-ANTIPOLO;RC;8,000.00;;
SEN GIL PUYAT;ROXAS BLVD-HARRISON;RR;3,000.00;;
SEN GIL PUYAT;ROXAS BLVD-HARRISON;CR;3,500.00;;
SANTA MONICA;ROXAS BLVD-HARRISON;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 11 ZONE 4;;;;
ANTIPOLO;ROXAS BLVD-HARRISON;RR;1,500.00;;
F B HARRISON;ANTIPOLO-SAN LUIS;RR;2,500.00;;
F B HARRISON;ANTIPOLO-SAN LUIS;CR;3,500.00;;
ROXAS BLVD;ANTIPOLO-SAN LUIS;RR;3,500.00;;
ROXAS BLVD;ANTIPOLO-SAN LUIS;CR;4,500.00;;
ROXAS BLVD;ANTIPOLO-SAN LUIS;RC;8,000.00;;
SAN LUIS;ROXAS BLVD-HARRISON;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 12 ZONE 4;;;;
F B HARRISON;S LUIS-S ESCOLASTICA;RR;2,500.00;;
F B HARRISON;S LUIS-S ESCOLASTICA;CR;3,500.00;;
ROXAS BLVD;S LUIS-S ESCOLASTICA;RR;3,500.00;;
ROXAS BLVD;S LUIS-S ESCOLASTICA;CR;4,500.00;;
ROXAS BLVD;S LUIS-S ESCOLASTICA;RC;8,000.00;;
SAN LUIS;ROXAS BLVD-HARRISON;RR;1,500.00;;
SANTA ESCOLASTICA;ROXAS BLVD-HARRISON;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 13 ZONE 4;;;;
ARNAIZ AVE (LIBERTAD);ROXAS BLVD-HARRISON;RR;2,000.00;;
ARNAIZ AVE (LIBERTAD);ROXAS BLVD-HARRISON;CR;3,500.00;;
F B HARRISON;ESCOLASTICA-LIBERTAD;RR;2,500.00;;
F B HARRISON;ESCOLASTICA-LIBERTAD;CR;3,500.00;;
ROBERTS;ESCOLASTICA-LIBERTAD;RR;2,000.00;;
ROXAS BLVD;ESCOLASTICA-LIBERTAD;RR;3,500.00;;
ROXAS BLVD;ESCOLASTICA-LIBERTAD;CR;4,500.00;;
ROXAS BLVD;ESCOLASTICA-LIBERTAD;RC;8,000.00;;
SANTA ESCOLASTICA;ROXAS BLVD-HARRISON;RR;1,500.00;;
WILLIAMS;ROXAS BLVD-HARRISON;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 24 ZONE 4;;;;
F B HARRISON;GIL PUYAT-VILLARUEL;RR;2,500.00;;
F B HARRISON;GIL PUYAT-VILLARUEL;CR;3,500.00;;
SEN GIL PUYAT;;RR;3,000.00;;
SEN GIL PUYAT;;CR;3,500.00;;
VILLARUEL;;RR;1,200.00;;
7TH STREET;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 25 ZONE 4;;;;
F B HARRISON;VILLARUEL-M SANTOS;RR;2,500.00;;
F B HARRISON;VILLARUEL-M SANTOS;CR;3,500.00;;
LAGING HANDA;VILLARUEL-M SANTOS;RR;1,200.00;;
M SANTOS;HARRISON-5 DE JUNIO;RR;1,200.00;;
VILLARUEL;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 26 ZONE 4;;;;
ADVINCULA;HARRISON-5 DE JUNIO;RR;1,200.00;;
CINCO DE JUNIO;M SANTOS-MANAHAN;RR;1,200.00;;
F B HARRISON;M SANTOS-MANAHAN;RR;2,500.00;;
F B HARRISON;M SANTOS-MANAHAN;CR;3,500.00;;
M SANTOS;HARRISON-5 DE JUNIO;RR;1,200.00;;
MANAHAN;HARRISON-5 DE JUNIO;RR;1,200.00;;
SANTIAGO;HARRISON-5 DE JUNIO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 27 ZONE 4;;;;
CINCO DE JUNIO;MANAHAN-COL DORO;RR;1,200.00;;
COL DORO;HARRISON-5 DE JUNIO;RR;1,200.00;;
F B HARRISON;MANAHAN-COL DORO;RR;2,500.00;;
F B HARRISON;MANAHAN-COL DORO;CR;3,500.00;;
LIWAG;HARRISON-5 DE JUNIO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 28 ZONE 4;;;;
LAGING HANDA;VILLARUEL-M SANTOS;RR;1,200.00;;
LEVERIZA;GIL PUYAT-M SANTOS;RR;1,800.00;;
LEVERIZA;GIL PUYAT-M SANTOS;CR;3,000.00;;
SANTOS;LEVERIZA-LAGIN HANDA;RR;1,200.00;;
SEN GIL PUYAT;;RR;3,000.00;;
SEN GIL PUYAT;;CR;3,500.00;;
VILLARUEL;LEVERIZA-LAGIN HANDA;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:      29;BARANGAY 29 ZONE 5;;;;
CINCO DE JUNIO;SANTOS-PROPETARIOS;RR;1,200.00;;
LAGING HANDA;;RR;1,200.00;;
LEVERIZA;SANTOS-PROPETARIOS;RR;1,800.00;;
LEVERIZA;SANTOS-PROPETARIOS;CR;3,000.00;;
PROPETARIOS;LEVERIZA-5 DE JUNIO;RR;1,200.00;;
SANTOS;LEVERIZA-LAGIN HANDA;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 30 ZONE 5;;;;
CINCO DE JUNIO;PROPETARIOS-MANAHAN;RR;1,200.00;;
LEVERIZA;PROPETARIOS-MANAHAN;RR;1,800.00;;
LEVERIZA;PROPETARIOS-MANAHAN;CR;3,000.00;;
MANAHAN;LEVERIZA-5 DE JUNIO;RR;1,200.00;;
PROPETARIOS;LEVERIZA-5 DE JUNIO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 31 ZONE 5;;;;
A MATEO;LEVERIZA-5 DE JUNIO;RR;1,200.00;;
CINCO DE JUNIO;MANAHAN-COL DORO;RR;1,200.00;;
COL DORO;LEVERIZA-5 DE JUNIO;RR;1,200.00;;
LEVERIZA;MANAHAN-COL DORO;RR;1,800.00;;
LEVERIZA;MANAHAN-COL DORO;CR;3,000.00;;
MANAHAN;LEVERIZA-5 DE JUNIO;RR;1,200.00;;
TUPAZ;LEVERIZA-5 DE JUNIO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 32 ZONE 5;;;;
ARNAIZ AVE (LIBERTAD);HARRISON-LEVERIZA;RR;2,000.00;;
ARNAIZ AVE (LIBERTAD);HARRISON-LEVERIZA;CR;3,500.00;;
CINCO DE JUNIO;LIBERTAD-COL DORO;RR;1,200.00;;
COL DORO;;RR;1,200.00;;
F B HARRISON;;RR;2,500.00;;
F B HARRISON;;CR;3,500.00;;
LEVERIZA;;RR;1,800.00;;
LEVERIZA;;CR;3,000.00;;
MEDINA;LIBERTAD-COL DORO;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 38 ZONE 5;;;;
A LUNA;;RR;1,500.00;;
A LUNA;;CR;2,750.00;;
A PABLO;LEVERIZA-A LUNA;RR;1,200.00;;
ANGELITA;LEVERIZA-A LUNA;RR;1,200.00;;
G REYES;LEVERIZA-A LUNA;RR;1,200.00;;
LEVERIZA;GIL PUYAT-A PABLO;RR;1,800.00;;
LEVERIZA;GIL PUYAT-A PABLO;CR;3,000.00;;
PRES OSMENA (TAFT AV);;RR;2,500.00;;
PRES OSMENA (TAFT AV);;CR;4,000.00;;
SEN GIL PUYAT AVE;TAFT AVE-LEVERIZA;RR;3,000.00;;
SEN GIL PUYAT AVE;TAFT AVE-LEVERIZA;CR;3,500.00;;
TANAWIN;;RR;1,200.00;;
VILLARUEL;LEVERIZA-A LUNA;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 39 ZONE 5;;;;
A LUNA;A PABLO-LUCBAN;RR;1,500.00;;
A LUNA;A PABLO-LUCBAN;CR;2,750.00;;
A PABLO;LEVERIZA-A LUNA;RR;1,200.00;;
CARTIMAR;;CR;3,000.00;;
DANCEL;LEVERIZA-A LUNA;RR;1,200.00;;
DONA NONENG;MABOLO-DANCEL;RR;1,200.00;;
LEVERIZA;A PABLO-LUCBAN;RR;1,800.00;;
LEVERIZA;A PABLO-LUCBAN;CR;3,000.00;;
LUKBAN;TAFT AVE-LEVERIZA;RR;1,200.00;;
MABOLO;LEVERIZA-A LUNA;RR;1,200.00;;
PRES OSMENA (TAFT AV);;RR;2,500.00;;
PRES OSMENA (TAFT AV);;CR;3,750.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 40 ZONE 5;;;;
A LUNA;LIBERTAD-LUCBAN;RR;1,500.00;;
A LUNA;LIBERTAD-LUCBAN;CR;2,000.00;;
ARNAIZ AVE (LIBERTAD);TAFT-LUCBAN;RR;2,000.00;;
ARNAIZ AVE (LIBERTAD);TAFT-LUCBAN;CR;3,500.00;;
GRANADA;;RR;1,200.00;;
LEVERIZA;LIBERTAD-LUCBAN;RR;1,800.00;;
LEVERIZA;LIBERTAD-LUCBAN;CR;3,000.00;;
LUKBAN;TAFT AVE-LEVERIZA;RR;1,200.00;;
LUNA;;RR;1,200.00;;
PRES OSMENA (TAFT AVE);LIBERTAD-LUCBAN;RR;2,500.00;;
PRES OSMENA (TAFT AVE);LIBERTAD-LUCBAN;CR;3,750.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 41 ZONE 6;;;;
BALITE;DOMINGA-SANDEJAS;RR;1,500.00;;
DOMINGA;MLA BDRY-BALITE;RR;1,500.00;;
INQUIMBOY;TAFT AVE-SANDEJAS;RR;1,500.00;;
PRES OSMENA (TAFT AV);MLA BDRY-INQUIMBOY;RR;2,500.00;;
PRES OSMENA (TAFT AV);MLA BDRY-INQUIMBOY;CR;4,000.00;;
SANDEJAS;MLA BDRY-BALITE;RR;1,500.00;;
13TH DE AGOSTO;TAFT AVE-SANDEJAS;RR;1,500.00;;
13TH DE NOVIEMBRE;TAFT AVE-SANDEJAS;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 42 ZONE 6;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 43 ZONE 6;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 44 ZONE 6;;;;
BERNABE;TAFT AVE-SANDEJAS;RR;1,500.00;;
BONIFACIO;;RR;1,500.00;;
DOMINGA;;RR;1,500.00;;
INQUIMBOY;;RR;1,500.00;;
LAKAS NG BAYAN;;RR;1,500.00;;
LEOGARDO;;RR;1,500.00;;
PRES OSMENA (TAFT AV);;RR;2,500.00;;
PRES OSMENA (TAFT AV);;CR;4,000.00;;
SANDEJAS;BALITE-LAKAS N BAYAN;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 45 ZONE 6;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 46 ZONE 6;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 47 ZONE 6;;;;
DOMINGA;L N BAYAN-GIL PUYAT;RR;1,500.00;;
LAKAS NG BAYAN;TAFT AVE-DOMINGA;RR;1,500.00;;
PRES OSMENA (TAFT AV);L N BAYAN-GIL PUYAT;RR;2,500.00;;
PRES OSMENA (TAFT AV);L N BAYAN-GIL PUYAT;CR;4,000.00;;
SAMONTE;TAFT AVE-SANDEJAS;RR;1,500.00;;
SANDEJAS;L N BAYAN-GIL PUYAT;RR;1,500.00;;
SEN GIL PUYAT;TAFT AVE-DOMINGA;RR;3,000.00;;
SEN GIL PUYAT;TAFT AVE-DOMINGA;CR;3,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 48 ZONE 6;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 49 ZONE 7;;;;
FERNANDO;GIL PUYAT-RIVERA;RR;1,500.00;;
PRES OSMENA (TAFT AV);GIL PUYAT-RIVERA;RR;2,500.00;;
PRES OSMENA (TAFT AV);GIL PUYAT-RIVERA;CR;3,750.00;;
RIVERA;TAFT AVE-FERNANDO;RR;1,500.00;;
SEN GIL PUYAT AVE;TAFT AVE-FERNANDO;RR;3,000.00;;
SEN GIL PUYAT AVE;TAFT AVE-FERNANDO;CR;3,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 50 ZONE 7;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 52 ZONE 7;;;;
DOMINGA;GIL PUYAT-VILLANUEVA;RR;1,500.00;;
FERNANDO;GIL PUYAT-RIVERA;RR;1,500.00;;
PRES OSMENA (TAFT AV);RIVERA-VILLANUEVA;RR;2,500.00;;
PRES OSMENA (TAFT AV);RIVERA-VILLANUEVA;CR;3,750.00;;
RIVERA;TAFT AVE-FERNANDO;RR;1,500.00;;
VILLANUEVA;TAFT AVE-DOMINGA;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 53 ZONE 7;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 55 ZONE 7;;;;
DOMINGA;VILLANUEVA-TAYLO;RR;1,500.00;;
PRES OSMENA (TAFT AV);VILLANUEVA-TAYLO;RR;2,500.00;;
PRES OSMENA (TAFT AV);VILLANUEVA-TAYLO;CR;3,750.00;;
TAYLO;TAFT AVE-DOMINGA;RR;1,200.00;;
VILLANUEVA;TAFT AVE-DOMINGA;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 56 ZONE 7;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 58 ZONE 7;;;;
COLLEGE ROAD;TAFT AVE-DOMINGA;RR;1,200.00;;
DOMINGA;TAYLO-ROSARIO;RR;1,500.00;;
FERNANDO;TAFT AVE-DOMINGA;RR;1,200.00;;
PRES OSMENA (TAFT AV);TAYLO-ROSARIO;RR;2,500.00;;
PRES OSMENA (TAFT AV);TAYLO-ROSARIO;CR;3,750.00;;
ROSARIO;;RR;1,200.00;;
TAYLO;TAFT AVE-DOMINGA;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 59 ZONE 7;;;;
ARNAIZ AVE (LIBERTAD);TAFT AVE-DOMINGA;RR;2,000.00;;
ARNAIZ AVE (LIBERTAD);TAFT AVE-DOMINGA;CR;3,500.00;;
DECENA;ROSARIO-LIBERTAD;RR;1,500.00;;
DOMINGA;LIBERTAD-ROSARIO;RR;1,500.00;;
PRES OSMENA (TAFT AV);;RR;2,500.00;;
PRES OSMENA (TAFT AV);;CR;3,750.00;;
ROSARIO;;RR;1,200.00;;
VILLAREAL;TAFT AVE-DOMINGA;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 60 ZONE 7;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 54 ZONE 8;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 57 ZONE 8;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 51 ZONE 8;;;;
APD;;;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 61 ZONE 8;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 62 ZONE 8;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 63 ZONE 8;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 64 ZONE 8;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 65 ZONE 8;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 66 ZONE 8;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 67 ZONE 8;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 69 ZONE 9;;;;
ARNAIZ AVE (LIBERTAD);HARRISON-CUENCA;RR;2,000.00;;
ARNAIZ AVE (LIBERTAD);HARRISON-CUENCA;CR;3,500.00;;
CUENCA;LIBERTAD-PALM COURT;RR;1,100.00;;
F B HARRISON;LIBERTAD-PALM COURT;RR;2,500.00;;
F B HARRISON;LIBERTAD-PALM COURT;CR;3,500.00;;
PALM COURT;HARRISON-CUENCA;RR;1,100.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 69 ZONE 9;;;;
ARNAIZ AVE (LIBERTAD);PARK AVE-CUENCA;RR;2,000.00;;
ARNAIZ AVE (LIBERTAD);PARK AVE-CUENCA;CR;3,500.00;;
CUENCA;LIVERTAD-PESTANA;RR;1,100.00;;
PARK AVE;LIVERTAD-PESTANA;RR;1,800.00;;
PARK AVE;LIVERTAD-PESTANA;CR;3,250.00;;
PESTANAS;CUENCA-PARK AVE;RR;1,100.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 70 ZONE 9;;;;
F B HARRISON;PALM COURT-GALVEZ;RR;2,500.00;;
F B HARRISON;PALM COURT-GALVEZ;CR;3,250.00;;
FIGUEROA;GALVEZ-PESTANA;RR;1,500.00;;
FIGUEROA;GALVEZ-PESTANA;CR;2,750.00;;
