RDO:;NO. 16 CABARROGUIS;;;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;GUINALBIN;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;LIGAYA;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;NANGABNGABAN;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A4;3.00;;
ALL LOTS;INNER LOT;A7;2.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;PALACIAN;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;PINARIPAD NORTE;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;PINARIPAD SUR;;;;
ALL LOTS;;CR;80.00;;
ALL LOTS;OUTER LOT;RR;65.00;;
ALL LOTS;INNER LOT;RR;55.00;;
ALL LOTS;INNER LOT;A1;6.00;;
ALL LOTS;INNER LOT;A2;2.00;;
ALL LOTS;INNER LOT;A3;2.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A5;4.00;;
ALL LOTS;INNER LOT;A6;6.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;2.00;;
ALL LOTS;INNER LOT;A9;2.00;;
ALL LOTS;INNER LOT;A10;2.00;;
ALL LOTS;INNER LOT;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;PROGRESO (POBLACION);;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;RAMOS;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;RANG-AYAN;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;SAN BENIGNO;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A2;1.00;;
ALL LOTS;INNER LOT;A4;3.00;;
ALL LOTS;INNER LOT;A6;4.00;;
BARANGAY:;SAN FRANCISCO;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;SAN LEONARDO;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;SAN MANUEL;;;;
ALL LOTS;OUTER LOTS;RR;40.00;;
ALL LOTS;INNER LOTS;RR;30.00;;
ALL LOTS;INNER LOTS;A4;2.00;;
ALL LOTS;INNER LOTS;A7;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;SAN RAMON;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;VICTORIA;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;VILLA PAGADUAN;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;VILLA SANTIAGO;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;BANUAR;;;;
ALL LOTS;;A1;20.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;BURGOS;;;;
ROAD  18 & 33;;GL;;;
ALL LOTS;;RR;30.00;;
ALL LOTS;;A2;2.00;;
ALL LOTS;;A3;1.00;;
ALL LOTS;;A7;1.00;;
ALL LOTS;;A8;1.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;CALAOCAN;;;;
AGRICULTURAL LOTS;;GL;;;
ALL OTHER LOTS;;RR;20.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;DEL PILAR;;;;
ALL LOTS;;RR;30.00;;
ALL LOTS;;A3;1.00;;
ALL LOTS;;A4;4.00;;
ALL LOTS;;A6;9.00;;
ALL LOTS;;A7;2.00;;
ALL LOTS;;A8;2.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;DIBIBI;;;;
ALL LOTS;;RR;30.00;;
ALL LOTS;;A3;1.00;;
ALL LOTS;;A4;4.00;;
ALL LOTS;;A6;8.00;;
ALL LOTS;;A7;2.00;;
ALL LOTS;;A8;1.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;DINGASAN;;;;
RESIDENTIAL LOTS;;GL;;;
ALL OTHER LOT;;A3;1.00;;
ALL OTHER LOT;;A4;3.00;;
ALL OTHER LOT;;A6;4.00;;
ALL OTHER LOT;;A7;2.00;;
ALL OTHER LOT;;A8;1.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;EDEN;;;;
RESIDENTIAL LOTS;;GL;;;
ALL OTHER LOT;;A3;1.00;;
ALL OTHER LOT;;A4;2.00;;
ALL OTHER LOT;;A6;3.00;;
ALL OTHER LOT;;A7;1.00;;
ALL OTHER LOT;;A8;1.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;GOMEZ;;;;
RESIDENTIAL LOT;;GL;;;
ALL OTHER LOT;;A4;3.00;;
ALL OTHER LOT;;A7;2.00;;
ALL OTHER LOT;;A8;2.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;GUNDAWAY;;;;
NATIONAL ROAD;SAINT MARK SCHOOL;CR;90.00;;
NATIONAL ROAD;TANDANG SORA ST-AGRI LAND;CR;90.00;;
NATIONAL ROAD;PROVINCIAL RD-BONIFACIO;CR;90.00;;
NATIONAL ROAD;BONIFACIO ST-AGRI LAND;CR;90.00;;
NATIONAL ROAD;TERESITA DULAY BLVD.;CR;90.00;;
NATIONAL ROAD;BRIDGE - AGRI LAND;RR;80.00;;
NATIONAL ROAD;COMM'L LOT - AGRI LAND;RR;80.00;;
NATIONAL ROAD;ROAD 1 - AGRI LAND;RR;80.00;;
TANDANG SORA ST;NATIONAL RD-AGRI LAND;CR;90.00;;
TANDANG SORA ST;CNSAT - AGRI LAND;CR;90.00;;
TANDANG SORA ST;NATIONAL ROAD-ST.MARK SCH;CR;90.00;;
TANDANG SORA ST;PROV'L ROAD-J. ABAD SANTOS;CR;90.00;;
TANDANG SORA ST;CNSAT - AGRI LAND;RR;80.00;;
TANDANG SORA ST;AGRI LAND - COMM'L LOT;RR;80.00;;
TANDANG SORA ST;J. ABAD SANTOS-MAGSAYSAY;RR;80.00;;
TANDANG SORA ST;MAGSAYSAY ST-C.M.RECTO;RR;80.00;;
TANDANG SORA ST;C.M.RECTO - BARANGY RD;RR;80.00;;
BONIFACIO ST;PROV'L ROAD-AGRI LAND;CR;90.00;;
BONIFACIO ST;PROVL-ROAD-J.ABAD SANTOS;CR;90.00;;
BONIFACIO ST;J. ABAD SANTOS-MAGSAYSAY;RR;80.00;;
BONIFACIO ST;MAGSAYSAY-C.M. RECTO;RR;80.00;;
BONIFACIO ST;C.M. RECTO-BARANGAY RD;RR;80.00;;
BONIFACIO ST;C.M. RECTO-BARANGAY RD;A2;2.00;;
M. QUEZON ST;PROVL RD-J.ABAD SANTOS;CR;90.00;;
M. QUEZON ST;J. ABAD SANTOS-MAGSAYSAY;RR;80.00;;
M. QUEZON ST;MAGSAYSAY-C.M.RECTO;RR;80.00;;
M. QUEZON ST;C.M. RECTO-BARANGAY RD;RR;80.00;;
AGUINALDO ST;PROV'L RD-J. ABAD SANTOS;CR;90.00;;
AGUINALDO ST;J. ABAD SANTOS-MAGSAYSAY;RR;80.00;;
AGUINALDO ST;MAGSAYSAY-C.M.RECTO;RR;80.00;;
AGUINALDO ST;C.M. RECTO-BARANGAY RD;RR;80.00;;
RIZAL ST;PROV'L RD-J.ABAD SANTOS;CR;90.00;;
RIZAL ST;J. ABAD SANTOS-MAGSAYSAY;RR;80.00;;
RIZAL ST;MAGSAYSAY-C.M. RECTO;RR;80.00;;
RIZAL ST;C.M. RECTO-BARANGAY RD;RR;80.00;;
GOMEZ ST;PROV'L RD -AGLIPAY ST;GL;0.00;;
GOMEZ ST;MAGSAYSAY-C.M.RECTO;RR;80.00;;
GOMEZ ST;C.M RECTO-BARANGAY RD;RR;80.00;;
AGLIPAY ST;PROVL RD-J.ABAD SANTOS;CR;90.00;;
AGLIPAY ST;J. ABAD SANTOS-MAGSAYSAY;RR;80.00;;
AGLIPAY ST;MAGSAYSAY-C.M.RECTO;RR;80.00;;
AGLIPAY ST;C.M. RECTO-MAGSAYSAY RD;RR;80.00;;
BARANGAY ROAD;;RR;80.00;;
BARANGAY ROAD;;A1;2.00;;
JACINTO ST;PROVL RD-ZAMORA ST;CR;90.00;;
JACINTO ST;C.M. RECTO-ZAMORA ST;RR;80.00;;
JACINTO ST;MAGSAYSAY - ZAMORA ST;RR;80.00;;
JACINTO ST;J. ABAD SANTOS-ZAMORA ST;RR;80.00;;
B. CUALO BLVD.;;CR;90.00;;
B. CUALO BLVD.;;RR;80.00;;
B. CUALO BLVD.;;GL;0.00;;
TERESITA DULAY BLVD.;;CR;90.00;;
NEW MARKET ROAD;;A2;2.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;MAGANDINGAY;;;;
NATIONAL RD;OUTER LOT;RR;75.00;;
NATIONAL RD;INNER LOT;RR;45.00;;
RD6-RD8;;GL;0.00;;
PROV'L RD;OUTER LOT;RR;75.00;;
PROV'L RD;INNER LOT;RR;45.00;;
PROV'L RD;INNER LOT;A2;2.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;SAN MARCOS;;;;
NAT'L RD;OUTER LOT;RR;75.00;;
NAT'L RD;INNER LOT;RR;45.00;;
RD 3-4,7-10,11-12,13 & 14;;GL;0.00;;
RD 3-4,7-10,11-12,13 & 14;;A2;2.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;STO. DOMINGO;;;;
ALL LOTS;;RR;30.00;;
ALL LOTS;;A2;2.00;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;7.00;;
ALL LOTS;;A7;2.00;;
ALL LOTS;;A8;2.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;TUCOD;;;;
ALL LOTS;;RR;30.00;;
ALL LOTS;;A3;1.00;;
ALL LOTS;;A4;4.00;;
ALL LOTS;;A6;8.00;;
ALL LOTS;;A7;2.00;;
CITY/MUNICIPALITY:;CABARROGUIS;A8;1.00;;
BARANGAY:;VILLAMOR;;;;
PROVINCIAL RD;;GL;;;
PROVINCIAL RD;RD 3;RR;30.00;;
PROVINCIAL RD;OUTER LOT;RR;25.00;;
PROVINCIAL RD;INNER LOT;A2;2.00;;
ALL OTHER LOTS;;A3;1.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;VILLA PENA;;;;
ALL LOTS;;RR;45.00;;
ALL LOTS;;A3;1.00;;
ALL LOTS;;A4;3.00;;
ALL LOTS;;A6;4.00;;
ALL LOTS;;A7;2.00;;
ALL LOTS;;A8;1.00;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;VILLAROSE;;;;
ALL LOTS;;GL;;;
CITY/MUNICIPALITY:;CABARROGUIS;;;;
BARANGAY:;ZAMORA;;;;
B. CUALO BLVD.;;RR;80.00;;
T. DULAY BLVD. EXT;;A2;2.00;;
B. CUALO ST;;RR;80.00;;
B. CUALO ST;;CR;90.00;;
B. CUALO ST;;GL;0.00;;
ZAMORA ST;;RR;80.00;;
ZAMORA ST;;CR;90.00;;
BULALAYAW ST;;RR;80.00;;
FLORIDA ST;;RR;80.00;;
DELBAY ST;;RR;80.00;;
DELBAY ST;;GL;0.00;;
MAGSAYSAY ST;;RR;80.00;;
CLARO M. RECTO;;RR;80.00;;
ESPANA ST;;RR;80.00;;
ROAD 5;;RR;80.00;;
ROAD 3;ROAD 7 - ROAD 8;RR;80.00;;
ROAD 3;ROAD 8 - ROAD 10;RR;45.00;;
ROAD 7;;RR;80.00;;
ROAD 6;;RR;80.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;AKLAN VILLAGE;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;20.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;ANDRES BONIFACIO;;;;
F. E. MARCOS AVE;;CR;90.00;;
F. E. MARCOS AVE;;RR;55.00;;
F. E. MARCOS AVE;AGUINALDO-NATIONAL RD;GL;0.00;;
F. E. MARCOS AVE;PAREDES ST - R. MAGSAYSAY;GL;0.00;;
RAMON MAGSAYSAY;;CR;90.00;;
LAPU-LAPU ST;;RR;55.00;;
LAPU-LAPU ST;DONA AURORA-NATIONAL ROAD;X;70.00;;
LAPU-LAPU ST;DONA AURORA-NATIONAL ROAD;CR;90.00;;
DIEGO SILANG ST;;RR;55.00;;
GEN. DEL PILAR ST;;RR;55.00;;
E. AGUINALDO ST;;RR;55.00;;
E. AGUINALDO ST;;CR;90.00;;
A. BONIFACIO ST;DONA AURORA-GEN.DEL PILAR;RR;55.00;;
A. BONIFACIO ST;GN. DEL PILAR-E.AGUINALDO;RR;45.00;;
A. BONIFACIO ST;DEL PILAR-QUIRINO S C ST.;GL;0.00;;
ESPIRITISTA ST;;RR;55.00;;
ESPIRITISTA ST;DONA AURORA-BONIFACIO ST;GL;0.00;;
MACARIO SULIO;;RR;55.00;;
PIMENTEL DRIVE;;CR;90.00;;
PIMENTEL DRIVE;;GL;0.00;;
DONA AURORA;;CR;90.00;;
E. JACINTO;;CR;90.00;;
ANTONIO LUNA;;CR;90.00;;
RAFAEL PALMA;;CR;90.00;;
NATIONAL ROAD;;CR;90.00;;
NATIONAL ROAD;DENR;GL;0.00;;
CLARO M. RECTO;;RR;55.00;;
CLARO M. RECTO;;CR;90.00;;
DELOS SANTOS ST;SAGA CREEK-HIPOLITO ST;RR;45.00;;
DELOS SANTOS ST;SAGA CREEK-HIPOLITO ST;RR;55.00;;
HIPOLITO ST;;CR;90.00;;
JUAN LUNA;;CR;90.00;;
MUNICIPAL ROAD;;RR;45.00;;
SOCIAL RANCH FORESTRY;;GL;;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;AURORA EAST;;;;
DONA AURORA ST;INP;GL;;;
E. AGUINALDO ST;;CR;90.00;;
E. AGUINALDO ST;GOMBURZA- M. L. QUEZON;RR;55.00;;
E. AGUINALDO ST;J.P. LAUREL-E. JACINTO;RR;45.00;;
E. JACINTO ST;;CR;90.00;;
E. JACINTO ST;GOMBURZA-M.L. QUEZON;RR;55.00;;
E. JACINTO ST;M. ROXAS - A. LUNA;RR;45.00;;
E. JACINTO ST;J.P. LAUREL - R. PALMA;RR;45.00;;
E. JACINTO ST;TANDANG SORA-A. LUNA;RR;45.00;;
E. JACINTO ST;NATIONAL RD-DESINADA CRK;RR;55.00;;
E. JACINTO ST;J.P.LAUREL-BARANGAY RD;GL;0.00;;
MANUEL L. QUEZON ST;E. JACINTO-DIFFUN CENTRAL;GL;0.00;;
MILANIO PEREZ ST;;CR;90.00;;
ANTONIO LUNA ST;MILANIO PEREZ-R.PALMA;RR;55.00;;
ANTONIO LUNA ST;TANDANG SORA-R. PALMA;RR;55.00;;
ANTONIO LUNA ST;M. ROXAS - R. PALMA;RR;45.00;;
MANUEL A. ROXAS ST;;RR;55.00;;
JOSE P. LAUREL;NATIONAL RD-AGUINALDO ST;RR;55.00;;
JOSE P. LAUREL;A. LUNA-R. PALMA;RR;45.00;;
TANDANG SORA ST;NATIONAL ROAD-AGUINALDO;RR;45.00;;
TANDANG SORA ST;AGUINALDO-JACINTO;RR;45.00;;
TANDANG SORA ST;JACINTO-DESINABA CREEK;A4;8.00;;
NATIONAL ROAD;DESINABA CRK- C. BERMUDEZ;I;90.00;;
NATIONAL ROAD;DESINABA CRK- C. BERMUDEZ;A1;10.00;;
DESINABA CREEK;;A4;8.00;;
CARMELITA BERMUDEZ;;RR;55.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;AURORA WEST;;;;
MIGUEL MALVAR ST;NATIONAL ROAD-LIWAYWAY ST;RR;55.00;;
MIGUEL MALVAR ST;NATIONAL ROAD M.L. QUEZON;RR;55.00;;
MIGUEL MALVAR ST;J.P. LAUREL-C.M. RECTO;RR;45.00;;
MIGUEL MALVAR ST;M. ROXAS - C.M. RECTO;RR;55.00;;
CLARO M. RECTO;M.L. QUEZON-M. MALVAR;RR;55.00;;
CLARO M. RECTO;M. MALVAR-DESINABA CREEK;RR;45.00;;
CLARO M. RECTO;J.P. LAUREL - SAGAT CREEK;RR;30.00;;
JOSE P. LAUREL;C.M. RECTO-DESINABA CRK;RR;45.00;;
JOSE P. LAUREL;NATIONAL ROAD-M. MALVAR;RR;55.00;;
MANUEL ROXAS;NATIONAL ROAD-M. MALVAR;RR;55.00;;
MANUEL L. QUEZON;C.M.RECTO-E.DELOS SANTOS;RR;45.00;;
MANUEL L. QUEZON;C.M. RECTO - ROAD;RR;55.00;;
MANUEL L. QUEZON;NATIONAL RD -MUNICIPAL RD;GL;0.00;;
E. DELOS SANTOS;M.L. QUEZON-M. PEREZ;RR;45.00;;
HIPOLITO ST;E.DELOS SANTOS-M.PEREZ;I;45.00;;
