RDO:;RDO NO. 40 - CUBAO QUEZON CITY;;;(FORMERLY RDO No. 30A-SOUTH Q.C.);
AURORA BLVD.;QUIRINO;APD;0.00;APD -  NO. 35 DIMACULANGAN MAKATI PROJECT 4     N  -  M. SALAMAT     E  -   A. LEGASPI      S  -  P. TUASON    W -   LAKANDULA;
A. LUNA;QUIRINO;RR;3,500.00;;
BUGALLON;QUIRINO;RR;3,500.00;;
CAMERINO;QUIRINO;RR;3,500.00;;
CAMERINO;QUIRINO;APD;0.00;APD -  NO. 35 DIMACULANGAN MAKATI PROJECT 4     N  -  M. SALAMAT     E  -   A. LEGASPI      S  -  P. TUASON    W -   LAKANDULA;
D. SUMAKWEL;QUIRINO;RR;3,500.00;;
EVANGELISTA;QUIRINO;RR;3,500.00;;
F. CASTILLO;QUIRINO;RR;3,500.00;;
FRANCISCO;QUIRINO;RR;3,500.00;;
KALANTIAO;QUIRINO;RR;3,500.00;;
LAKANDULA;QUIRINO;RR;3,500.00;;
M. SALAMAT;QUIRINO;RR;3,500.00;;
MALVAR;QUIRINO;RR;3,500.00;;
NOVALES;QUIRINO;RR;3,500.00;;
R. SOLIMAN;QUIRINO;RR;3,500.00;;
ALL OTHER STREETS;QUIRINO;RR;3,500.00;;
TOWNHOUSE (CCT);QUIRINO;RC;10,000.00;;
CONDOMINIUM;QUIRINO;RC;15,000.00;;
CONDOMINIUM;QUIRINO;CC;20,000.00;;
CONDOMINIUM;QUIRINO;;;;
BARANGAY:;BAGONG SILANGAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
FILINVEST HOMES;CAPITOL PHASE II;RR;2,000.00;;
PAYATAS ESTATE;CAPITOL;RR;1,200.00;;
PAYATAS ESTATE;CAPITOL;GP;250.00;;
PAYATAS ESTATE;CAPITOL;APD;0.00;APD -  NO. 58   NE  -  LOT 104 & 105    SE  -   SAN MATEO RIVER    NW -  LOT 48    S    -  LOT 107 (PAYATAS ESTATE & LOT 149)   W   -  LOT 27 (PAYATAS ESTATE);
BARANGAY:;BAGUMBAYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ACROPOLIS SUBDIVISION;GREENMEADOWS;RR;8,000.00;;
E. RODRIGUEZ AVE.,JR.;MURPHY;CR;7,000.00;;
E. RODRIGUEZ AVE.,JR.;MURPHY;RR;6,000.00;;
E. RODRIGUEZ AVE.,JR.;MURPHY;I;6,000.00;;
E. RODRIGUEZ AVE.,JR.;MURPHY;APD;0.00;APD -  NO. 52  N TO NE  -  MARIKINA RIVER    SE  -  CONCRETE AGGREGATE PROPERTY    S   -  INDUSTRIA ST    W  -  E. RODRIGUEZ AVE.    NW  - GENTEX & LOT 23 B-23;
INDUSTRIA;MURPHY;RR;2,000.00;;
INDUSTRIA;MURPHY;CR;4,000.00;;
INDUSTRIA;MURPHY;I;6,000.00;;
INDUSTRIA;MURPHY;APD;0.00;APD -  NO. 52  N TO NE  -  MARIKINA RIVER    SE  -  CONCRETE AGGREGATE PROPERTY    S   -  INDUSTRIA ST    W  -  E. RODRIGUEZ AVE.    NW  - GENTEX & LOT 23 B-23;
J. M. BASA;MURPHY;RR;1,500.00;;
MERCURY AVENUE;MURPHY;I;6,000.00;;
ALL OTHER STREETS;MURPHY;RR;1,500.00;;
TOWNHOUSE (CCT);MURPHY;RC;10,000.00;;
CONDOMINIUM;MURPHY;RC;15,000.00;;
CONDOMINIUM;MURPHY;CC;20,000.00;;
CONDOMINIUM;MURPHY;;;;
BARANGAY:;BAYANIHAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
J. P. RIZAL;QUIRINO;CR;5,000.00;;
J. P. RIZAL;QUIRINO;RR;4,000.00;;
KATIPUNAN AVENUE;QUIRINO;RR;4,000.00;;
KATIPUNAN AVENUE;QUIRINO;CR;5,000.00;;
PELAEZ;QUIRINO;RR;3,500.00;;
R. MATANDA;QUIRINO;RR;3,500.00;;
SANTOLAN ROAD;QUIRINO;CR;6,000.00;;
SANTOLAN ROAD;QUIRINO;RR;5,000.00;;
ALL OTHER STREETS;QUIRINO;RR;3,500.00;;
TOWNHOUSE (CCT);QUIRINO;RC;10,000.00;;
CONDOMINIUM;QUIRINO;RC;15,000.00;;
CONDOMINIUM;QUIRINO;CC;20,000.00;;
BARANGAY:;BLUERIDGE A;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
CLIFF DRIVE;BLUERIDGE - QUIRINO;RR;4,500.00;;
CRESTLINE;BLUERIDGE - QUIRINO;RR;4,500.00;;
HIGHLAND DRIVE;BLUERIDGE - QUIRINO;RR;4,500.00;;
HILLSIDE LANE;BLUERIDGE - QUIRINO;RR;4,500.00;;
HILLSIDE LOOP;BLUERIDGE - QUIRINO;RR;4,500.00;;
KATIPUNAN AVENUE;BLUERIDGE - QUIRINO;RR;4,500.00;;
KATIPUNAN AVENUE;BLUERIDGE - QUIRINO;CR;5,500.00;;
SANTOLAN RD (B. SE;BLUERIDGE - QUIRINO;RR;4,500.00;;
ALL OTHER STREETS;BLUERIDGE - QUIRINO;RR;4,500.00;;
TOWNHOUSE (CCT);BLUERIDGE - QUIRINO;RC;10,000.00;;
CONDOMINIUM;BLUERIDGE - QUIRINO;RC;15,000.00;;
CONDOMINIUM;BLUERIDGE - QUIRINO;CC;20,000.00;;
CONDOMINIUM;BLUERIDGE - QUIRINO;;;;
BARANGAY:;BLUERIDGE B;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
COMETS LOOPS;BLUERIDGE - QUIRINO;RR;4,000.00;;
EVENING GLOW;BLUERIDGE - QUIRINO;RR;4,000.00;;
HILLSIDE DRIVE;BLUERIDGE - QUIRINO;RR;4,000.00;;
MILKY WAY;BLUERIDGE - QUIRINO;RR;4,000.00;;
MOONLIGHT;BLUERIDGE - QUIRINO;RR;4,000.00;;
PROMENADE LANE;BLUERIDGE - QUIRINO;RR;4,000.00;;
RIVERVIEW;BLUERIDGE - QUIRINO;RR;4,000.00;;
SANTOLAN ROAD (B. SE;BLUERIDGE - QUIRINO;RR;4,000.00;;
STARLINE;BLUERIDGE - QUIRINO;RR;4,000.00;;
TWINPEAK;BLUERIDGE - QUIRINO;RR;4,000.00;;
ALL OTHER STREETS;BLUERIDGE - QUIRINO;RR;4,000.00;;
TOWNHOUSE (CCT);BLUERIDGE - QUIRINO;RC;10,000.00;;
CONDOMINIUM;BLUERIDGE - QUIRINO;RC;15,000.00;;
CONDOMINIUM;BLUERIDGE - QUIRINO;CC;20,000.00;;
BARANGAY:  BOTOCAN;;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALL OTHER STREETS;CENTRAL;RR;2,000.00;;
TOWNHOUSE (CCT);CENTRAL;RC;10,000.00;;
CONDOMINIUM;CENTRAL;RC;15,000.00;;
CONDOMINIUM;CENTRAL;CC;20,000.00;;
BARANGAY:;CAMP AGUINALDO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALL AREAS;MURPHY;GL;0.00;GOVERNMENT LAND;
ALL AREAS;MURPHY;;;;
BARANGAY:;CENTRAL;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
EDSA;CENTRAL;CR;10,000.00;;
EAST AVENUE;CENTRAL;CR;9,000.00;;
EAST AVENUE;CENTRAL;GL;0.00;GOVERNMENT LAND;
KALAYAAN AVENUE;CENTRAL;CR;6,000.00;;
KALAYAAN AVENUE;CENTRAL;RR;5,000.00;;
ALL OTHER STREETS;CENTRAL;RR;5,000.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
BARANGAY:;CLARO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ACACIA;QUIRINO;RR;3,000.00;;
AGUHO;QUIRINO;RR;3,000.00;;
ALMACIGA;QUIRINO;RR;3,000.00;;
ALMON;QUIRINO;RR;3,000.00;;
AMAYAN;QUIRINO;RR;3,000.00;;
AMUGIS;QUIRINO;RR;3,000.00;;
ANISLAG;QUIRINO;RR;3,000.00;;
ANOBING;QUIRINO;RR;3,000.00;;
APITONG;QUIRINO;RR;3,000.00;;
ARANGA;QUIRINO;RR;3,000.00;;
IPIL;QUIRINO;RR;3,000.00;;
ALL OTHER STREETS;QUIRINO;RR;3,000.00;;
TOWNHOUSE (CCT);QUIRINO;RC;10,000.00;;
CONDOMINIUM;QUIRINO;RC;15,000.00;;
CONDOMINIUM;QUIRINO;CC;20,000.00;;
CONDOMINIUM;QUIRINO;;;;
BARANGAY:;CONSTITUTIONAL HILLS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALL STREETS;CAPITOL;GL;0.00;GOVERNMENT LAND;
BARANGAY:;KRUS NA LIGAS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALL STREETS;DILIMAN;RR;1,000.00;;
ALL STREETS;DILIMAN;APD;0.00;APD -  NO. 21   N  -  SOUTH PERIPHERAL ROAD   E  -   ROUTE I    S  -   FORM COR. ROUTE I EXTENDING PERPENDICULARLY    TO MAGUINHAWA STREET   W  -   MAGUINHAWA ST. EXTENDING TO SOUTH PERIPHERAL ROAD;
ALL STREETS;DILIMAN;;;;
BARANGAY:;DAMAYANG LAGI;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
BRIGHT HILL;NEW MANILA;RR;4,000.00;;
BUNKER HILL;NEW MANILA;RR;4,000.00;;
CALVARY HILL;NEW MANILA;RR;4,000.00;;
E. RODRIGUEZ SR.;NEW MANILA;RR;9,000.00;;
E. RODRIGUEZ SR.;NEW MANILA;CR;13,000.00;;
E. RODRIGUEZ SR.;NEW MANILA;APD;0.00;APD -  NO. 10   N  -  E. RODRIGUEZ SR. BLVD   E  -   VICTORIA AVENUE   W  -  SAN JUAN RIVER    S  -   10TH STREET;
FILONELA;NEW MANILA;RR;3,500.00;;
GREENHILL;NEW MANILA;RR;3,500.00;;
LENA HILL;NEW MANILA;RR;4,000.00;;
MAGDALENA ROLLING  HI;NEW MANILA;RR;4,000.00;;
MAGNA HILL;NEW MANILA;RR;4,000.00;;
PINE HILL;NEW MANILA;RR;4,000.00;;
PINE HILL;NEW MANILA;APD;0.00;APD -  NO. 10   N  -  E. RODRIGUEZ SR. BLVD   E  -   VICTORIA AVENUE   W  -  SAN JUAN RIVER    S  -   10TH STREET;
SUNRISE HILL;NEW MANILA;RR;4,000.00;;
TRINITY HILL;NEW MANILA;RR;4,000.00;;
TWIN HILL;NEW MANILA;RR;4,000.00;;
VICTORIA AVENUE;NEW MANILA;RR;5,000.00;;
VICTORIA AVENUE;NEW MANILA;APD;0.00;APD -  NO. 10   N  -  E. RODRIGUEZ SR. BLVD   E  -   VICTORIA AVENUE   W  -  SAN JUAN RIVER    S  -   10TH STREET;
10TH - 14TH ST.;NEW MANILA;RR;3,500.00;;
LA TRINIDAD;NEW MANILA;RR;3,500.00;;
ALL OTHER STREETS;NEW MANILA;RR;3,500.00;;
TOWNHOUSE (CCT);NEW MANILA;RC;10,000.00;;
CONDOMINIUM;NEW MANILA;RC;15,000.00;;
CONDOMINIUM;NEW MANILA;CC;20,000.00;;
CONDOMINIUM;NEW MANILA;;;;
BARANGAY:;DIOQUINO ZOBEL;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
D. SILANG;QUIRINO;RR;3,500.00;;
DIOQUINO COMPOUND;QUIRINO;RR;3,500.00;;
GEN. LIZARDO;QUIRINO;RR;3,500.00;;
20TH AVENUE;QUIRINO;RR;3,500.00;;
ZOBEL;QUIRINO;RR;3,500.00;;
ALL OTHER STREETS;QUIRINO;RR;3,500.00;;
TOWNHOUSE (CCT);QUIRINO;RC;10,000.00;;
CONDOMINIUM;QUIRINO;RC;15,000.00;;
CONDOMINIUM;QUIRINO;CC;20,000.00;;
BARANGAY:;DON MANUEL;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
CASTILLO;GALAS;RR;3,500.00;;
D. TUASON;E RODRIGUEZ - BAYA;RR;3,500.00;;
D. TUASON;E RODRIGUEZ - BAYA;CR;4,500.00;;
DATA;GALAS;RR;3,500.00;;
LUSKOT;GALAS;RR;3,500.00;;
MATIMYAS;GALAS;RR;3,500.00;;
SANCIANGCO;GALAS;RR;3,500.00;;
ALL OTHER STREETS;GALAS;RR;3,500.00;;
TOWNHOUSE (CCT);GALAS;RC;10,000.00;;
CONDOMINIUM;GALAS;RC;15,000.00;;
CONDOMINIUM;GALAS;CC;20,000.00;;
CONDOMINIUM;GALAS;;;;
BARANGAY:;DONA JOSEFA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AGNO;STA. MESA HEIGHTS;RR;3,500.00;;
CALIRAYA;STA. MESA HEIGHTS;RR;3,500.00;;
CORDILLERA;STA. MESA HEIGHTS;RR;3,500.00;;
CADIZ;STA. MESA HEIGHTS;RR;3,500.00;;
KABIGNAYAN;STA. MESA HEIGHTS;RR;4,500.00;;
KITANLAD;STA. MESA HEIGHTS;RR;4,500.00;;
E. RODRIGUEZ SR. BLV;WELCOME TO CORDILLERA;RR;9,000.00;;
E. RODRIGUEZ SR. BLV;WELCOME TO CORDILLERA;CR;13,000.00;;
QUEZON AVENUE;WELCOME TO CORDILLERA;CR;15,000.00;;
ALL OTHER STREETS;WELCOME TO CORDILLERA;RR;3,500.00;;
TOWNHOUSE (CCT);WELCOME TO CORDILLERA;RC;10,000.00;;
CONDOMINIUM;WELCOME TO CORDILLERA;RC;15,000.00;;
CONDOMINIUM;WELCOME TO CORDILLERA;CC;20,000.00;;
BARANGAY:;DUYAN - DUYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BLVD.;QUIRINO 3;RR;10,000.00;;
AURORA BLVD.;QUIRINO 3;CR;13,000.00;;
AMAYAN;QUIRINO 3;RR;3,500.00;;
BATINO;QUIRINO 3;RR;3,500.00;;
DAPDAP;QUIRINO 3;RR;3,500.00;;
GUIJO;QUIRINO 3;RR;3,500.00;;
IPIL;QUIRINO 3;RR;3,500.00;;
KALANTAS;QUIRINO 3;RR;3,500.00;;
KAMAGONG;QUIRINO 3;RR;3,500.00;;
LAUAN;QUIRINO 3;RR;3,500.00;;
MOLAVE;QUIRINO 3;RR;4,000.00;;
MOLAVE;QUIRINO 3;CR;5,000.00;;
NARRA;QUIRINO 3;RR;3,500.00;;
TINDALO;QUIRINO 3;RR;3,500.00;;
ALL OTHER STREETS;QUIRINO 3;RR;3,500.00;;
TOWNHOUSE (CCT);QUIRINO 3;RC;10,000.00;;
CONDOMINIUM;QUIRINO 3;RC;15,000.00;;
CONDOMINIUM;QUIRINO 3;CC;20,000.00;;
CONDOMINIUM;QUIRINO 3;;;;
BARANGAY:;E. RODRIGUEZ;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BLVD.;EDSA - 15TH AVENUE(CUBAO;CR;15,000.00;;
ANNAPOLIS;CUBAO;RR;5,000.00;;
CAMBRIDGE;CUBAO;RR;5,000.00;;
COLUMBIA;CUBAO;RR;5,000.00;;
E.GARCIA;CUBAO;CR;8,000.00;;
EDSA;BRIDGE - NEPA Q MART(CUBA;CR;13,500.00;;
HARVARD;CUBAO;RR;5,000.00;;
IMPERIAL;CUBAO;RR;5,000.00;;
LA SALLE;CUBAO;RR;5,000.00;;
MIAMI;CUBAO;RR;5,000.00;;
MONTREAL;CUBAO;RR;5,000.00;;
NEW YORK;CUBAO;RR;6,000.00;;
NEW YORK;CUBAO;CR;8,000.00;;
E.GARCIA;CUBAO;RR;6,000.00;;
OXFORD;CUBAO;RR;5,000.00;;
PURDUE;CUBAO;RR;5,000.00;;
STANDFORD;CUBAO;RR;5,000.00;;
WEST POINT;CUBAO;RR;5,000.00;;
YALE;CUBAO;RR;5,000.00;;
ALL OTHER STREETS;CUBAO;RR;5,000.00;;
TOWNHOUSE (CCT);CUBAO;RC;10,000.00;;
CONDOMINIUM;CUBAO;RC;15,000.00;;
CONDOMINIUM;CUBAO;CC;20,000.00;;
CONDOMINIUM;CUBAO;;;;
BARANGAY:  ESCOPA;;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ESCOPA I  - ESCOPA IV;QUIRINO;RR;2,000.00;;
ESCOPA I  - ESCOPA IV;QUIRINO;APD;0.00;APD -  NO. 24              N  -   L. AGUDO NORTHWARD TO PONCE ST. THEN SOUTHWARD TO BURGOS ST                       THRU AN UNNAMED FOOTPATH (DIRECTLY FRONTING THE MSSD OFFICE ALONG P. BURGOS AND FINALLY, EASTWARD ALONG THE MSSD NORTH PROPERTY LINE UP TO THE QUEZON CITY-MARIKINA BOUNDARY  E  -    QUEZON CITY - MARIKINA BOUNDARY S. P. TUASON ST. HORIZONTALLY EXTENDING TO THE QUEZON CITY-MARI  W  - J. P. RIZAL STREET;
ESCOPA I  - ESCOPA IV;QUIRINO;;;;
BARANGAY:;HORSESHOE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
N. DOMINGO;CUBAO;RR;6,000.00;;
N. DOMINGO;CUBAO;CR;8,000.00;;
HILL TOP;CUBAO;RR;5,000.00;;
HORSESHOE DRIVE;CUBAO;RR;5,000.00;;
ST. LUKES;CUBAO;RR;5,000.00;;
ST. PAUL;CUBAO;RR;5,000.00;;
VALENTINA DRIVE;CUBAO;RR;5,000.00;;
ALL OTHER STREETS;CUBAO;RR;5,000.00;;
TOWNHOUSE (CCT);CUBAO;RC;10,000.00;;
CONDOMINIUM;CUBAO;RC;15,000.00;;
CONDOMINIUM;CUBAO;CC;20,000.00;;
CONDOMINIUM;CUBAO;;;;
BARANGAY:;IMELDA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ARANETA AVENUE;N. DOMINGO TO BRIDGE (SM);RR;6,000.00;;
ARANETA AVENUE;N. DOMINGO TO BRIDGE (SM);CR;8,000.00;;
BALABAC;SANTOL;RR;4,000.00;;
BALABAC;SANTOL;APD;0.00;"APD -  NO. 9 BARANGAY IMELDA KAPILIGAN  N  -   LANDARGUN ST     E  -   KAPILIGAN ST.  S  -   LANTAWAN ST. EXTENDING TO THE COST OF QUIRQYQN ST. & PALANSA ST.; AND GOING WEST TO G. ARANETA AVE.              W  -  G. ARANETA AVENUE  APD -  NO. 25 BARANGAY DONA IMELDA  NW  -   PALANSA ST.              NE   -   G. ARANETA AVE. SE   - AURORA BOULEVARD   S  -    SOCIEGO ST.   W   -    SILENCIO ST.  APD -  NO. 19 IMELDA SANTOL NW  -   RODRIGUEZ SR. BLVD E   -   SAN JUAN RIVER S   -   BAYANI ST. (FROM SAN JUAN RIVER TO KAPILIGAN ST.  AND FROM G. ARANETA TO QUEZON INSTITUTE PROPERTY LINE); kAPILIGAN (FROM COR. BAYANI ST. TO COR. G. ARANETA AVE.);   G. ARANETA (FROM COR KAPILIGAN TO COR. BAYANI ST.) W   -   QUEZON INSTITUTE PROPERTY LINE";
BITUAN;SANTOL;RR;4,000.00;;
BITUAN;SANTOL;APD;0.00;"APD -  NO. 9 BARANGAY IMELDA KAPILIGAN  N  -   LANDARGUN ST     E  -   KAPILIGAN ST.  S  -   LANTAWAN ST. EXTENDING TO THE COST OF QUIRQYQN ST. & PALANSA ST.; AND GOING WEST TO G. ARANETA AVE.              W  -  G. ARANETA AVENUE  APD -  NO. 25 BARANGAY DONA IMELDA  NW  -   PALANSA ST.              NE   -   G. ARANETA AVE. SE   - AURORA BOULEVARD   S  -    SOCIEGO ST.   W   -    SILENCIO ST.  APD -  NO. 19 IMELDA SANTOL NW  -   RODRIGUEZ SR. BLVD E   -   SAN JUAN RIVER S   -   BAYANI ST. (FROM SAN JUAN RIVER TO KAPILIGAN ST.  AND FROM G. ARANETA TO QUEZON INSTITUTE PROPERTY LINE); kAPILIGAN (FROM COR. BAYANI ST. TO COR. G. ARANETA AVE.);   G. ARANETA (FROM COR KAPILIGAN TO COR. BAYANI ST.) W   -   QUEZON INSTITUTE PROPERTY LINE";
BRIXTON HILLS;SANTOL;RR;5,000.00;;
E. RODRIGUEZ;SANTOL;RR;6,000.00;;
E. RODRIGUEZ;SANTOL;CR;10,000.00;;
GUIRAYAN;SANTOL;RR;4,000.00;;
KAPALARAN;SANTOL;RR;4,000.00;;
KAPILIGAN;SANTOL;RR;4,000.00;;
KAPILIGAN;SANTOL;APD;0.00;"APD -  NO. 9 BARANGAY IMELDA KAPILIGAN  N  -   LANDARGUN ST     E  -   KAPILIGAN ST.  S  -   LANTAWAN ST. EXTENDING TO THE COST OF QUIRQYQN ST. & PALANSA ST.; AND GOING WEST TO G. ARANETA AVE.              W  -  G. ARANETA AVENUE  APD -  NO. 25 BARANGAY DONA IMELDA  NW  -   PALANSA ST.              NE   -   G. ARANETA AVE. SE   - AURORA BOULEVARD   S  -    SOCIEGO ST.   W   -    SILENCIO ST.  APD -  NO. 19 IMELDA SANTOL NW  -   RODRIGUEZ SR. BLVD E   -   SAN JUAN RIVER S   -   BAYANI ST. (FROM SAN JUAN RIVER TO KAPILIGAN ST.  AND FROM G. ARANETA TO QUEZON INSTITUTE PROPERTY LINE); kAPILIGAN (FROM COR. BAYANI ST. TO COR. G. ARANETA AVE.);   G. ARANETA (FROM COR KAPILIGAN TO COR. BAYANI ST.) W   -   QUEZON INSTITUTE PROPERTY LINE";
LANTAWAN;SANTOL;RR;4,000.00;;
LANTAWAN;SANTOL;APD;0.00;"APD -  NO. 9 BARANGAY IMELDA KAPILIGAN  N  -   LANDARGUN ST     E  -   KAPILIGAN ST.  S  -   LANTAWAN ST. EXTENDING TO THE COST OF QUIRQYQN ST. & PALANSA ST.; AND GOING WEST TO G. ARANETA AVE.              W  -  G. ARANETA AVENUE  APD -  NO. 25 BARANGAY DONA IMELDA  NW  -   PALANSA ST.              NE   -   G. ARANETA AVE. SE   - AURORA BOULEVARD   S  -    SOCIEGO ST.   W   -    SILENCIO ST.  APD -  NO. 19 IMELDA SANTOL NW  -   RODRIGUEZ SR. BLVD E   -   SAN JUAN RIVER S   -   BAYANI ST. (FROM SAN JUAN RIVER TO KAPILIGAN ST.  AND FROM G. ARANETA TO QUEZON INSTITUTE PROPERTY LINE); kAPILIGAN (FROM COR. BAYANI ST. TO COR. G. ARANETA AVE.);   G. ARANETA (FROM COR KAPILIGAN TO COR. BAYANI ST.) W   -   QUEZON INSTITUTE PROPERTY LINE";
LUNDE;SANTOL;RR;4,000.00;;
MAGSAYSAY BLVD;SANTOL;CR;15,000.00;;
