RDO:;RDO NO. 16 CABARROGUIS, QUIRINO;;;;
BARANGAY:;DALEMDEM;;;;
ALL LOTS;ALONG THE ROAD;CR;150.00;;
ALL LOTS;ALONG THE ROAD;RR;75.00;;
ALL LOTS;INTERIOR;RR;65.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;4.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;DIODOL;;;;
ALL LOTS;ALONG THE ROAD;RR;50.00;;
ALL LOTS;INTERIOR;RR;35.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;2.00;;
ALL LOTS;INTERIOR;A4;5.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;DUMABEL;;;;
ALL LOTS;ALONG THE ROAD;CR;150.00;;
ALL LOTS;ALONG THE ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;5.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;DUNGO (DUNGO-OSMENA);;;;
ALL LOTS;ALONG THE ROAD;CR;150.00;;
ALL LOTS;ALONG THE ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;6.00;;
ALL LOTS;INTERIOR;A6;8.00;;
ALL LOTS;INTERIOR;A7;4.00;;
ALL LOTS;INTERIOR;A8;4.00;;
ALL LOTS;INTERIOR;A9;4.00;;
ALL LOTS;INTERIOR;A10;4.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;GUINALBIN;;;;
ALL LOTS;ALONG THE ROAD;CR;150.00;;
ALL LOTS;ALONG THE ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;4.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;LIGAYA;;;;
ALL LOTS;ALONG THE ROAD;CR;155.00;;
ALL LOTS;ALONG THE ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;5.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;NANGABNGABAN;;;;
ALL LOTS;ALONG THE ROAD;RR;50.00;;
ALL LOTS;INTERIOR;RR;35.00;;
ALL LOTS;INTERIOR;A2;2.00;;
ALL LOTS;INTERIOR;A3;2.00;;
ALL LOTS;INTERIOR;A4;5.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;PALACIAN;;;;
ALL LOTS;ALONG THE ROAD;CR;155.00;;
ALL LOTS;ALONG THE ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;5.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;PINARIPAD NORTE;;;;
ALL LOTS;ALONG THE ROAD;CR;155.00;;
ALL LOTS;ALONG THE ROAD;RR;125.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;6.00;;
ALL LOTS;INTERIOR;A5;4.00;;
ALL LOTS;INTERIOR;A6;7.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;PINARIPAD SUR;;;;
ALL LOTS;ALONG THE ROAD;CR;155.00;;
ALL LOTS;ALONG THE ROAD;RR;125.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;6.00;;
ALL LOTS;INTERIOR;A5;5.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;4.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;PROGRESO (POBLACION);;;;
ALL LOTS;ALONG THE ROAD;CR;155.00;;
ALL LOTS;ALONG THE ROAD;RR;125.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;4.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;4.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;RAMOS;;;;
ALL LOTS;ALONG THE ROAD;CR;100.00;;
ALL LOTS;ALONG THE ROAD;RR;75.00;;
ALL LOTS;INTERIOR;RR;60.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;6.00;;
ALL LOTS;INTERIOR;A6;8.00;;
ALL LOTS;INTERIOR;A7;4.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;RANG-AYAN;;;;
ALL LOTS;ALONG THE ROAD;CR;150.00;;
ALL LOTS;ALONG THE ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;6.00;;
ALL LOTS;INTERIOR;A6;8.00;;
ALL LOTS;INTERIOR;A7;4.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;;CR;150.00;;
ALL LOTS;;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;4.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;SAN BENIGNO;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;INTERIOR;RR;35.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;2.00;;
ALL LOTS;INTERIOR;A4;5.00;;
ALL LOTS;INTERIOR;A6;5.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;SAN FRANCISCO;;;;
ALL LOTS;;CR;150.00;;
ALL LOTS;;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;6.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;4.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;SAN LEONARDO;;;;
ALL LOTS;;CR;160.00;;
ALL LOTS;;RR;130.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;6.00;;
ALL LOTS;INTERIOR;A6;7.00;;
ALL LOTS;INTERIOR;A7;4.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;SAN MANUEL;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;INTERIOR;RR;35.00;;
ALL LOTS;INTERIOR;A2;2.00;;
ALL LOTS;INTERIOR;A4;3.00;;
ALL LOTS;INTERIOR;A7;2.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;SAN RAMON;;;;
ALL LOTS;;CR;150.00;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INTERIOR;RR;60.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;5.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;4.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;VICTORIA;;;;
ALL LOTS;;CR;150.00;;
ALL LOTS;;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;6.00;;
ALL LOTS;INTERIOR;A6;7.00;;
ALL LOTS;INTERIOR;A7;4.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;VILLA PAGADUAN;;;;
ALL LOTS;;CR;150.00;;
ALL LOTS;;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;6.00;;
ALL LOTS;INTERIOR;A5;5.60;;
ALL LOTS;INTERIOR;A6;7.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;VILLA SANTIAGO;;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;6.00;;
ALL LOTS;INTERIOR;A6;7.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;BANUAR;;;;
ALL LOTS;;RR;30.00;;
ALL LOTS;;A1;40.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A4;6.00;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A7;3.00;;
ALL LOTS;;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;BURGOS;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;;A1;10.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;2.10;;
ALL LOTS;;A7;2.10;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A11;2.00;;
ROAD 18 & 33;;GL;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;CALAOCAN;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;;A2;2.00;;
ALL LOTS;;A3;3.00;;
ALL LOTS;;A8;3.00;;
ALL LOTS;;A10;2.00;;
ALL LOTS;;A11;2.00;;
ALL LOTS;;GL;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;DEL PILAR;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;;A1;10.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;3.30;;
ALL LOTS;;A4;6.30;;
ALL LOTS;;A6;16.70;;
ALL LOTS;;A7;4.10;;
ALL LOTS;;A8;4.10;;
ALL LOTS;;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;DIBIBI;;;;
ALL LOTS;;RR;54.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;3.55;;
ALL LOTS;;A4;7.20;;
ALL LOTS;;A6;15.50;;
ALL LOTS;;A7;4.10;;
ALL LOTS;;A8;2.10;;
ALL LOTS;;A11;2.00;;
ALL LOTS;;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;DINGASAN;;;;
ALL LOTS;;GL;;;
ALL LOTS;;RR;20.00;;
ALL LOTS;;A1;6.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;3.55;;
ALL LOTS;;A4;5.20;;
ALL LOTS;;A6;7.50;;
ALL LOTS;;A7;4.10;;
ALL LOTS;;A8;2.10;;
ALL LOTS;;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;EDEN;;;;
ALL LOTS;;RR;10.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;3.55;;
ALL LOTS;;A4;3.20;;
ALL LOTS;;A6;5.50;;
ALL LOTS;;A7;2.10;;
ALL LOTS;;A8;2.10;;
ALL LOTS;;A11;2.00;;
ALL LOTS;;GL;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;GOMEZ;;;;
ALL LOTS;;RR;10.00;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;4.30;;
ALL LOTS;;A7;4.10;;
ALL LOTS;;A8;4.10;;
ALL LOTS;;A11;2.00;;
ALL LOTS;;GL;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;GUNDAWAY;;;;
NATIONAL ROAD;SAINT MARK SCHOOL;CR;160.00;;
NATIONAL ROAD;TANDANG SORA ST-AGRI LAND;CR;160.00;;
NATIONAL ROAD;PROVINCIAL RD-BONIFACIO;CR;160.00;;
NATIONAL ROAD;BONIFACIO ST-AGRI LAND;CR;160.00;;
NATIONAL ROAD;TERESITA DULAY BLVD.;CR;160.00;;
NATIONAL ROAD;BRIDGE-AGRI LAND;RR;130.00;;
NATIONAL ROAD;COMM'L LOT - AGRI LAND;RR;130.00;;
NATIONAL ROAD;ROAD 1 - AGRI LAND;RR;130.00;;
TANDANG SORA ST;NATIONAL RD-AGRI LAND;CR;160.00;;
TANDANG SORA ST;CNSAT - AGRI LAND;CR;160.00;;
TANDANG SORA ST;NATIONAL ROAD-ST.MARK SCH;CR;160.00;;
TANDANG SORA ST;PROV'L ROAD-J.ABAD SANTOS;CR;160.00;;
TANDANG SORA ST;CNSAT-AGRI LAND;RR;130.00;;
TANDANG SORA ST;AGRI LAND-COMM'L LOT;RR;130.00;;
TANDANG SORA ST;J.ABAD SANTOS-MAGSAYSAY;RR;130.00;;
TANDANG SORA ST;MAGSAYSAY ST-C.M.RECTO;RR;130.00;;
TANDANG SORA ST;C.M.RECTO - BARANGY RD;RR;130.00;;
BONIFACIO ST;PROV'L ROAD-AGRI LAND;CR;160.00;;
BONIFACIO ST;PROVL-ROAD-J.ABAD SANTOS;CR;160.00;;
BONIFACIO ST;J.ABAD SANTOS-MAGSAYSAY;RR;130.00;;
BONIFACIO ST;MAGSAYSAY-C.M. RECTO;RR;130.00;;
BONIFACIO ST;C.M. RECTO-BARANGAY RD;RR;130.00;;
BONIFACIO ST;C.M. RECTO-BARANGAY RD;A2;4.40;;
M. QUEZON ST;PROV'L RD-J.ABAD SANTOS;CR;160.00;;
M. QUEZON ST;J.ABAD SANTOS-MAGSAYSAY;RR;130.00;;
M. QUEZON ST;MAGSAYSAY-C.M.RECTO;RR;130.00;;
M. QUEZON ST;C.M. RECTO-BARANGAY RD;RR;130.00;;
AGUINALDO ST;PROV'L RD-J.ABAD SANTOS;CR;160.00;;
AGUINALDO ST;J. ABAD SANTOS-MAGSAYSAY;RR;130.00;;
AGUINALDO ST;MAGSAYSAY-C.M.RECTO;RR;130.00;;
AGUINALDO ST;C.M.RECTO-BARANGAY RD;RR;130.00;;
RIZAL ST;PROV'L RD-J.ABAD SANTOS;CR;160.00;;
RIZAL ST;J.ABAD SANTOS-MAGSAYSAY;RR;130.00;;
RIZAL ST;MAGSAYSAY-C.M.RECTO;RR;130.00;;
RIZAL ST;C.M. RECTO-BARANGAY RD;RR;130.00;;
GOMEZ ST;PROVL RD-AGLIPAY ST;GL;0.00;;
GOMEZ ST;MAGSAYSAY-C.M. RECTO;RR;130.00;;
GOMEZ ST;C.M. RECTO-BARANGAY RD;RR;130.00;;
AGLIPAY ST;PROV'L RD-J.ABAD SANTOS;CR;160.00;;
AGLIPAY ST;J. ABAD SANTOS-MAGSAYSAY;RR;130.00;;
AGLIPAY ST;MAGSAYSAY-C.M.RECTO;RR;130.00;;
AGLIPAY ST;C.M.RECTO-MAGSAYSAY RD;RR;130.00;;
BARANGAY ROAD;;RR;130.00;;
BARANGAY ROAD;;A1;10.00;;
JACINTO ST;PROV'L RD-ZAMORA ST;CR;160.00;;
JACINTO ST;C.M. RECTO-ZAMORA ST;RR;130.00;;
JACINTO ST;MAGSAYSAY - ZAMORA ST;RR;130.00;;
JACINTO ST;J. ABAD SANTOS-ZAMORA ST;RR;130.00;;
B. CUALO BLVD.;;CR;160.00;;
B. CUALO BLVD.;;RR;130.00;;
B. CUALO BLVD.;;GL;0.00;;
TERESITA DULAY BLVD.;;CR;160.00;;
TERESITA DULAY BLVD.;;A1;10.00;;
NEW MARKET ROAD;;A2;5.60;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;MAGANDINGAY;;;;
NATIONAL RD;;RR;130.00;;
NATIONAL RD;INTERIOR;RR;75.00;;
RD 6-RD 8;;GL;;;
PROV'L RD;;RR;130.00;;
PROV'L RD;INTERIOR;RR;75.00;;
PROV'L RD;INTERIOR;A1;10.00;;
PROV'L RD;INTERIOR;A2;5.60;;
PROV'L RD;INTERIOR;A3;2.00;;
PROV'L RD;INTERIOR;A4;5.00;;
PROV'L RD;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;SAN MARCOS;;;;
NAT'L RD;;RR;130.00;;
NAT'L RD;INTERIOR;RR;75.00;;
RD 3-4,7-10,11-12,13 & 14;;GL;0.00;;
RD 3-4,7-10,11-12,13 & 14;;A1;10.00;;
RD 3-4,7-10,11-12,13 & 14;;A2;5.60;;
RD 3-4,7-10,11-12,13 & 14;;A4;5.00;;
RD 3-4,7-10,11-12,13 & 14;;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;STO DOMINGO;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;;A1;10.00;;
ALL LOTS;;A2;6.20;;
ALL LOTS;;A4;6.40;;
ALL LOTS;;A6;10.60;;
ALL LOTS;;A7;7.60;;
ALL LOTS;;A8;7.60;;
ALL LOTS;;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;TUCOD;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;;A2;2.00;;
ALL LOTS;;A3;3.55;;
ALL LOTS;;A4;7.20;;
ALL LOTS;;A6;15.50;;
ALL LOTS;;A7;4.10;;
ALL LOTS;;A8;2.10;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;VILLAMOR;;;;
ALL LOTS;PROVINCIAL RD;GL;;;
ALL LOTS;RD3;RR;75.00;;
ALL LOTS;OUTER LOT;RR;45.00;;
ALL LOTS;OUTER LOT;A1;10.00;;
ALL LOTS;INTERIOR;A2;3.80;;
ALL OTHER LOTS;;A3;2.90;;
ALL OTHER LOTS;;A4;5.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;VILLA PENA;;;;
ALL LOTS;;RR;65.00;;
ALL LOTS;;A1;10.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;3.55;;
ALL LOTS;;A4;5.20;;
ALL LOTS;;A6;7.50;;
