RDO:;RDO N0. 53B - MUNTINLUPA CITY;;;;
SITIO RIZAL;RIZAL VILL;RR;0.00;Located in BRGY CUPANG.;
T. MOLINA ST.;BARRIO PROPER;RR;12,000.00;;
TM RD - LAGUNA LAKESIDE;LAGUNA LAKE SIDE;RR;3,000.00;;
TM RD ALABANG (SAN GUILLERMO STREET) PNR SIDE;PNR SIDE;RR;5,000.00;;
TIERRA NUEVA;ZAPOTE ALABANG;RR;0.00;Located in BRGY CUPANG.;
TIERRA VILLAS;L & B 2;RR;12,000.00;;
UP SIDE SUBDIVISION;NATIONAL HIGHWAY - BAYANAN CREEK;RR;12,000.00;;
WESTGATE CENTER;ALABANG ZAPOTE - COMMERCE AVENUE;CR;75,000.00;;
WEST SERVICE ROAD;HILLSIDE HOSPITAL - BAYANAN;RR;17,000.00;;
WEST SERVICE ROAD;HILLSIDE HOSPITAL - BAYANAN;CR;25,000.00;;
WEST SERVICE ROAD;HILLSIDE HOSPITAL - BAYANAN;I;23,000.00;;
WEST SERVICE ROAD;HILLSIDE HOSPITAL - BAYANAN;X;25,000.00;;
ALL OTHER STREETS;;RR;12,000.00;;
ALL OTHER STREETS;;CR;25,000.00;;
ALL OTHER STREETS;;I;23,000.00;;
ALL OTHER STREETS;;X;20,000.00;;
CONDOMINIUMS AND TOWNHOUSES;;;;;
2301 CIVIC PLACE CONDOMINIUM;FILINVEST CORPORATE CITY;RC;55,000.00;;
2301 CIVIC PLACE CONDOMINIUM;FILINVEST CORPORATE CITY;CC;65,000.00;;
2301 CIVIC PLACE CONDOMINIUM;FILINVEST CORPORATE CITY;PS;48,000.00;;
ACACIA GROVE;FILINVEST CORPORATE CITY;RC;60,000.00;;
ACACIA GROVE;FILINVEST CORPORATE CITY;CC;70,000.00;;
ACACIA GROVE;FILINVEST CORPORATE CITY;PS;54,000.00;;
ASIAN STAR CONDOMINIUM;FILINVEST CORPORATE CITY;RC;55,000.00;;
ASIAN STAR CONDOMINIUM;FILINVEST CORPORATE CITY;CC;65,000.00;;
ASIAN STAR CONDOMINIUM;FILINVEST CORPORATE CITY;PS;48,000.00;;
ASIAN HOSPITAL & MEDICAL CTR;FILINVEST CORPORATE CITY;RC;65,000.00;;
ASIAN HOSPITAL & MEDICAL CTR;FILINVEST CORPORATE CITY;CC;75,000.00;;
ASIAN HOSPITAL & MEDICAL CTR;FILINVEST CORPORATE CITY;PS;54,000.00;;
ASPEN TOWER;FILINVEST CORPORATE CITY;RC;60,000.00;;
ASPEN TOWER;FILINVEST CORPORATE CITY;CC;70,000.00;;
ASPEN TOWER;FILINVEST CORPORATE CITY;PS;54,000.00;;
BOTANIKA NATURE RESOURCES;FILINVEST CORPORATE CITY;RC;70,000.00;;
BOTANIKA NATURE RESOURCES;FILINVEST CORPORATE CITY;CC;80,000.00;;
BOTANIKA NATURE RESOURCES;FILINVEST CORPORATE CITY;PS;54,000.00;;
BRISTOL CONDOMINIUM;FILINVEST CORPORATE CITY;RC;70,000.00;;
BRISTOL CONDOMINIUM;FILINVEST CORPORATE CITY;CC;80,000.00;;
BRISTOL CONDOMINIUM;FILINVEST CORPORATE CITY;PS;54,000.00;;
CAPITAL ONE;FILINVEST CORPORATE CITY;RC;45,000.00;;
CAPITAL ONE;FILINVEST CORPORATE CITY;CC;55,000.00;;
CAPITAL ONE;FILINVEST CORPORATE CITY;PS;40,000.00;;
CHMI HOTEL AND RESIDENCES;FILINVEST CORPORATE CITY;RC;55,000.00;;
CHMI HOTEL AND RESIDENCES;FILINVEST CORPORATE CITY;CC;65,000.00;;
CHMI HOTEL AND RESIDENCES;FILINVEST CORPORATE CITY;PS;48,000.00;;
CIVIC PRIME CONDO;FILINVEST CORPORATE CITY;RC;55,000.00;;
CIVIC PRIME CONDO;FILINVEST CORPORATE CITY;CC;65,000.00;;
CIVIC PRIME CONDO;FILINVEST CORPORATE CITY;PS;48,000.00;;
ENTRATA TOWER;ALABANG-ZAPOTE ROAD;RC;60,000.00;;
ENTRATA TOWER;ALABANG-ZAPOTE ROAD;CC;70,000.00;;
ENTRATA TOWER;ALABANG-ZAPOTE ROAD;PS;54,000.00;;
LA VIE FLATS;FILINVEST CORPORATE CITY;RC;60,000.00;;
LA VIE FLATS;FILINVEST CORPORATE CITY;CC;70,000.00;;
LA VIE FLATS;FILINVEST CORPORATE CITY;PS;54,000.00;;
MONDRIAN PLACE;FILINVEST CORPORATE CITY;RC;55,000.00;;
MONDRIAN PLACE;FILINVEST CORPORATE CITY;CC;65,000.00;;
MONDRIAN PLACE;FILINVEST CORPORATE CITY;PS;48,000.00;;
PAULINE CONDOMINIUM;ILAYA;RC;25,000.00;;
PAULINE CONDOMINIUM;ILAYA;CC;30,000.00;;
PARQUE ESPAÑA RESIDENCE HOTEL;FILINVEST CORPORATE CITY;RC;55,000.00;;
PARQUE ESPAÑA RESIDENCE HOTEL;FILINVEST CORPORATE CITY;CC;65,000.00;;
PARQUE ESPAÑA RESIDENCE HOTEL;FILINVEST CORPORATE CITY;PS;48,000.00;;
PLAZA A CONDOMINIUM;FILINVEST CORPORATE CITY;RC;45,000.00;;
PLAZA A CONDOMINIUM;FILINVEST CORPORATE CITY;CC;55,000.00;;
PLAZA A CONDOMINIUM;FILINVEST CORPORATE CITY;PS;40,000.00;;
PLAZA B CONDOMINIUM;FILINVEST CORPORATE CITY;RC;45,000.00;;
PLAZA B CONDOMINIUM;FILINVEST CORPORATE CITY;CC;55,000.00;;
PLAZA B CONDOMINIUM;FILINVEST CORPORATE CITY;PS;40,000.00;;
RICHVILLE REGENCY SUITES CONDOMINIUM;FILINVEST CORPORATE CITY;RC;45,000.00;;
RICHVILLE REGENCY SUITES CONDOMINIUM;FILINVEST CORPORATE CITY;CC;55,000.00;;
RICHVILLE REGENCY SUITES CONDOMINIUM;FILINVEST CORPORATE CITY;PS;40,000.00;;
SOUTH GATE TOWER;FILINVEST CORPORATE CITY;RC;55,000.00;;
SOUTH GATE TOWER;FILINVEST CORPORATE CITY;CC;65,000.00;;
SOUTH GATE TOWER;FILINVEST CORPORATE CITY;PS;48,000.00;;
STUDIO ONE CONDO;FILINVEST CORPORATE CITY;RC;50,000.00;;
STUDIO ONE CONDO;FILINVEST CORPORATE CITY;CC;60,000.00;;
STUDIO ONE CONDO;FILINVEST CORPORATE CITY;PS;45,000.00;;
STUDIO TWO CONDO;FILINVEST CORPORATE CITY;RC;50,000.00;;
STUDIO TWO CONDO;FILINVEST CORPORATE CITY;CC;60,000.00;;
STUDIO TWO CONDO;FILINVEST CORPORATE CITY;PS;45,000.00;;
STUDIO CITY CONDOMINIUM;FILINVEST CORPORATE CITY;RC;50,000.00;;
STUDIO CITY CONDOMINIUM;FILINVEST CORPORATE CITY;CC;60,000.00;;
STUDIO CITY CONDOMINIUM;FILINVEST CORPORATE CITY;PS;45,000.00;;
THE LEVELS;FILINVEST CORPORATE CITY;RC;55,000.00;;
THE LEVELS;FILINVEST CORPORATE CITY;CC;65,000.00;;
THE LEVELS;FILINVEST CORPORATE CITY;PS;50,000.00;;
VECTOR ONE;NORTHGATE CYBERZONE;RC;50,000.00;;
VECTOR ONE;NORTHGATE CYBERZONE;CC;60,000.00;;
VECTOR ONE;NORTHGATE CYBERZONE;PS;45,000.00;;
VIVANT FLATS;FILINVEST CORPORATE CITY;RC;55,000.00;;
VIVANT FLATS;FILINVEST CORPORATE CITY;CC;65,000.00;;
VIVANT FLATS;FILINVEST CORPORATE CITY;PS;50,000.00;;
VIVERE HOTEL AND RESORTS;FILINVEST CORPORATE CITY;RC;55,000.00;;
VIVERE HOTEL AND RESORTS;FILINVEST CORPORATE CITY;CC;65,000.00;;
VIVERE HOTEL AND RESORTS;FILINVEST CORPORATE CITY;PS;50,000.00;;
WEST PARC ALDER;FILINVEST CORPORATE CITY;RC;50,000.00;;
WEST PARC ALDER;FILINVEST CORPORATE CITY;CC;60,000.00;;
WEST PARC ALDER;FILINVEST CORPORATE CITY;PS;45,000.00;;
WEST PARC BIRCH;FILINVEST CORPORATE CITY;RC;50,000.00;;
WEST PARC BIRCH;FILINVEST CORPORATE CITY;CC;60,000.00;;
WEST PARC BIRCH;FILINVEST CORPORATE CITY;PS;45,000.00;;
WEST PARC CEDAR;FILINVEST CORPORATE CITY;RC;50,000.00;;
WEST PARC CEDAR;FILINVEST CORPORATE CITY;CC;60,000.00;;
WEST PARC CEDAR;FILINVEST CORPORATE CITY;PS;45,000.00;;
WESTGATE TOWER CONDO;MADRIGAL BUSINESS PARK;RC;50,000.00;;
WESTGATE TOWER CONDO;MADRIGAL BUSINESS PARK;CC;60,000.00;;
WESTGATE TOWER CONDO;MADRIGAL BUSINESS PARK;PS;45,000.00;;
NHA FILINVEST;NORTHGATE CYBERZONE CENTER;RC;20,000.00;;
BARANGAY:;AYALA ALABANG;;;;
ALABANG TOWN CENTER;ALABANG-ZAPOTE ROAD- COMMERCE AVENUE;CR;75,000.00;;
ALABANG TOWN CENTER;ALABANG-ZAPOTE ROAD- COMMERCE AVENUE;X;75,000.00;;
AYALA ALABANG  COMMERCIAL CENTER;ALABANG-ZAPOTE ROAD/MADRIGAL BUSINESS PARK;CR;75,000.00;;
AYALA ALABANG VILLAGE;PHASES 1, 2A, , 3A1, 3A2, 3B1, 3B2, 3B3, 4, 5, 6, 7, 8A, 8B, 9, 10A, 10B, 10C, 10D, XI-A, XI-B, XI-C & XII;RR;40,000.00;;
AYALA ALABANG VILLAGE;LOTS BACKING THE GOLF COURSE PHASES 4 & 2B;RR;60,000.00;;
AYALA ALABANG VILLAGE;LOTS ALONG THE PERIMETERS OF APITONG, ADELFA, ROSAL, BATANGAS EAST, SOUTH & WEST, TAMARIND, LANGKA, SANTIAGO, & PORTIONS OF SAN JUANICO, GUAVA DRIVE, TAMARIND DRIVE, SAN LORENZO, MABOLO, CAMACHILE AND PILI DRIVE;RR;38,000.00;;
AYALA ALABANG VILLAGE;SCHOOLS, CHURCHES;X;40,000.00;;
AYALA ALABANG VILLAGE;AYALA ALABANG EMPLOYEES HOUSING PROJECT 1 & 2 (AEHP 1 & 2 EMPLOYEES HOUSING);RR;35,000.00;;
AYALA ALABANG VILLAGE;BPI HOUSING;RR;35,000.00;;
MADRIGAL BUSINESS PARK 1 & 2;ALONG COMMERCE AVE/AYALA ALABANG;CR;75,000.00;;
MADRIGAL-VASQUEZ PROPERTY;MADRIGAL AVE. ALABANG-ZAPOTE RD;CR;75,000.00;;
MOLITO COMMERCIAL COMPLEX;ALABANG-ZAPOTE RD- APITONG;CR;85,000.00;;
ALL OTHER STREETS;;RR;35,000.00;;
ALL OTHER STREETS;;CR;75,000.00;;
ALL OTHER STREETS;;X;40,000.00;;
CONDOMINIUMS AND TOWNHOUSES;;;;;
ALABANG BUSINESS TOWER;MADRIGAL BUSINESS PARK;RC;45,000.00;;
ALABANG BUSINESS TOWER;MADRIGAL BUSINESS PARK;CC;55,000.00;;
ALABANG BUSINESS TOWER;MADRIGAL BUSINESS PARK;PS;40,000.00;;
ALPAP BLDG.;MADRIGAL BUSINESS PARK;RC;65,000.00;;
ALPAP BLDG.;MADRIGAL BUSINESS PARK;CC;78,000.00;;
ALPAP BLDG.;MADRIGAL BUSINESS PARK;PS;55,000.00;;
AYALA LIFE - FGU CENTER;MADRIGAL BUSINESS PARK;RC;55,000.00;;
AYALA LIFE - FGU CENTER;MADRIGAL BUSINESS PARK;CC;65,000.00;;
AYALA LIFE - FGU CENTER;MADRIGAL BUSINESS PARK;PS;48,000.00;;
AVIDA TOWER CONDO;MADRIGAL BUSINESS PARK;RC;60,000.00;;
AVIDA TOWER CONDO;MADRIGAL BUSINESS PARK;CC;75,000.00;;
AVIDA TOWER CONDO;MADRIGAL BUSINESS PARK;PS;54,000.00;;
AZUMI RESIDENCES;MADRIGAL BUSINESS PARK;RC;55,000.00;;
AZUMI RESIDENCES;MADRIGAL BUSINESS PARK;CC;65,000.00;;
AZUMI RESIDENCES;MADRIGAL BUSINESS PARK;PS;48,000.00;;
CELEREICA CORP TOWER CONDO;AYALA ALABANG VILLAGE;RC;50,000.00;;
CELEREICA CORP TOWER CONDO;AYALA ALABANG VILLAGE;CC;60,000.00;;
CELEREICA CORP TOWER CONDO;AYALA ALABANG VILLAGE;PS;45,000.00;;
COMMON GOAL TOWER;MADRIGAL BUSINESS PARK;RC;45,000.00;;
COMMON GOAL TOWER;MADRIGAL BUSINESS PARK;CC;55,000.00;;
COMMON GOAL TOWER;MADRIGAL BUSINESS PARK;PS;40,000.00;;
DAFFODILS;MADRIGAL BUSINESS PARK;RC;45,000.00;;
DAFFODILS;MADRIGAL BUSINESS PARK;CC;55,000.00;;
DAFFODILS;MADRIGAL BUSINESS PARK;PS;40,000.00;;
DON NICANOR REALTY;MADRIGAL BUSINESS PARK;RC;50,000.00;;
DON NICANOR REALTY;MADRIGAL BUSINESS PARK;CC;60,000.00;;
DON NICANOR REALTY;MADRIGAL BUSINESS PARK;PS;45,000.00;;
KINGSTON TOWER;MADRIGAL BUSINESS PARK;RC;50,000.00;;
KINGSTON TOWER;MADRIGAL BUSINESS PARK;CC;60,000.00;;
KINGSTON TOWER;MADRIGAL BUSINESS PARK;PS;45,000.00;;
NOL BUILDING;MADRIGAL BUSINESS PARK;RC;50,000.00;;
NOL BUILDING;MADRIGAL BUSINESS PARK;CC;60,000.00;;
NOL BUILDING;MADRIGAL BUSINESS PARK;PS;45,000.00;;
PAGE ONE;MADRIGAL BUSINESS PARK;RC;50,000.00;;
PAGE ONE;MADRIGAL BUSINESS PARK;CC;60,000.00;;
PAGE ONE;MADRIGAL BUSINESS PARK;PS;45,000.00;;
PHILAM LIFE BLDG;MADRIGAL BUSINESS PARK;RC;70,000.00;;
PHILAM LIFE BLDG;MADRIGAL BUSINESS PARK;CC;85,000.00;;
PHILAM LIFE BLDG;MADRIGAL BUSINESS PARK;PS;60,000.00;;
PARAGON CORPORATE CENTER;MADRIGAL BUSINESS PARK;RC;45,000.00;;
PARAGON CORPORATE CENTER;MADRIGAL BUSINESS PARK;CC;55,000.00;;
PARAGON CORPORATE CENTER;MADRIGAL BUSINESS PARK;PS;40,000.00;;
PARK TRADE CENTER;MADRIGAL BUSINESS PARK;RC;45,000.00;;
PARK TRADE CENTER;MADRIGAL BUSINESS PARK;CC;55,000.00;;
PARK TRADE CENTER;MADRIGAL BUSINESS PARK;PS;40,000.00;;
PRIME CENTER;MADRIGAL BUSINESS PARK;RC;50,000.00;;
PRIME CENTER;MADRIGAL BUSINESS PARK;CC;60,000.00;;
PRIME CENTER;MADRIGAL BUSINESS PARK;PS;45,000.00;;
RICHVILLE CORPORATE CENTER;MADRIGAL BUSINESS PARK;RC;50,000.00;;
RICHVILLE CORPORATE CENTER;MADRIGAL BUSINESS PARK;CC;60,000.00;;
RICHVILLE CORPORATE CENTER;MADRIGAL BUSINESS PARK;PS;45,000.00;;
RICHVILLE CORPORATE TOWER;MADRIGAL BUSINESS PARK;RC;50,000.00;;
RICHVILLE CORPORATE TOWER;MADRIGAL BUSINESS PARK;CC;60,000.00;;
RICHVILLE CORPORATE TOWER;MADRIGAL BUSINESS PARK;PS;45,000.00;;
RICHVILLE REGENCY SUITES CONDO;MADRIGAL BUSINESS PARK;RC;50,000.00;;
RICHVILLE REGENCY SUITES CONDO;MADRIGAL BUSINESS PARK;CC;60,000.00;;
RICHVILLE REGENCY SUITES CONDO;MADRIGAL BUSINESS PARK;PS;45,000.00;;
SONRIA;MADRIGAL BUSINESS PARK;RC;80,000.00;;
SONRIA;MADRIGAL BUSINESS PARK;CC;108,000.00;;
SONRIA;MADRIGAL BUSINESS PARK;PS;70,000.00;;
SOUTH CENTER TOWER;MADRIGAL BUSINESS PARK;RC;50,000.00;;
SOUTH CENTER TOWER;MADRIGAL BUSINESS PARK;CC;60,000.00;;
SOUTH CENTER TOWER;MADRIGAL BUSINESS PARK;PS;45,000.00;;
SOUTHGATE BLDG;MADRIGAL BUSINESS PARK;RC;75,000.00;;
SOUTHGATE BLDG;MADRIGAL BUSINESS PARK;CC;90,000.00;;
SOUTHGATE BLDG;MADRIGAL BUSINESS PARK;PS;65,000.00;;
UNIOIL CENTER BLDG;MADRIGAL BUSINESS PARK;RC;50,000.00;;
UNIOIL CENTER BLDG;MADRIGAL BUSINESS PARK;CC;60,000.00;;
UNIOIL CENTER BLDG;MADRIGAL BUSINESS PARK;PS;45,000.00;;
NEW AYALA ALABANG TOWNHOUSE;AYALA ALABANG VILLAGE;RC;60,000.00;;
BARANGAY:;BAYANAN;;;;
ALONG PHILIPPINE NATIONAL RAILWAYS;BARRIO PROPER;RR;6,000.00;;
BAGONG PARAISO;INT. TM ROAD;RR;6,000.00;;
BAUTISTA ST;NATIONAL ROAD - T.M. ROAD;RR;13,000.00;;
BAUTISTA ST;NATIONAL ROAD - SLEX;RR;13,000.00;;
FILRIZAM SUBDIVISION;INT. BAUTISTA ST.;RR;8,000.00;;
LAGUNA LAKESIDE;LAKESIDE- T.M. ROAD;RR;0.00;Located along T.M. Road;
NATIONAL ROAD;BAYANAN RVR-PUTATAN BDRY;RR;15,000.00;;
NATIONAL ROAD;BAYANAN RVR-PUTATAN BDRY;CR;25,000.00;;
NATIONAL ROAD;BAYANAN RVR-PUTATAN BDRY;X;25,000.00;;
PLEASANT VILLAGE;SOUTH EXPRESSWAY;RR;12,000.00;;
PUROK  1-IV;EXPRESSWAY;RR;6,000.00;;
PUROK II;RAILROAD;RR;0.00;Located within Purok I to IV;
PUROK III;RAILROAD;RR;0.00;Located within Purok I to IV;
PUROK IV;TAGUIG MUNT ROAD;RR;0.00;Located within Purok I to IV;
PUROK VI APLAYA;LAGUNA LAKE;RR;0.00;Located within Purok I to IV;
SOUTH LUZON EXPRESSWAY (SLEX);POBLACION RIVER-ALABANG VIADUCT;RR;12,000.00;;
SOUTH LUZON EXPRESSWAY (SLEX);POBLACION RIVER-ALABANG VIADUCT;CR;43,000.00;;
SOUTH LUZON EXPRESSWAY (SLEX);POBLACION RIVER-ALABANG VIADUCT;I;23,000.00;;
SOUTH LUZON EXPRESSWAY (SLEX);POBLACION RIVER-ALABANG VIADUCT;X;23,000.00;;
SUMMIT CIRCLE;INT. NATIONAL ROAD;RR;6,000.00;;
SUMMITVILLE SUBD.;S EXPRESSWAY;RR;Located in BRGY PUTATAN. (p.14);;
SUNRISE VILLAGE;ALONG RAILROAD;RR;6,000.00;;
T.M. ROAD- LAGUNA LAKESIDE;LAKESIDE- T.M. ROAD;RR;3,000.00;;
T.M. ROAD (SAN GUUILLERMO ST.) PNR SIDE;T.M. ROAD - PNR SIDE;RR;5,000.00;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;25,000.00;;
ALL OTHER STREETS;;I;23,000.00;;
ALL OTHER STREETS;;X;10,000.00;;
BARANGAY:;BULI;;;;
ALONG LAGUNA LAKE;TAGUIG MUNT ROAD;RR;0.00;Located along TM Rd Barrio Proper.;
ALONG PHILIPPINE NATIONAL RAILWAYS;BARRIO PROPER;RR;6,000.00;;
ALONG RAILROAD;SQUATTERS' AREA;RR;0.00;Located along PNR Barrio Proper.;
BAGONG SILANG;WEST SERVICE RD EX;RR;0.00;Government property owned by Napocor included in all other streets.;
CONCEPCION ROAD;EAST SERVICE ROAD;RR;17,000.00;;
CONCEPCION ROAD;EAST SERVICE ROAD;CR;25,000.00;;
CONCEPCION ROAD;EAST SERVICE ROAD;I;23,000.00;;
CONCEPCION ROAD;EAST SERVICE ROAD;X;25,000.00;;
EAST SERVICE ROAD;CUPANG BDRY- BULI RIVER;RR;17,000.00;;
EAST SERVICE ROAD;CUPANG BDRY- BULI RIVER;CR;25,000.00;;
EAST SERVICE ROAD;CUPANG BDRY- BULI RIVER;I;23,000.00;;
EAST SERVICE ROAD;CUPANG BDRY- BULI RIVER;X;25,000.00;;
ESPELETA ST.;BARRIO PROPER;RR;6,000.00;;
ESPELETA ST.;BARRIO PROPER;X;8,000.00;;
LAGUNA LAKESIDE;LAKESIDE- T.M.ROAD;RR;0.00;Located along TM Road;
PUYAT SUBDIVISION;;RR;0.00;There is no such subd.;
SLEX;CUPANG BDRY-BULI RIVER;RR;0.00;Divided into East and West Service Roads;
T.M. ROAD-LAGUNA LAKESIDE;LAKESIDE- T.M.ROAD;RR;3,000.00;;
T M ROAD (PRESIDENT MANUEL L. QUEZON) PNR SIDE;T.M.ROAD-PNR SIDE;RR;5,000.00;;
T M ROAD (PRESIDENT MANUEL L. QUEZON) PNR SIDE;T.M.ROAD-PNR SIDE;X;8,000.00;;
WEST SERVICE ROAD;CUPANG BDRY- BULI RIVER;RR;17,000.00;;
WEST SERVICE ROAD;CUPANG BDRY- BULI RIVER;CR;25,000.00;;
WEST SERVICE ROAD;CUPANG BDRY- BULI RIVER;I;23,000.00;;
WEST SERVICE ROAD;CUPANG BDRY- BULI RIVER;X;25,000.00;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;25,000.00;;
ALL OTHER STREETS;;I;23,000.00;;
ALL OTHER STREETS;;X;8,000.00;;
CONDOMINIUMS AND TOWHOUSES;;;;;
CONDOMINIUMS AND TOWHOUSES;V I C I N I T Y;CLASSIFICATION;7TH REV ZV./SQ.M.;;
ANUVA CONDO;EAST SERVICE ROAD;RC;50,000.00;;
ANUVA CONDO;EAST SERVICE ROAD;CC;60,000.00;;
ANUVA CONDO;EAST SERVICE ROAD;PS;40,000.00;;
RHAPSODY RESIDENCES-CARILLON/CELLO/CLARINET/   HARMONICA BLDG/MARIMBA BLDG;EAST SERVICE ROAD;RC;45,000.00;;
RHAPSODY RESIDENCES-CARILLON/CELLO/CLARINET/   HARMONICA BLDG/MARIMBA BLDG;EAST SERVICE ROAD;CC;50,000.00;;
RHAPSODY RESIDENCES-CARILLON/CELLO/CLARINET/   HARMONICA BLDG/MARIMBA BLDG;EAST SERVICE ROAD;PS;40,000.00;;
BARANGAY:;CUPANG;;;;
ALABANG 400 VILLAGE SUBD;DON JESUS BLVD;RR;20,000.00;;
ALABANG HILLS VILLAGE SUBD;ST BENEDICTINE;RR;28,000.00;;
ALABANG HILLSBOROUGH;ALABANG HILLS;RR;28,000.00;;
ALABANG HILLSBOROUGH;ALABANG HILLS;X;28,000.00;;
ALABANG-ZAPOTE ROAD;;CR;60,000.00;;
ALABANG-ZAPOTE ROAD;;X;60,000.00;;
ALONG PHILIPPINE NATIONAL RAILWAYS;;RR;8,000.00;;
BF HOMES  SUBD PHASE 6;ALABANG HILLS;RR;15,000.00;;
BUNYI CPD;LIBERTY HOMES;RR;0.00;Located along East Service Road;
CABEZAS CPD;TAGUIG MUNT;RR;0.00;Located along TM Road Barrio Proper;
CARMINA CPD;EAST SERVICE ROAD;RR;0.00;Located along East Service Road;
